date|time|dskreads|pagreads|bufreads|rcached|dskwrits|pagwrits|bufwrits|wcached|isamtot|open|start|read|write|rewrite|delete|commit|rollbk|gp_read|gp_write|gp_rewrt|gp_del|gp_alloc|gp_free|gp_curs|ovlock|ovuserthread|ovbuff|usercpu|syscpu|numckpts|flushes|bufwaits|lokwaits|lockreqs|deadlks|dltouts|ckpwaits|compress|seqscans|ixdaRA|idxRA|daRA|RApgsused|lchwaits|sessions|activelocks|pbuffer|pbufused|pbufsize|pnumpages|pnumwrits|ppagesio|pphybegin|pphysize|pphypos|pphyused|pphypcnt|lbuffer|lbufused|lbufsize|lnumrecs|lnumpages|lnumwrits|lrecspages|lpagesio|lsubsystem|lsnumrecs|lsspaceused|lltotalsize|lltotalused|shmtotal|blkused|blkfree|threadrea|threadwai|threadsle|netaccept|netreject|netread|netwrite|sdeclient|buffdirty|bufftotal|ckptreq|user1|sys1|total1|user2|sys2|total2|user3|sys3|total3|user4|sys4|total4|user5|sys5|total5|user6|sys6|total6|user7|sys7|total7|user8|sys8|total8|user9|sys9|total9|user10|sys10|total10|user11|sys11|total11|user12|sys12|total12|user13|sys13|total13|user14|sys14|total14|user15|sys15|total15|user16|sys16|total16|user17|sys17|total17|
27/10/18|00:01:01|14582706|174292980|55449104141|99.97|15722713|158010156|284409288|94.73|149463013908|21073957606|2776623333|24845449784|71906328|15303051|1713178|9666159|4436|0|0|0|0|0|0|0|0|0|0|415496.77|95364.47|9019|39144|82450|23780|79493000443|0|0|7284|10087792|1856268963|37591|16327566|894620|216023|958671|0|12|P-1|180|256|68379543|275340|248.35|2:53|1023947|657661|5777|0.56|L-1|130|256|200326581|8395005|91812|23.9|91.4|OLDRSAM|200278405|16852942832|4080000|123034|86374424576|18947413|2140093|0|106|49|5020580|17|1971362756|1991666222|1|29|100000|0|70416.40|17478.06|87894.46|68481.38|16626.60|85107.98|66231.37|16135.26|82366.63|66535.19|16263.04|82798.23|68878.81|16926.50|85805.31|4435.30|710.35|5145.65|3478.25|639.32|4117.57|6052.61|421.96|6474.57|4716.70|378.25|5094.95|3799.48|344.51|4143.99|3112.10|321.75|3433.85|2566.32|308.22|2874.54|2109.65|296.76|2406.41|1829.19|286.59|2115.78|1593.72|261.50|1855.22|1588.16|274.64|1862.80|1522.22|275.42|1797.64|
27/10/18|00:01:56|14582706|174292980|55449105122|99.97|15722713|158010156|284409378|94.73|149463017660|21073958100|2776623785|24845450551|71906334|15303051|1713178|9666159|4436|0|0|0|0|0|0|0|0|0|0|415497.02|95364.58|9019|39144|82450|23780|79493000800|0|0|7284|10087804|1856268974|37591|16327566|894620|216023|958671|0|13|P-1|180|256|68379543|275340|248.35|2:53|1023947|657661|5777|0.56|L-1|130|256|200326581|8395005|91812|23.9|91.4|OLDRSAM|200278405|16852942832|4080000|123034|86374424576|18947479|2140027|0|108|49|5020583|17|1971363329|1991666797|1|29|100000|0|70416.44|17478.08|87894.52|68481.39|16626.62|85108.01|66231.38|16135.27|82366.65|66535.21|16263.05|82798.26|68878.85|16926.53|85805.38|4435.31|710.35|5145.66|3478.26|639.32|4117.58|6052.62|421.97|6474.59|4716.76|378.25|5095.01|3799.49|344.51|4144.00|3112.11|321.75|3433.86|2566.33|308.22|2874.55|2109.65|296.76|2406.41|1829.19|286.59|2115.78|1593.72|261.50|1855.22|1588.16|274.64|1862.80|1522.22|275.42|1797.64|
27/10/18|00:02:51|14582706|174292980|55449106722|99.97|15722713|158010156|284409483|94.73|149463023583|21073958646|2776624286|24845453211|71906342|15303051|1713178|9666159|4436|0|0|0|0|0|0|0|0|0|0|415497.29|95364.71|9019|39144|82450|23780|79493001656|0|0|7284|10087818|1856268987|37591|16327566|894620|216023|958671|0|12|P-1|180|256|68379543|275340|248.35|2:53|1023947|657661|5777|0.56|L-1|130|256|200326581|8395005|91812|23.9|91.4|OLDRSAM|200278405|16852942832|4080000|123034|86374424576|18947410|2140096|0|106|49|5020584|17|1971363890|1991667359|1|29|100000|0|70416.47|17478.11|87894.58|68481.40|16626.63|85108.03|66231.43|16135.28|82366.71|66535.21|16263.07|82798.28|68878.92|16926.54|85805.46|4435.32|710.36|5145.68|3478.27|639.32|4117.59|6052.62|421.97|6474.59|4716.77|378.26|5095.03|3799.49|344.51|4144.00|3112.12|321.75|3433.87|2566.33|308.22|2874.55|2109.65|296.76|2406.41|1829.19|286.59|2115.78|1593.72|261.50|1855.22|1588.16|274.64|1862.80|1522.23|275.42|1797.65|
27/10/18|00:03:47|14586577|174412364|55449131780|99.97|15746316|158091139|284411841|94.73|149463145342|21073960574|2776625905|24845562440|71906471|15303099|1713178|9666303|4436|0|0|0|0|0|0|0|0|0|0|415499.03|95365.58|9020|39148|82450|23780|79493020261|0|0|7284|10087835|1856269044|37591|16327566|894620|216023|958671|0|12|P-1|17|256|68379814|275343|248.34|2:53|1023947|657932|74|0.01|L-3|0|256|200327577|8395287|91958|23.9|91.3|OLDRSAM|200279400|16853052664|4080000|3316|86374424576|18946990|2140516|0|103|49|5020586|17|1971364397|1991667867|1|63|100000|0|70416.62|17478.24|87894.86|68481.47|16626.71|85108.18|66231.47|16135.32|82366.79|66535.25|16263.10|82798.35|68878.99|16926.63|85805.62|4436.09|710.72|5146.81|3478.32|639.32|4117.64|6052.67|422.00|6474.67|4716.80|378.29|5095.09|3799.78|344.52|4144.30|3112.17|321.76|3433.93|2566.34|308.22|2874.56|2109.66|296.76|2406.42|1829.19|286.59|2115.78|1593.72|261.50|1855.22|1588.16|274.64|1862.80|1522.23|275.42|1797.65|
27/10/18|00:04:42|14586577|174412364|55449132906|99.97|15746316|158091139|284411946|94.73|149463149350|21073961102|2776626384|24845563253|71906478|15303099|1713178|9666303|4436|0|0|0|0|0|0|0|0|0|0|415499.25|95365.73|9020|39148|82450|23780|79493020653|0|0|7284|10087849|1856269057|37591|16327566|894620|216023|958671|0|12|P-1|17|256|68379814|275343|248.34|2:53|1023947|657932|74|0.01|L-3|0|256|200327577|8395287|91958|23.9|91.3|OLDRSAM|200279400|16853052664|4080000|3316|86374424576|18946990|2140516|0|103|49|5020587|17|1971364972|1991668443|1|68|100000|0|70416.66|17478.25|87894.91|68481.48|16626.73|85108.21|66231.50|16135.34|82366.84|66535.26|16263.11|82798.37|68879.03|16926.66|85805.69|4436.09|710.72|5146.81|3478.33|639.32|4117.65|6052.67|422.01|6474.68|4716.81|378.30|5095.11|3799.78|344.52|4144.30|3112.17|321.77|3433.94|2566.34|308.22|2874.56|2109.66|296.77|2406.43|1829.19|286.59|2115.78|1593.73|261.50|1855.23|1588.17|274.64|1862.81|1522.23|275.42|1797.65|
27/10/18|00:05:38|14586577|174412364|55449133887|99.97|15746316|158091139|284412036|94.73|149463153186|21073961608|2776626848|24845564032|71906484|15303099|1713178|9666303|4436|0|0|0|0|0|0|0|0|0|0|415499.53|95365.83|9020|39148|82450|23780|79493021010|0|0|7284|10087861|1856269068|37591|16327566|894620|216023|958671|0|12|P-1|17|256|68379814|275343|248.34|2:53|1023947|657932|74|0.01|L-3|0|256|200327577|8395287|91958|23.9|91.3|OLDRSAM|200279400|16853052664|4080000|3316|86374424576|18946990|2140516|0|103|49|5020588|17|1971365510|1991668982|1|68|100000|0|70416.70|17478.28|87894.98|68481.50|16626.74|85108.24|66231.51|16135.34|82366.85|66535.27|16263.12|82798.39|68879.08|16926.69|85805.77|4436.09|710.72|5146.81|3478.33|639.32|4117.65|6052.68|422.01|6474.69|4716.82|378.30|5095.12|3799.79|344.52|4144.31|3112.21|321.77|3433.98|2566.35|308.23|2874.58|2109.66|296.77|2406.43|1829.20|286.59|2115.79|1593.73|261.50|1855.23|1588.17|274.64|1862.81|1522.23|275.42|1797.65|
27/10/18|00:06:33|14586577|174412364|55449134907|99.97|15746316|158091139|284412126|94.73|149463157016|21073962112|2776627311|24845564813|71906490|15303099|1713178|9666303|4436|0|0|0|0|0|0|0|0|0|0|415499.73|95365.92|9020|39148|82450|23780|79493021367|0|0|7284|10087873|1856269080|37591|16327566|894620|216023|958671|0|12|P-1|17|256|68379814|275343|248.34|2:53|1023947|657932|74|0.01|L-3|0|256|200327577|8395287|91958|23.9|91.3|OLDRSAM|200279400|16853052664|4080000|3316|86374424576|18946990|2140516|0|103|49|5020589|17|1971366075|1991669548|1|68|100000|0|70416.72|17478.31|87895.03|68481.53|16626.74|85108.27|66231.53|16135.35|82366.88|66535.28|16263.13|82798.41|68879.13|16926.71|85805.84|4436.09|710.72|5146.81|3478.34|639.32|4117.66|6052.69|422.02|6474.71|4716.82|378.30|5095.12|3799.79|344.53|4144.32|3112.22|321.77|3433.99|2566.35|308.23|2874.58|2109.66|296.77|2406.43|1829.20|286.59|2115.79|1593.73|261.50|1855.23|1588.17|274.64|1862.81|1522.23|275.42|1797.65|
27/10/18|00:07:28|14586577|174412364|55449136033|99.97|15746316|158091139|284412231|94.73|149463160979|21073962634|2776627784|24845565617|71906497|15303099|1713178|9666303|4436|0|0|0|0|0|0|0|0|0|0|415499.97|95366.02|9020|39148|82450|23780|79493021759|0|0|7284|10087887|1856269093|37591|16327566|894620|216023|958671|0|12|P-1|17|256|68379814|275343|248.34|2:53|1023947|657932|74|0.01|L-3|0|256|200327577|8395287|91958|23.9|91.3|OLDRSAM|200279400|16853052664|4080000|3316|86374424576|18946989|2140517|0|103|49|5020590|17|1971366632|1991670106|1|68|100000|0|70416.77|17478.32|87895.09|68481.54|16626.75|85108.29|66231.54|16135.35|82366.89|66535.30|16263.14|82798.44|68879.21|16926.75|85805.96|4436.10|710.73|5146.83|3478.35|639.32|4117.67|6052.69|422.02|6474.71|4716.83|378.30|5095.13|3799.80|344.53|4144.33|3112.22|321.77|3433.99|2566.35|308.23|2874.58|2109.66|296.77|2406.43|1829.20|286.59|2115.79|1593.73|261.50|1855.23|1588.17|274.64|1862.81|1522.23|275.42|1797.65|
27/10/18|00:08:24|14586577|174412364|55449137014|99.97|15746316|158091139|284412321|94.73|149463164754|21073963132|2776628240|24845566383|71906503|15303099|1713178|9666303|4436|0|0|0|0|0|0|0|0|0|0|415500.20|95366.09|9020|39148|82450|23780|79493022116|0|0|7284|10087899|1856269104|37591|16327566|894620|216023|958671|0|12|P-1|0|256|68379814|275343|248.34|2:53|1023947|657971|14|0.00|L-2|0|256|200327577|8395287|91958|23.9|91.3|OLDRSAM|200279400|16853052664|4080000|3318|86374424576|18946989|2140517|0|103|49|5020591|17|1971367176|1991670651|1|0|100000|0|70416.80|17478.35|87895.15|68481.55|16626.76|85108.31|66231.56|16135.35|82366.91|66535.31|16263.15|82798.46|68879.27|16926.75|85806.02|4436.10|710.73|5146.83|3478.35|639.32|4117.67|6052.70|422.02|6474.72|4716.84|378.30|5095.14|3799.80|344.53|4144.33|3112.26|321.77|3434.03|2566.36|308.23|2874.59|2109.66|296.78|2406.44|1829.20|286.59|2115.79|1593.73|261.50|1855.23|1588.17|274.64|1862.81|1522.24|275.42|1797.66|
27/10/18|00:09:19|14586579|174412366|55449138307|99.97|15746443|158091303|284412466|94.73|149463169067|21073963702|2776628753|24845567247|71906511|15303099|1713178|9666303|4436|0|0|0|0|0|0|0|0|0|0|415500.64|95366.25|9021|39152|82450|23780|79493022543|0|0|7284|10087915|1856269118|37591|16327566|894620|216023|958671|0|12|P-1|0|256|68379853|275345|248.34|2:53|1023947|657971|14|0.00|L-2|0|256|200327580|8395289|91960|23.9|91.3|OLDRSAM|200279402|16853052748|4080000|3318|86374424576|18946989|2140517|0|103|49|5020592|17|1971367734|1991671210|1|15|100000|0|70416.83|17478.38|87895.21|68481.56|16626.78|85108.34|66231.57|16135.35|82366.92|66535.58|16263.17|82798.75|68879.31|16926.79|85806.10|4436.11|710.73|5146.84|3478.36|639.32|4117.68|6052.70|422.03|6474.73|4716.84|378.31|5095.15|3799.81|344.54|4144.35|3112.27|321.77|3434.04|2566.36|308.23|2874.59|2109.66|296.78|2406.44|1829.20|286.59|2115.79|1593.73|261.50|1855.23|1588.18|274.64|1862.82|1522.24|275.42|1797.66|
