date|time|dskreads|pagreads|bufreads|rcached|dskwrits|pagwrits|bufwrits|wcached|isamtot|open|start|read|write|rewrite|delete|commit|rollbk|gp_read|gp_write|gp_rewrt|gp_del|gp_alloc|gp_free|gp_curs|ovlock|ovuserthread|ovbuff|usercpu|syscpu|numckpts|flushes|bufwaits|lokwaits|lockreqs|deadlks|dltouts|ckpwaits|compress|seqscans|ixdaRA|idxRA|daRA|RApgsused|lchwaits|sessions|activelocks|pbuffer|pbufused|pbufsize|pnumpages|pnumwrits|ppagesio|pphybegin|pphysize|pphypos|pphyused|pphypcnt|lbuffer|lbufused|lbufsize|lnumrecs|lnumpages|lnumwrits|lrecspages|lpagesio|lsubsystem|lsnumrecs|lsspaceused|lltotalsize|lltotalused|shmtotal|blkused|blkfree|threadrea|threadwai|threadsle|netaccept|netreject|netread|netwrite|sdeclient|buffdirty|bufftotal|ckptreq|user1|sys1|total1|user2|sys2|total2|user3|sys3|total3|user4|sys4|total4|user5|sys5|total5|user6|sys6|total6|user7|sys7|total7|user8|sys8|total8|user9|sys9|total9|user10|sys10|total10|user11|sys11|total11|user12|sys12|total12|user13|sys13|total13|user14|sys14|total14|user15|sys15|total15|user16|sys16|total16|user17|sys17|total17|
17/09/18|00:01:01|45072|246926|206804580|99.98|637693|8069058|5806769|89.02|698985366|16254044|155270612|166279738|5591|388059|89|3671|0|0|0|0|0|0|0|0|0|0|0|3103.30|494.35|484|3632|859|109|267762512|0|0|9|1155128|85470151|2434|294|753|6773118|19075|428|437|P-1|13|256|3779884|15303|247.00|2:53|1023947|376495|115|0.01|L-1|11|256|17745|1028|153|17.3|6.7|OLDRSAM|17684|1867292|4080000|270290|86374424576|18850820|2236686|0|527|46|74009|14|7902325|7936264|1|17|100000|0|363.94|112.84|476.78|297.34|69.70|367.04|268.35|62.99|331.34|273.31|63.47|336.78|258.03|61.09|319.12|25.23|5.61|30.84|20.69|3.79|24.48|266.63|4.31|270.94|200.70|4.40|205.10|162.31|3.73|166.04|187.13|3.68|190.81|89.12|3.71|92.83|110.03|3.06|113.09|63.29|3.43|66.72|46.43|2.98|49.41|44.36|2.84|47.20|29.58|2.97|32.55|
17/09/18|00:01:57|45073|246927|207427407|99.98|637826|8070050|5808193|89.02|701148913|16307482|155754662|166799482|5607|389270|89|3679|0|0|0|0|0|0|0|0|0|0|0|3107.08|495.28|485|3636|859|109|268602128|0|0|9|1155140|85736976|2434|294|753|6773118|19075|440|449|P-2|12|256|3780342|15306|246.98|2:53|1023947|376953|34|0.00|L-1|1|256|17784|1042|156|17.1|6.7|OLDRSAM|17722|1871056|4080000|270304|86374424576|18853161|2234345|0|541|46|74245|14|7926118|7960153|1|16|100000|0|364.49|112.98|477.47|298.32|69.92|368.24|269.17|63.19|332.36|273.69|63.56|337.25|258.39|61.17|319.56|25.24|5.62|30.86|20.70|3.80|24.50|266.64|4.32|270.96|200.73|4.40|205.13|162.43|3.73|166.16|187.15|3.68|190.83|89.14|3.72|92.86|110.05|3.06|113.11|63.30|3.43|66.73|46.45|2.98|49.43|44.37|2.85|47.22|29.59|2.97|32.56|
17/09/18|00:02:52|45073|246927|208025596|99.98|637826|8070050|5809563|89.02|703270650|16354619|156238209|167308913|5623|390492|89|3689|0|0|0|0|0|0|0|0|0|0|0|3110.33|496.20|485|3636|859|109|269405589|0|0|9|1155152|86004758|2434|294|753|6773118|19075|426|436|P-2|12|256|3780342|15306|246.98|2:53|1023947|376953|34|0.00|L-1|3|256|17828|1042|156|17.1|6.7|OLDRSAM|17766|1875520|4080000|270304|86374424576|18852472|2235034|0|527|46|74472|14|7947278|7981468|1|20|100000|0|365.33|113.22|478.55|298.86|70.02|368.88|269.58|63.30|332.88|274.09|63.65|337.74|258.85|61.25|320.10|25.25|5.63|30.88|20.71|3.81|24.52|266.67|4.33|271.00|200.75|4.40|205.15|162.45|3.74|166.19|187.16|3.69|190.85|89.15|3.72|92.87|110.07|3.07|113.14|63.32|3.44|66.76|46.45|3.00|49.45|44.38|2.86|47.24|29.60|2.97|32.57|
17/09/18|00:03:47|45073|246927|208679671|99.98|637826|8070050|5810963|89.02|705523733|16402907|156750470|167857356|5635|391780|89|3699|0|0|0|0|0|0|0|0|0|0|0|3114.01|497.18|485|3636|859|109|270303754|0|0|9|1155161|86287209|2434|294|753|6773118|19075|427|437|P-2|12|256|3780342|15306|246.98|2:53|1023947|376953|34|0.00|L-1|6|256|17872|1042|156|17.2|6.7|OLDRSAM|17810|1879984|4080000|270304|86374424576|18851694|2235812|0|527|46|74702|14|7973257|8007536|1|19|100000|0|366.18|113.46|479.64|299.36|70.12|369.48|270.46|63.53|333.99|274.48|63.74|338.22|259.25|61.32|320.57|25.26|5.64|30.90|20.71|3.82|24.53|266.69|4.33|271.02|200.78|4.40|205.18|162.47|3.74|166.21|187.18|3.70|190.88|89.17|3.73|92.90|110.08|3.07|113.15|63.33|3.44|66.77|46.47|3.00|49.47|44.39|2.86|47.25|29.61|2.98|32.59|
17/09/18|00:04:42|45073|246927|209322293|99.98|637826|8070050|5812385|89.03|707722056|16453730|157245476|168386518|5660|393011|89|3726|0|0|0|0|0|0|0|0|0|0|0|3117.73|498.20|485|3636|859|109|271142881|0|0|9|1155173|86559571|2434|294|753|6773118|19075|430|440|P-2|164|256|3780342|15306|246.98|2:53|1023947|376953|186|0.02|L-1|13|256|18015|1042|156|17.3|6.7|OLDRSAM|17953|1894944|4080000|270304|86374424576|18854275|2233231|0|530|46|74927|14|7995959|8030381|1|19|100000|0|366.72|113.58|480.30|299.87|70.23|370.10|271.34|63.77|335.11|274.84|63.79|338.63|260.13|61.53|321.66|25.28|5.64|30.92|20.72|3.82|24.54|266.71|4.33|271.04|200.80|4.41|205.21|162.49|3.74|166.23|187.19|3.70|190.89|89.18|3.74|92.92|110.09|3.08|113.17|63.34|3.45|66.79|46.48|3.00|49.48|44.40|2.87|47.27|29.62|2.98|32.60|
17/09/18|00:05:38|45073|246927|209945635|99.98|637826|8070050|5813804|89.03|709931729|16501410|157750504|168918121|5676|394282|89|3735|0|0|0|0|0|0|0|0|0|0|0|3120.95|499.11|485|3636|859|109|272009089|0|0|9|1155185|86839373|2434|294|753|6773118|19075|432|442|P-2|164|256|3780342|15306|246.98|2:53|1023947|376953|186|0.02|L-1|15|256|18055|1042|156|17.3|6.7|OLDRSAM|17993|1899016|4080000|270304|86374424576|18853589|2233917|0|532|46|75153|14|8017017|8051584|1|19|100000|0|367.17|113.72|480.89|300.33|70.32|370.65|272.18|63.97|336.15|275.23|63.88|339.11|260.56|61.61|322.17|25.30|5.65|30.95|20.73|3.83|24.56|266.73|4.34|271.07|200.83|4.41|205.24|162.51|3.75|166.26|187.22|3.70|190.92|89.20|3.74|92.94|110.11|3.09|113.20|63.36|3.45|66.81|46.49|3.02|49.51|44.41|2.88|47.29|29.63|2.99|32.62|
17/09/18|00:06:33|45075|246929|210567736|99.98|638028|8071714|5815230|89.03|712081842|16553134|158232774|169436658|5688|395492|89|3743|0|0|0|0|0|0|0|0|0|0|0|3124.71|500.15|486|3640|859|109|272832215|0|0|9|1155194|87105130|2434|294|753|6773118|19075|435|443|P-2|12|256|3781129|15310|246.97|2:53|1023947|377740|114|0.01|L-1|1|256|18094|1061|159|17.1|6.7|OLDRSAM|18031|1902780|4080000|270323|86374424576|18853949|2233557|0|534|46|75396|14|8043126|8077792|1|11|100000|0|367.72|113.87|481.59|300.76|70.40|371.16|273.14|64.23|337.37|275.62|63.96|339.58|261.32|61.80|323.12|25.32|5.66|30.98|20.74|3.83|24.57|266.75|4.35|271.10|200.85|4.42|205.27|162.52|3.75|166.27|187.30|3.71|191.01|89.22|3.75|92.97|110.14|3.09|113.23|63.37|3.46|66.83|46.50|3.02|49.52|44.42|2.88|47.30|29.64|2.99|32.63|
17/09/18|00:07:28|45075|246929|211174004|99.98|638028|8071714|5816607|89.03|714218793|16601935|158719019|169949774|5704|396717|89|3755|0|0|0|0|0|0|0|0|0|0|0|3128.25|501.07|486|3640|859|109|273672771|0|0|9|1155206|87373785|2434|294|753|6773118|19075|421|430|P-2|12|256|3781129|15310|246.97|2:53|1023947|377740|114|0.01|L-1|3|256|18150|1061|159|17.1|6.7|OLDRSAM|18087|1908572|4080000|270323|86374424576|18853815|2233691|0|522|46|75620|14|8064263|8099077|1|16|100000|0|368.27|114.01|482.28|301.31|70.50|371.81|273.95|64.47|338.42|276.02|64.04|340.06|261.78|61.88|323.66|25.33|5.67|31.00|20.75|3.84|24.59|266.78|4.35|271.13|200.88|4.43|205.31|162.54|3.76|166.30|187.33|3.71|191.04|89.23|3.76|92.99|110.17|3.09|113.26|63.39|3.46|66.85|46.52|3.03|49.55|44.44|2.89|47.33|29.66|3.00|32.66|
17/09/18|00:08:23|45075|246929|211824203|99.98|638028|8071714|5818031|89.03|716457143|16650566|159227068|170494407|5720|397993|89|3764|0|0|0|0|0|0|0|0|0|0|0|3131.95|502.16|486|3640|859|109|274535781|0|0|9|1155218|87653981|2434|294|753|6773118|19075|428|438|P-2|12|256|3781129|15310|246.97|2:53|1023947|377740|114|0.01|L-1|5|256|18190|1061|159|17.1|6.7|OLDRSAM|18127|1912644|4080000|270323|86374424576|18853446|2234060|0|529|46|75859|14|8087885|8122808|1|16|100000|0|368.76|114.15|482.91|302.20|70.70|372.90|274.37|64.56|338.93|276.81|64.25|341.06|262.23|61.98|324.21|25.35|5.68|31.03|20.77|3.84|24.61|266.80|4.36|271.16|200.91|4.43|205.34|162.56|3.77|166.33|187.34|3.72|191.06|89.25|3.77|93.02|110.19|3.10|113.29|63.40|3.46|66.86|46.53|3.03|49.56|44.45|2.89|47.34|29.67|3.00|32.67|
17/09/18|00:09:18|45075|246929|212461568|99.98|638028|8071714|5819372|89.04|718601430|16696870|159701016|171013847|5736|399186|89|3774|0|0|0|0|0|0|0|0|0|0|0|3135.24|503.10|486|3640|859|109|275397957|0|0|9|1155230|87916456|2434|294|753|6773118|19075|436|445|P-2|12|256|3781129|15310|246.97|2:53|1023947|377740|114|0.01|L-1|7|256|18234|1061|159|17.2|6.7|OLDRSAM|18171|1917108|4080000|270323|86374424576|18853895|2233611|0|536|46|76089|14|8109291|8144373|1|16|100000|0|369.28|114.31|483.59|302.83|70.81|373.64|274.81|64.65|339.46|277.15|64.33|341.48|263.04|62.18|325.22|25.37|5.68|31.05|20.78|3.85|24.63|266.82|4.37|271.19|200.92|4.44|205.36|162.57|3.78|166.35|187.36|3.72|191.08|89.26|3.78|93.04|110.21|3.11|113.32|63.42|3.46|66.88|46.54|3.04|49.58|44.46|2.90|47.36|29.68|3.01|32.69|
