date|time|dskreads|pagreads|bufreads|rcached|dskwrits|pagwrits|bufwrits|wcached|isamtot|open|start|read|write|rewrite|delete|commit|rollbk|gp_read|gp_write|gp_rewrt|gp_del|gp_alloc|gp_free|gp_curs|ovlock|ovuserthread|ovbuff|usercpu|syscpu|numckpts|flushes|bufwaits|lokwaits|lockreqs|deadlks|dltouts|ckpwaits|compress|seqscans|ixdaRA|idxRA|daRA|RApgsused|lchwaits|sessions|activelocks|pbuffer|pbufused|pbufsize|pnumpages|pnumwrits|ppagesio|pphybegin|pphysize|pphypos|pphyused|pphypcnt|lbuffer|lbufused|lbufsize|lnumrecs|lnumpages|lnumwrits|lrecspages|lpagesio|lsubsystem|lsnumrecs|lsspaceused|lltotalsize|lltotalused|shmtotal|blkused|blkfree|threadrea|threadwai|threadsle|threadact|netaccept|netreject|netread|netwrite|sdeclient|buffdirty|bufftotal|ckptreq|user1|sys1|total1|user2|sys2|total2|user3|sys3|total3|user4|sys4|total4|user5|sys5|total5|user6|sys6|total6|user7|sys7|total7|user8|sys8|total8|user9|sys9|total9|user10|sys10|total10|user11|sys11|total11|user12|sys12|total12|user13|sys13|total13|user14|sys14|total14|user15|sys15|total15|user16|sys16|total16|user17|sys17|total17|
25/09/18|00:01:01|80587|678785|176742128|99.95|217088|875032|4139930|94.80|230277664|7619362|5443954|31540837|488830|120211|101377|125598|1019|0|0|0|0|0|0|0|0|0|0|4364.00|2471.93|1030|3090|3486|587|378256607|0|0|15|174088|416889|4202|15007|12402|40020|18241|335|350|P-2|0|256|347458|2621|132.57|6:53|1023947|292938|18|0.00|L-3|0|256|978078|73281|2537|13.3|28.9|OLDRSAM|976838|143975676|305000|3918|11537555456|2712123|104663|0|421|43|7|55379|0|16691137|16807899|1|18|100000|0|103.94|54.03|157.97|95.92|38.01|133.93|887.34|490.08|1377.42|730.81|368.02|1098.83|742.74|408.37|1151.11|727.64|364.71|1092.35|868.39|468.73|1337.12|19.59|10.24|29.83|12.97|10.44|23.41|8.62|8.83|17.45|8.29|9.00|17.29|6.12|6.82|12.94|6.52|7.36|13.88|5.60|6.33|11.93|6.06|6.93|12.99|6.32|6.75|13.07|5.55|6.71|12.26|
25/09/18|00:01:56|80587|678785|176764250|99.95|217088|875032|4140935|94.80|230306547|7620376|5444683|31543231|488878|120220|101377|125603|1019|0|0|0|0|0|0|0|0|0|0|4364.79|2472.42|1030|3090|3486|587|378292117|0|0|15|174138|416975|4202|15007|12402|40020|18241|335|350|P-2|0|256|347458|2621|132.57|6:53|1023947|292938|18|0.00|L-3|1|256|978098|73281|2537|13.3|28.9|OLDRSAM|976858|143977636|305000|3918|11537555456|2712130|104656|0|421|43|7|55386|0|16693911|16810684|1|17|100000|0|103.95|54.03|157.98|95.93|38.02|133.95|887.41|490.14|1377.55|731.04|368.15|1099.19|742.91|408.48|1151.39|727.76|364.78|1092.54|868.52|468.79|1337.31|19.59|10.24|29.83|12.97|10.44|23.41|8.62|8.83|17.45|8.29|9.01|17.30|6.12|6.82|12.94|6.52|7.36|13.88|5.60|6.33|11.93|6.06|6.94|13.00|6.33|6.75|13.08|5.55|6.71|12.26|
25/09/18|00:02:52|80587|678785|176788525|99.95|217088|875032|4141443|94.81|230337342|7621399|5445361|31545865|488902|120230|101377|125609|1019|0|0|0|0|0|0|0|0|0|0|4365.56|2472.88|1030|3090|3486|587|378365164|0|0|15|174163|417041|4202|15007|12402|40020|18241|337|351|P-2|0|256|347458|2621|132.57|6:53|1023947|292938|18|0.00|L-3|2|256|978122|73281|2537|13.3|28.9|OLDRSAM|976882|143979988|305000|3918|11537555456|2712267|104519|0|423|43|7|55395|0|16696675|16813460|1|18|100000|0|103.97|54.04|158.01|95.94|38.02|133.96|887.48|490.18|1377.66|731.28|368.27|1099.55|743.09|408.58|1151.67|727.87|364.86|1092.73|868.66|468.85|1337.51|19.59|10.24|29.83|12.97|10.44|23.41|8.62|8.83|17.45|8.29|9.01|17.30|6.12|6.82|12.94|6.52|7.37|13.89|5.60|6.33|11.93|6.06|6.94|13.00|6.33|6.75|13.08|5.55|6.71|12.26|
25/09/18|00:03:47|80587|678785|176811052|99.95|217088|875032|4141965|94.81|230366580|7622362|5446000|31548167|488927|120239|101377|125614|1019|0|0|0|0|0|0|0|0|0|0|4366.27|2473.28|1030|3090|3486|587|378402616|0|0|15|174190|417103|4202|15007|12402|40020|18241|334|348|P-2|0|256|347458|2621|132.57|6:53|1023947|292938|18|0.00|L-3|3|256|978142|73281|2537|13.3|28.9|OLDRSAM|976902|143981948|305000|3918|11537555456|2712151|104635|0|420|43|7|55400|0|16699356|16816148|1|17|100000|0|103.99|54.04|158.03|95.95|38.03|133.98|887.54|490.22|1377.76|731.50|368.39|1099.89|743.24|408.67|1151.91|727.99|364.93|1092.92|868.77|468.90|1337.67|19.59|10.24|29.83|12.97|10.45|23.42|8.63|8.83|17.46|8.29|9.01|17.30|6.12|6.82|12.94|6.52|7.37|13.89|5.60|6.33|11.93|6.06|6.94|13.00|6.33|6.75|13.08|5.55|6.71|12.26|
25/09/18|00:04:43|80587|678785|176837267|99.95|217088|875032|4143270|94.81|230402506|7624058|5446674|31550887|489128|120257|101377|125802|1019|0|0|0|0|0|0|0|0|0|0|4367.22|2473.79|1030|3090|3489|587|378479566|0|0|15|174227|417170|4202|15007|12402|40020|18241|334|348|P-2|110|256|347458|2621|132.57|6:53|1023947|292938|128|0.01|L-3|70|256|979430|73281|2537|13.4|28.9|OLDRSAM|978190|144118120|305000|3918|11537555456|2712179|104607|0|420|43|7|55408|0|16702903|16819705|1|17|100000|0|104.00|54.04|158.04|95.96|38.03|133.99|887.72|490.29|1378.01|731.74|368.53|1100.27|743.45|408.78|1152.23|728.15|365.00|1093.15|868.89|468.98|1337.87|19.59|10.25|29.84|12.97|10.45|23.42|8.63|8.83|17.46|8.29|9.01|17.30|6.12|6.82|12.94|6.52|7.37|13.89|5.60|6.33|11.93|6.06|6.94|13.00|6.33|6.75|13.08|5.55|6.71|12.26|
25/09/18|00:05:38|80589|678799|176862271|99.95|217088|875032|4144787|94.81|230435057|7625146|5447484|31553939|489202|120273|101377|125817|1019|0|0|0|0|0|0|0|0|0|0|4367.99|2474.28|1030|3090|3489|587|378520163|0|0|15|174298|417291|4202|15007|12402|40020|18241|334|348|P-2|130|256|347458|2621|132.57|6:53|1023947|292938|148|0.01|L-3|74|256|979504|73281|2537|13.4|28.9|OLDRSAM|978264|144125416|305000|3918|11537555456|2712208|104578|0|420|43|7|55419|0|16705845|16822660|1|17|100000|0|104.01|54.05|158.06|95.98|38.04|134.02|887.78|490.34|1378.12|731.98|368.65|1100.63|743.61|408.88|1152.49|728.27|365.07|1093.34|869.02|469.04|1338.06|19.60|10.25|29.85|12.97|10.45|23.42|8.63|8.83|17.46|8.29|9.01|17.30|6.12|6.82|12.94|6.52|7.37|13.89|5.60|6.34|11.94|6.06|6.94|13.00|6.33|6.75|13.08|5.55|6.72|12.27|
25/09/18|00:06:34|80589|678799|176887305|99.95|217269|875733|4144916|94.81|230465742|7626139|5448132|31556751|489204|120283|101377|125823|1019|0|0|0|0|0|0|0|0|0|0|4368.82|2474.71|1031|3093|3489|587|378625666|0|0|15|174302|417342|4202|15007|12402|40020|18241|334|348|P-1|0|256|347751|2623|132.58|6:53|1023947|293231|38|0.00|L-2|0|256|979531|73357|2539|13.4|28.9|OLDRSAM|978290|144127852|305000|3994|11537555456|2712157|104629|0|420|43|7|55427|0|16708591|16825417|1|5|100000|0|104.02|54.05|158.07|96.03|38.05|134.08|887.85|490.39|1378.24|732.22|368.76|1100.98|743.80|408.97|1152.77|728.39|365.14|1093.53|869.15|469.11|1338.26|19.60|10.25|29.85|12.98|10.45|23.43|8.63|8.83|17.46|8.29|9.01|17.30|6.12|6.82|12.94|6.52|7.37|13.89|5.60|6.34|11.94|6.06|6.94|13.00|6.33|6.76|13.09|5.55|6.72|12.27|
25/09/18|00:07:29|80589|678799|176912141|99.95|217269|875733|4145423|94.81|230496684|7627206|5448880|31560270|489228|120292|101377|125828|1019|0|0|0|0|0|0|0|0|0|0|4369.57|2475.16|1031|3093|3489|587|378665776|0|0|15|174327|417405|4202|15007|12402|40020|18241|335|349|P-1|0|256|347751|2623|132.58|6:53|1023947|293231|38|0.00|L-2|1|256|979551|73357|2539|13.4|28.9|OLDRSAM|978310|144129812|305000|3994|11537555456|2711960|104826|0|421|43|7|55450|0|16711449|16828297|1|18|100000|0|104.04|54.06|158.10|96.04|38.06|134.10|887.92|490.44|1378.36|732.42|368.86|1101.28|743.99|409.07|1153.06|728.50|365.22|1093.72|869.25|469.17|1338.42|19.60|10.25|29.85|12.98|10.45|23.43|8.63|8.83|17.46|8.29|9.01|17.30|6.13|6.83|12.96|6.52|7.37|13.89|5.60|6.34|11.94|6.06|6.94|13.00|6.33|6.76|13.09|5.55|6.72|12.27|
25/09/18|00:08:25|80590|678807|176939834|99.95|217269|875733|4146429|94.81|230530680|7628424|5449814|31564604|489276|120302|101377|125834|1019|0|0|0|0|0|0|0|0|0|0|4370.54|2475.65|1031|3093|3489|587|378740853|0|0|15|174377|417517|4202|15007|12402|40020|18241|327|341|P-1|0|256|347751|2623|132.58|6:53|1023947|293231|38|0.00|L-2|2|256|979575|73357|2539|13.4|28.9|OLDRSAM|978334|144132164|305000|3994|11537555456|2711163|105623|0|415|43|7|55481|0|16714628|16831507|1|18|100000|0|104.05|54.07|158.12|96.07|38.06|134.13|888.01|490.49|1378.50|732.55|368.92|1101.47|744.32|409.21|1153.53|728.64|365.30|1093.94|869.40|469.23|1338.63|19.60|10.25|29.85|12.98|10.46|23.44|8.64|8.83|17.47|8.29|9.02|17.31|6.13|6.83|12.96|6.53|7.37|13.90|5.61|6.34|11.95|6.07|6.95|13.02|6.33|6.76|13.09|5.56|6.72|12.28|
25/09/18|00:09:20|80590|678807|176972350|99.95|217269|875733|4147006|94.81|230569673|7629758|5450701|31568917|489306|120322|101377|125852|1019|0|0|0|0|0|0|0|0|0|0|4371.41|2476.13|1031|3093|3489|587|378793770|0|0|15|174402|417600|4202|15007|12402|40020|18241|333|347|P-1|58|256|347751|2623|132.58|6:53|1023947|293231|96|0.01|L-2|8|256|979697|73357|2539|13.4|28.9|OLDRSAM|978456|144142748|305000|3994|11537555456|2711432|105354|0|419|43|7|55503|0|16717703|16834604|1|17|100000|0|104.07|54.08|158.15|96.10|38.07|134.17|888.08|490.54|1378.62|732.67|368.98|1101.65|744.60|409.36|1153.96|728.79|365.39|1094.18|869.54|469.30|1338.84|19.61|10.25|29.86|12.99|10.46|23.45|8.64|8.84|17.48|8.30|9.02|17.32|6.13|6.83|12.96|6.53|7.37|13.90|5.61|6.34|11.95|6.07|6.95|13.02|6.33|6.76|13.09|5.56|6.72|12.28|
