date|time|dskreads|pagreads|bufreads|rcached|dskwrits|pagwrits|bufwrits|wcached|isamtot|open|start|read|write|rewrite|delete|commit|rollbk|gp_read|gp_write|gp_rewrt|gp_del|gp_alloc|gp_free|gp_curs|ovlock|ovuserthread|ovbuff|usercpu|syscpu|numckpts|flushes|bufwaits|lokwaits|lockreqs|deadlks|dltouts|ckpwaits|compress|seqscans|ixdaRA|idxRA|daRA|RApgsused|lchwaits|sessions|activelocks|pbuffer|pbufused|pbufsize|pnumpages|pnumwrits|ppagesio|pphybegin|pphysize|pphypos|pphyused|pphypcnt|lbuffer|lbufused|lbufsize|lnumrecs|lnumpages|lnumwrits|lrecspages|lpagesio|lsubsystem|lsnumrecs|lsspaceused|lltotalsize|lltotalused|shmtotal|blkused|blkfree|threadrea|threadwai|threadsle|netaccept|netreject|netread|netwrite|sdeclient|buffdirty|bufftotal|ckptreq|user1|sys1|total1|user2|sys2|total2|user3|sys3|total3|user4|sys4|total4|user5|sys5|total5|user6|sys6|total6|user7|sys7|total7|user8|sys8|total8|user9|sys9|total9|user10|sys10|total10|user11|sys11|total11|user12|sys12|total12|user13|sys13|total13|user14|sys14|total14|user15|sys15|total15|user16|sys16|total16|user17|sys17|total17|
28/10/18|00:01:01|15758324|224529485|81023728802|99.98|18907986|204161633|484885263|96.39|199161082866|22285991273|3090481037|31378228553|106289903|26177958|5066731|15076222|5446|0|0|0|0|0|0|0|0|0|0|557301.41|98664.06|9340|40580|4945963|154838|114446986271|0|0|8406|10914939|2080740979|37593|30715637|894620|216023|970158|683|696|P-2|70|256|74132263|298197|248.60|2:53|1023947|266351|13308|1.30|L-2|215|256|430810788|18545540|154795|23.2|119.8|OLDRSAM|430762278|37314585216|4080000|24637|86374424576|19169950|1917556|0|789|49|5123072|17|2084941661|2104955015|1|37|100000|0|83558.02|18041.91|101599.93|81739.60|17199.55|98939.15|78089.60|16684.52|94774.12|77428.80|16812.18|94240.98|79349.12|17488.14|96837.26|8534.68|742.54|9277.22|7267.47|674.64|7942.11|10267.09|454.98|10722.07|8474.01|410.30|8884.31|7429.30|373.80|7803.10|6477.95|348.32|6826.27|6527.05|327.58|6854.63|5219.67|323.98|5543.65|5004.20|310.76|5314.96|4746.82|283.28|5030.10|4921.20|289.67|5210.87|4456.18|293.23|4749.41|
28/10/18|00:01:56|15758481|224552355|81072895173|99.98|18908037|204168224|484999051|96.39|199268959891|22289261135|3090537093|31390335884|106303399|26182450|5069730|15083723|5446|0|0|0|0|0|0|0|0|0|0|557429.16|98666.83|9340|40580|4946557|154891|114520780034|0|0|8406|10915239|2080742213|37593|30715637|894620|216023|970158|682|695|P-1|43|256|74133037|298200|248.60|2:53|1023947|267125|14055|1.37|L-2|45|256|430948769|18550365|154820|23.2|119.8|OLDRSAM|430900259|37324815616|4080000|30045|86374424576|19169466|1918040|0|788|49|5123100|17|2085135237|2105148569|1|31|100000|0|83575.02|18042.58|101617.60|81761.49|17200.13|98961.62|78103.83|16684.91|94788.74|77443.80|16812.88|94256.68|79361.35|17488.47|96849.82|8535.20|742.55|9277.75|7268.54|674.65|7943.19|10269.05|454.99|10724.04|8476.19|410.31|8886.50|7430.88|373.80|7804.68|6481.29|348.32|6829.61|6529.36|327.60|6856.96|5220.87|323.98|5544.85|5005.44|310.77|5316.21|4749.15|283.29|5032.44|4922.32|289.68|5212.00|4456.74|293.23|4749.97|
28/10/18|00:02:51|15758669|224581289|81126633775|99.98|18908097|204174912|485124389|96.39|199385930830|22292838457|3090593537|31403311862|106318235|26187431|5073068|15092028|5446|0|0|0|0|0|0|0|0|0|0|557554.52|98669.20|9340|40580|4947163|154943|114601970453|0|0|8406|10915551|2080743189|37593|30715637|894620|216023|970158|670|717|P-2|100|256|74133296|298201|248.60|2:53|1023947|267384|14371|1.40|L-1|94|256|431100957|18556250|154854|23.2|119.8|OLDRSAM|431052447|37336095524|4080000|35347|86374424576|19168827|1918679|0|777|49|5123106|17|2085327059|2105340462|1|31|100000|0|83590.85|18043.01|101633.86|81781.23|17200.45|98981.68|78118.04|16685.37|94803.41|77458.54|16813.66|94272.20|79370.39|17488.70|96859.09|8535.46|742.56|9278.02|7268.96|674.66|7943.62|10271.43|455.00|10726.43|8477.62|410.31|8887.93|7432.43|373.81|7806.24|6481.50|348.33|6829.83|6530.48|327.60|6858.08|5223.04|323.98|5547.02|5007.21|310.77|5317.98|4751.20|283.29|5034.49|4923.50|289.68|5213.18|4458.97|293.24|4752.21|
28/10/18|00:03:47|15758931|224625367|81176183560|99.98|18908146|204181006|485241865|96.40|199495739537|22296184687|3090651129|31415731945|106332141|26192082|5076166|15099771|5446|0|0|0|0|0|0|0|0|0|0|557678.50|98671.95|9340|40580|4947788|154990|114675889754|0|0|8406|10915874|2080744422|37593|30715637|894620|216023|970158|679|758|P-1|122|256|74133556|298202|248.60|2:53|1023947|267644|14653|1.43|L-3|161|256|431243237|18561028|154878|23.2|119.8|OLDRSAM|431194727|37346642792|4080000|40637|86374424576|19166558|1920948|0|786|49|5123134|17|2085524810|2105538191|1|35|100000|0|83604.01|18043.56|101647.57|81795.89|17200.88|98996.77|78130.93|16685.82|94816.75|77474.92|16814.39|94289.31|79379.61|17489.15|96868.76|8535.74|742.57|9278.31|7269.28|674.68|7943.96|10271.57|455.01|10726.58|8478.26|410.32|8888.58|7434.28|373.81|7808.09|6483.69|348.33|6832.02|6532.58|327.60|6860.18|5224.78|323.98|5548.76|5009.96|310.77|5320.73|4753.13|283.30|5036.43|4926.19|289.69|5215.88|4459.36|293.24|4752.60|
28/10/18|00:04:42|15759081|224646399|81230458593|99.98|18913338|204223346|485367014|96.39|199614757692|22299730029|3090707088|31429116758|106346831|26196962|5079427|15107932|5446|0|0|0|0|0|0|0|0|0|0|557808.56|98674.48|9341|40584|4948489|155045|114757307845|0|0|8407|10916208|2080745461|37593|30715637|894620|216023|970158|671|683|P-2|238|256|74146216|298254|248.60|2:53|1023947|280304|12042|1.18|L-3|77|256|431393356|18566799|154933|23.2|119.8|OLDRSAM|431344845|37357776900|4080000|46152|86374424576|19168036|1919470|0|777|49|5123144|17|2085719186|2105732629|1|24|100000|0|83621.17|18044.12|101665.29|81812.21|17201.28|99013.49|78145.98|16686.32|94832.30|77491.27|16814.99|94306.26|79390.36|17489.44|96879.80|8536.68|742.59|9279.27|7270.02|674.70|7944.72|10276.21|455.01|10731.22|8479.65|410.34|8889.99|7435.95|373.81|7809.76|6483.79|348.34|6832.13|6533.28|327.61|6860.89|5226.56|323.99|5550.55|5011.34|310.78|5322.12|4753.30|283.30|5036.60|4928.61|289.70|5218.31|4461.76|293.26|4755.02|
28/10/18|00:05:37|15759246|224675112|81280098457|99.98|18913395|204230648|485485071|96.40|199725057693|22303076212|3090765006|31441637852|106360701|26201656|5082575|15115740|5446|0|0|0|0|0|0|0|0|0|0|557932.83|98677.28|9341|40584|4949146|155071|114831187998|0|0|8407|10916559|2080746913|37593|30715637|894620|216023|970158|680|718|P-1|226|256|74147508|298259|248.60|2:53|1023947|281596|13322|1.30|L-3|31|256|431536003|18572233|154960|23.2|119.9|OLDRSAM|431487492|37368358216|4080000|51586|86374424576|19165743|1921763|0|783|49|5123178|17|2085918272|2105931697|1|29|100000|0|83635.57|18044.71|101680.28|81825.04|17201.82|99026.86|78157.20|16686.83|94844.03|77506.27|16815.77|94322.04|79397.77|17489.69|96887.46|8537.48|742.61|9280.09|7270.16|674.71|7944.87|10277.79|455.02|10732.81|8481.04|410.34|8891.38|7438.34|373.82|7812.16|6490.62|348.34|6838.96|6536.05|327.62|6863.67|5228.38|323.99|5552.37|5011.74|310.78|5322.52|4754.36|283.31|5037.67|4928.75|289.72|5218.47|4465.47|293.26|4758.73|
28/10/18|00:06:33|15759501|224712502|81331155299|99.98|18913450|204238033|485608575|96.40|199837987885|22306615516|3090820746|31454268678|106375339|26206487|5085779|15123806|5446|0|0|0|0|0|0|0|0|0|0|558061.22|98679.90|9341|40584|4949757|155113|114907700969|0|0|8407|10916904|2080748143|37593|30715637|894620|216023|970158|680|738|P-1|202|256|74148555|298263|248.60|2:53|1023947|282643|14345|1.40|L-3|65|256|431694156|18578027|154988|23.2|119.9|OLDRSAM|431645645|37380103620|4080000|57124|86374424576|19164990|1922516|0|785|49|5123197|17|2086120301|2106133734|1|28|100000|0|83650.85|18045.48|101696.33|81839.29|17202.27|99041.56|78171.69|16687.36|94859.05|77519.84|16816.42|94336.26|79406.48|17489.99|96896.47|8538.80|742.62|9281.42|7270.38|674.71|7945.09|10280.28|455.02|10735.30|8484.35|410.35|8894.70|7441.30|373.82|7815.12|6492.55|348.34|6840.89|6536.26|327.62|6863.88|5228.57|324.00|5552.57|5012.50|310.79|5323.29|4755.52|283.31|5038.83|4929.58|289.72|5219.30|4466.99|293.26|4760.25|
28/10/18|00:07:28|15759706|224742540|81383738726|99.98|18913507|204245215|485732978|96.40|199953640318|22310152518|3090881668|31467246365|106390036|26211395|5089054|15131995|5446|0|0|0|0|0|0|0|0|0|0|558184.80|98682.72|9341|40584|4950476|155160|114986541574|0|0|8407|10917252|2080749698|37593|30715637|894620|216023|970158|682|778|P-1|62|256|74149583|298267|248.60|2:53|1023947|283671|15233|1.49|L-2|117|256|431835620|18583093|155013|23.2|119.9|OLDRSAM|431787109|37390604808|4080000|62446|86374424576|19163465|1924041|0|787|49|5123217|17|2086315862|2106329321|1|35|100000|0|83666.57|18046.20|101712.77|81854.01|17202.69|99056.70|78185.16|16687.97|94873.13|77528.67|16816.84|94345.51|79416.16|17490.35|96906.51|8540.38|742.63|9283.01|7272.71|674.71|7947.42|10281.30|455.03|10736.33|8486.25|410.35|8896.60|7441.76|373.82|7815.58|6494.60|348.35|6842.95|6537.54|327.63|6865.17|5229.54|324.01|5553.55|5012.84|310.79|5323.63|4756.39|283.32|5039.71|4931.00|289.73|5220.73|4467.92|293.27|4761.19|
28/10/18|00:08:23|15759864|224765633|81433100044|99.98|18913558|204252025|485849537|96.40|200061193322|22313488133|3090936862|31479157113|106403858|26215996|5092120|15139665|5446|0|0|0|0|0|0|0|0|0|0|558313.59|98685.43|9341|40584|4951053|155212|115061117908|0|0|8407|10917592|2080751058|37593|30715637|894620|216023|970158|682|737|P-2|82|256|74150105|298269|248.60|2:53|1023947|284455|16037|1.57|L-1|89|256|431976918|18588351|155038|23.2|119.9|OLDRSAM|431928407|37401095560|4080000|67960|86374424576|19163866|1923640|0|787|49|5123236|17|2086514834|2106528287|1|41|100000|0|83684.94|18046.85|101731.79|81870.70|17203.11|99073.81|78200.57|16688.56|94889.13|77540.86|16817.30|94358.16|79428.15|17490.80|96918.95|8541.62|742.65|9284.27|7273.01|674.73|7947.74|10281.49|455.04|10736.53|8486.70|410.36|8897.06|7444.43|373.83|7818.26|6495.09|348.36|6843.45|6538.61|327.64|6866.25|5231.27|324.02|5555.29|5017.65|310.79|5328.44|4757.31|283.33|5040.64|4934.20|289.73|5223.93|4470.76|293.27|4764.03|
28/10/18|00:09:19|15760022|224788695|81483448736|99.98|18913612|204259021|485969605|96.40|200170944262|22316917316|3090993268|31491294301|106418049|26220719|5095264|15147555|5446|0|0|0|0|0|0|0|0|0|0|558441.41|98687.85|9341|40584|4951554|155250|115137206211|0|0|8407|10917926|2080752226|37593|30715637|894620|216023|970158|683|754|P-1|232|256|74151143|298273|248.60|2:53|1023947|285231|16963|1.66|L-2|20|256|432122007|18593547|155063|23.2|119.9|OLDRSAM|432073496|37411877612|4080000|73156|86374424576|19162038|1925468|0|752|49|5123255|17|2086701204|2106714686|1|43|100000|0|83704.51|18047.38|101751.89|81889.15|17203.39|99092.54|78219.79|16689.18|94908.97|77553.14|16817.63|94370.77|79440.08|17491.33|96931.41|8542.53|742.67|9285.20|7273.65|674.73|7948.38|10282.51|455.05|10737.56|8488.58|410.36|8898.94|7445.34|373.83|7819.17|6496.79|348.36|6845.15|6539.35|327.65|6867.00|5232.57|324.03|5556.60|5017.74|310.80|5328.54|4757.85|283.33|5041.18|4934.26|289.73|5223.99|4474.09|293.27|4767.36|
