date|time|dskreads|pagreads|bufreads|rcached|dskwrits|pagwrits|bufwrits|wcached|isamtot|open|start|read|write|rewrite|delete|commit|rollbk|gp_read|gp_write|gp_rewrt|gp_del|gp_alloc|gp_free|gp_curs|ovlock|ovuserthread|ovbuff|usercpu|syscpu|numckpts|flushes|bufwaits|lokwaits|lockreqs|deadlks|dltouts|ckpwaits|compress|seqscans|ixdaRA|idxRA|daRA|RApgsused|lchwaits|sessions|activelocks|pbuffer|pbufused|pbufsize|pnumpages|pnumwrits|ppagesio|pphybegin|pphysize|pphypos|pphyused|pphypcnt|lbuffer|lbufused|lbufsize|lnumrecs|lnumpages|lnumwrits|lrecspages|lpagesio|lsubsystem|lsnumrecs|lsspaceused|lltotalsize|lltotalused|shmtotal|blkused|blkfree|threadrea|threadwai|threadsle|netaccept|netreject|netread|netwrite|sdeclient|buffdirty|bufftotal|ckptreq|user1|sys1|total1|user2|sys2|total2|user3|sys3|total3|user4|sys4|total4|user5|sys5|total5|user6|sys6|total6|user7|sys7|total7|user8|sys8|total8|user9|sys9|total9|user10|sys10|total10|user11|sys11|total11|user12|sys12|total12|user13|sys13|total13|user14|sys14|total14|user15|sys15|total15|user16|sys16|total16|user17|sys17|total17|
01/11/18|00:01:01|2327882|26031424|2269509605|99.90|4580488|41706965|36473400|88.13|16117360751|3292232090|158203513|1159999720|10019024|3684407|400899|1848480|1|0|0|0|0|0|0|0|0|0|0|43697.75|9552.97|721|2900|43747|54|2974012371|0|0|558|407523|70726168|53962|14144517|979425|2|1030139|670|688|P-1|38|256|3612222|15655|230.74|2:53|1023947|497926|110|0.01|L-2|8|256|41386742|1845177|14173|22.4|130.2|OLDRSAM|41386021|3714411508|4080000|2945|86374424576|19197551|1889955|0|773|49|497532|213|237337603|236336482|1|15|100000|0|6814.72|1649.59|8464.31|6986.54|1667.71|8654.25|6773.01|1593.09|8366.10|6599.49|1542.36|8141.85|6583.52|1623.73|8207.25|1337.29|124.37|1461.66|999.58|101.14|1100.72|847.95|76.28|924.23|645.80|60.28|706.08|504.70|52.53|557.23|386.10|45.06|431.16|308.79|39.16|347.95|257.68|35.84|293.52|220.18|32.66|252.84|194.50|31.64|226.14|185.34|31.53|216.87|176.41|30.93|207.34|
01/11/18|00:01:56|2327891|26033472|2269758660|99.90|4580488|41706965|36473558|88.13|16117701906|3292262014|158228368|1160108961|10019033|3684422|400899|1848493|1|0|0|0|0|0|0|0|0|0|0|43702.34|9554.76|721|2900|43747|54|2974274533|0|0|558|407541|70729723|53962|14144517|979425|2|1030139|669|688|P-1|38|256|3612222|15655|230.74|2:53|1023947|497926|110|0.01|L-2|11|256|41386802|1845177|14173|22.4|130.2|OLDRSAM|41386081|3714417692|4080000|2945|86374424576|19196432|1891074|0|771|49|497616|213|237366543|236364987|1|15|100000|0|6814.93|1649.67|8464.60|6986.71|1667.77|8654.48|6774.45|1593.68|8368.13|6599.63|1542.42|8142.05|6585.91|1624.61|8210.52|1337.34|124.37|1461.71|999.59|101.15|1100.74|847.96|76.28|924.24|645.88|60.29|706.17|504.70|52.53|557.23|386.10|45.07|431.17|308.80|39.16|347.96|257.68|35.84|293.52|220.18|32.66|252.84|194.51|31.64|226.15|185.34|31.54|216.88|176.41|30.93|207.34|
01/11/18|00:02:52|2327891|26033472|2270011299|99.90|4580488|41706965|36473946|88.13|16118047264|3292291265|158254407|1160219650|10019040|3684439|400899|1848509|1|0|0|0|0|0|0|0|0|0|0|43706.75|9556.67|721|2900|43747|54|2974542657|0|0|558|407574|70734648|53962|14144517|979425|2|1030139|669|687|P-1|60|256|3612222|15655|230.74|2:53|1023947|497926|132|0.01|L-2|15|256|41386879|1845177|14173|22.4|130.2|OLDRSAM|41386158|3714425324|4080000|2945|86374424576|19196543|1890963|0|771|49|497709|213|237395849|236393874|1|24|100000|0|6815.55|1649.94|8465.49|6986.85|1667.85|8654.70|6776.24|1594.44|8370.68|6600.17|1542.66|8142.83|6586.93|1625.04|8211.97|1337.41|124.38|1461.79|999.59|101.15|1100.74|847.97|76.28|924.25|645.89|60.29|706.18|504.71|52.53|557.24|386.11|45.07|431.18|308.80|39.16|347.96|257.73|35.84|293.57|220.19|32.66|252.85|194.51|31.64|226.15|185.35|31.54|216.89|176.41|30.93|207.34|
01/11/18|00:03:47|2327893|26033474|2270254087|99.90|4580647|41708096|36474126|88.13|16118382229|3292320388|158278277|1160326875|10019046|3684451|400899|1848519|1|0|0|0|0|0|0|0|0|0|0|43711.26|9558.37|722|2904|43747|54|2974816548|0|0|558|407586|70738202|53962|14144517|979425|2|1030139|670|689|P-2|12|256|3612747|15658|230.73|2:53|1023947|498451|54|0.01|L-2|2|256|41386922|1845195|14176|22.4|130.2|OLDRSAM|41386200|3714429480|4080000|2963|86374424576|19196291|1891215|0|772|49|497795|213|237422575|236420188|1|15|100000|0|6816.62|1650.33|8466.95|6987.91|1668.29|8656.20|6777.71|1594.96|8372.67|6600.27|1542.70|8142.97|6587.58|1625.30|8212.88|1337.42|124.38|1461.80|999.62|101.15|1100.77|847.97|76.28|924.25|645.89|60.29|706.18|504.71|52.53|557.24|386.11|45.07|431.18|308.80|39.16|347.96|257.74|35.85|293.59|220.19|32.66|252.85|194.52|31.64|226.16|185.35|31.54|216.89|176.41|30.94|207.35|
01/11/18|00:04:42|2327893|26033474|2270469758|99.90|4580647|41708096|36474261|88.13|16118688184|3292347444|158299983|1160421747|10019056|3684470|400899|1848538|1|0|0|0|0|0|0|0|0|0|0|43715.65|9560.18|722|2904|43747|54|2975032054|0|0|558|407600|70741819|53962|14144517|979425|2|1030139|670|689|P-2|100|256|3612747|15658|230.73|2:53|1023947|498451|142|0.01|L-2|7|256|41387016|1845195|14176|22.4|130.2|OLDRSAM|41386294|3714439192|4080000|2963|86374424576|19196459|1891047|0|772|49|497883|213|237452149|236449357|1|15|100000|0|6816.88|1650.43|8467.31|6989.41|1668.89|8658.30|6777.82|1595.01|8372.83|6602.09|1543.40|8145.49|6588.17|1625.53|8213.70|1337.42|124.39|1461.81|999.63|101.16|1100.79|848.01|76.29|924.30|645.89|60.30|706.19|504.71|52.54|557.25|386.11|45.08|431.19|308.81|39.17|347.98|257.74|35.85|293.59|220.19|32.66|252.85|194.52|31.64|226.16|185.35|31.54|216.89|176.41|30.94|207.35|
01/11/18|00:05:38|2327893|26033474|2270724764|99.90|4580647|41708096|36474374|88.13|16119071301|3292385811|158325514|1160533251|10019062|3684485|400899|1848551|1|0|0|0|0|0|0|0|0|0|0|43719.99|9561.96|722|2904|43747|54|2975319510|0|0|558|407612|70745501|53962|14144517|979425|2|1030139|677|695|P-2|100|256|3612747|15658|230.73|2:53|1023947|498451|142|0.01|L-2|9|256|41387076|1845195|14176|22.4|130.2|OLDRSAM|41386354|3714445376|4080000|2963|86374424576|19197354|1890152|0|779|49|497976|213|237479185|236475979|1|15|100000|0|6817.58|1650.71|8468.29|6992.09|1669.97|8662.06|6777.96|1595.08|8373.04|6602.18|1543.45|8145.63|6588.76|1625.78|8214.54|1337.42|124.40|1461.82|999.63|101.16|1100.79|848.06|76.29|924.35|645.90|60.30|706.20|504.72|52.54|557.26|386.12|45.08|431.20|308.81|39.17|347.98|257.75|35.85|293.60|220.19|32.66|252.85|194.52|31.65|226.17|185.35|31.54|216.89|176.41|30.94|207.35|
01/11/18|00:06:33|2327893|26033474|2270969903|99.90|4580647|41708096|36474503|88.13|16119416308|3292416588|158350296|1160641442|10019069|3684501|400899|1848563|1|0|0|0|0|0|0|0|0|0|0|43724.58|9563.71|722|2904|43747|54|2975596841|0|0|558|407626|70749502|53962|14144517|979425|2|1030139|670|688|P-2|100|256|3612747|15658|230.73|2:53|1023947|498451|142|0.01|L-2|12|256|41387132|1845195|14176|22.4|130.2|OLDRSAM|41386410|3714451168|4080000|2963|86374424576|19196042|1891464|0|772|49|498064|213|237508508|236504883|1|15|100000|0|6817.84|1650.81|8468.65|6993.16|1670.41|8663.57|6779.76|1595.73|8375.49|6602.32|1543.51|8145.83|6589.85|1626.18|8216.03|1337.43|124.40|1461.83|999.64|101.17|1100.81|848.07|76.29|924.36|645.90|60.30|706.20|504.73|52.54|557.27|386.13|45.08|431.21|308.82|39.17|347.99|257.75|35.85|293.60|220.20|32.67|252.87|194.53|31.65|226.18|185.35|31.54|216.89|176.41|30.95|207.36|
01/11/18|00:07:28|2327893|26033474|2271216742|99.90|4580647|41708096|36474781|88.13|16119768473|3292446638|158374825|1160750096|10019078|3684516|400899|1848576|1|0|0|0|0|0|0|0|0|0|0|43728.60|9565.29|722|2904|43747|54|2975890654|0|0|558|407653|70753648|53962|14144517|979425|2|1030139|670|688|P-2|122|256|3612747|15658|230.73|2:53|1023947|498451|164|0.02|L-2|15|256|41387189|1845195|14176|22.4|130.2|OLDRSAM|41386467|3714456688|4080000|2963|86374424576|19195732|1891774|0|772|49|498152|213|237535321|236531284|1|24|100000|0|6819.78|1651.49|8471.27|6993.33|1670.57|8663.90|6780.44|1596.00|8376.44|6603.28|1543.87|8147.15|6590.03|1626.26|8216.29|1337.44|124.41|1461.85|999.64|101.17|1100.81|848.07|76.29|924.36|645.91|60.30|706.21|504.73|52.54|557.27|386.13|45.08|431.21|308.82|39.17|347.99|257.75|35.85|293.60|220.20|32.67|252.87|194.53|31.65|226.18|185.36|31.54|216.90|176.42|30.95|207.37|
01/11/18|00:08:24|2327895|26033476|2271465263|99.90|4580823|41709434|36475109|88.13|16120108548|3292476679|158399884|1160858955|10019084|3684529|400899|1848587|1|0|0|0|0|0|0|0|0|0|0|43733.38|9567.20|723|2908|43747|54|2976142658|0|0|558|407675|70757595|53962|14144517|979425|2|1030139|671|689|P-2|12|256|3613363|15662|230.71|2:53|1023947|499067|82|0.01|L-2|1|256|41387244|1845214|14179|22.4|130.1|OLDRSAM|41386521|3714462172|4080000|2982|86374424576|19195807|1891699|0|773|49|498232|213|237563403|236558973|1|15|100000|0|6820.48|1651.78|8472.26|6995.32|1671.39|8666.71|6781.93|1596.57|8378.50|6603.43|1543.94|8147.37|6590.19|1626.34|8216.53|1337.45|124.41|1461.86|999.65|101.17|1100.82|848.08|76.30|924.38|645.92|60.30|706.22|504.81|52.54|557.35|386.17|45.08|431.25|308.83|39.17|348.00|257.75|35.85|293.60|220.20|32.67|252.87|194.53|31.65|226.18|185.36|31.55|216.91|176.42|30.95|207.37|
01/11/18|00:09:19|2327895|26033476|2271709903|99.90|4580823|41709434|36475216|88.13|16120448672|3292506289|158423560|1160966300|10019090|3684542|400899|1848597|1|0|0|0|0|0|0|0|0|0|0|43737.66|9568.96|723|2908|43747|54|2976420326|0|0|558|407687|70761086|53962|14144517|979425|2|1030139|671|689|P-2|12|256|3613363|15662|230.71|2:53|1023947|499067|82|0.01|L-2|3|256|41387288|1845214|14179|22.4|130.1|OLDRSAM|41386565|3714466636|4080000|2982|86374424576|19195748|1891758|0|773|49|498320|213|237588807|236584002|1|15|100000|0|6821.10|1652.03|8473.13|6995.45|1671.46|8666.91|6782.49|1596.79|8379.28|6604.38|1544.31|8148.69|6592.05|1627.13|8219.18|1337.50|124.41|1461.91|999.66|101.17|1100.83|848.09|76.30|924.39|645.92|60.30|706.22|504.82|52.54|557.36|386.18|45.08|431.26|308.83|39.17|348.00|257.76|35.85|293.61|220.20|32.67|252.87|194.54|31.65|226.19|185.37|31.55|216.92|176.42|30.95|207.37|
