date|time|dskreads|pagreads|bufreads|rcached|dskwrits|pagwrits|bufwrits|wcached|isamtot|open|start|read|write|rewrite|delete|commit|rollbk|gp_read|gp_write|gp_rewrt|gp_del|gp_alloc|gp_free|gp_curs|ovlock|ovuserthread|ovbuff|usercpu|syscpu|numckpts|flushes|bufwaits|lokwaits|lockreqs|deadlks|dltouts|ckpwaits|compress|seqscans|ixdaRA|idxRA|daRA|RApgsused|lchwaits|sessions|activelocks|pbuffer|pbufused|pbufsize|pnumpages|pnumwrits|ppagesio|pphybegin|pphysize|pphypos|pphyused|pphypcnt|lbuffer|lbufused|lbufsize|lnumrecs|lnumpages|lnumwrits|lrecspages|lpagesio|lsubsystem|lsnumrecs|lsspaceused|lltotalsize|lltotalused|shmtotal|blkused|blkfree|threadrea|threadwai|threadsle|netaccept|netreject|netread|netwrite|sdeclient|buffdirty|bufftotal|ckptreq|user1|sys1|total1|user2|sys2|total2|user3|sys3|total3|user4|sys4|total4|user5|sys5|total5|user6|sys6|total6|user7|sys7|total7|user8|sys8|total8|user9|sys9|total9|user10|sys10|total10|user11|sys11|total11|user12|sys12|total12|user13|sys13|total13|user14|sys14|total14|user15|sys15|total15|user16|sys16|total16|user17|sys17|total17|user18|sys18|total18|user19|sys19|total19|user20|sys20|total20|user21|sys21|total21|user22|sys22|total22|user23|sys23|total23|user24|sys24|total24|user25|sys25|total25|user26|sys26|total26|user27|sys27|total27|user28|sys28|total28|user29|sys29|total29|user30|sys30|total30|user31|sys31|total31|user32|sys32|total32|user33|sys33|total33|user34|sys34|total34|user35|sys35|total35|user36|sys36|total36|user37|sys37|total37|user38|sys38|total38|user39|sys39|total39|user40|sys40|total40|pagesize2|dskreads2|pagereads2|buffreads2|rcachepc2|dskwrits2|pagwrits2|bufwrits2|wcachepc2|bufwrits_sinceckpt2|bufwaits2|ovbuff2|flushes2|fgwrits2|lruwrites2|avlru2|chunkwrites2|totalmemory2|id2|size2|buffers2|pagesize4|dskreads4|pagereads4|buffreads4|rcachepc4|dskwrits4|pagwrits4|bufwrits4|wcachepc4|bufwrits_sinceckpt4|bufwaits4|ovbuff4|flushes4|fgwrits4|lruwrites4|avlru4|chunkwrites4|totalmemory4|id4|size4|buffers4|pagesize8|dskreads8|pagereads8|buffreads8|rcachepc8|dskwrits8|pagwrits8|bufwrits8|wcachepc8|bufwrits_sinceckpt8|bufwaits8|ovbuff8|flushes8|fgwrits8|lruwrites8|avlru8|chunkwrites8|totalmemory8|id8|size8|buffers8|pagesize16|dskreads16|pagereads16|buffreads16|rcachepc16|dskwrits16|pagwrits16|bufwrits16|wcachepc16|bufwrits_sinceckpt16|bufwaits16|ovbuff16|flushes16|fgwrits16|lruwrites16|avlru16|chunkwrites16|totalmemory16|id16|size16|buffers16|
04/11/18|00:01:01|885231|7984147|987597175|99.91|2780317|23585711|25471164|89.32|7424411881|1552913483|71918348|352488750|6222609|1264637|759|729262|891|0|0|0|0|0|0|0|0|0|0|23228.98|5238.86|457|1840|14220|38|983197095|0|0|311|859908|22740652|8971|1026|196338|2|140078|759|779|P-1|241|256|2779249|11829|234.95|2:53|1023947|545542|314|0.03|L-3|21|256|17315416|663237|5762|26.1|115.1|OLDRSAM|17314959|1333992848|4080000|1000|86374424576|19038097|2049409|0|861|49|237946|237|122608210|121846002|1|892|100000|0|3543.97|951.68|4495.65|3343.33|894.79|4238.12|3351.46|921.72|4273.18|3210.72|868.54|4079.26|3226.22|864.00|4090.22|757.36|60.70|818.06|650.07|55.19|705.26|599.88|43.52|643.40|500.47|36.81|537.28|407.13|30.89|438.02|324.21|26.43|350.64|256.51|23.63|280.14|210.12|20.60|230.72|170.94|17.88|188.82|146.07|17.00|163.07|124.31|14.98|139.29|114.84|15.58|130.42|108.87|14.84|123.71|101.47|13.80|115.27|100.84|14.50|115.34|100.89|13.99|114.88|100.20|13.67|113.87|96.61|13.59|110.20|98.62|14.06|112.68|97.18|13.93|111.11|93.51|13.78|107.29|93.57|13.99|107.56|95.49|14.36|109.85|95.29|14.65|109.94|95.46|14.92|110.38|97.66|14.97|112.63|96.04|15.35|111.39|94.43|15.17|109.60|95.60|15.52|111.12|95.13|15.83|110.96|95.09|15.86|110.95|94.33|16.32|110.65|96.23|16.10|112.33|97.31|16.33|113.64|125.07|16.04|141.11|2|104150|1073371|20933970|99.50|116684|3735191|11193970|98.96|5236|304|0|457|0|2480|0.003|19047|216Mb|0|216Mb|100000|4|524580|2989712|674012954|99.92|215897|431780|2258083|90.44|222|4226|0|442|0|84373|0.006|131524|8198Mb|0|8198Mb|2000000|8|102305|1051912|18853152|99.46|40517|162068|1710796|97.63|0|348|0|45|0|0|0|40517|32022Mb|0|32022Mb|4000000|16|154196|2869152|273797099|99.94|2407219|19256672|10308315|76.65|187|9342|0|457|0|2300891|0.003|106328|31636Mb|0|31636Mb|2000000|
04/11/18|00:01:57|885231|7984147|987868559|99.91|2780317|23585711|25471270|89.32|7424773917|1552942069|71941858|352595754|6222615|1264649|759|729270|891|0|0|0|0|0|0|0|0|0|0|23233.08|5240.49|457|1840|14220|38|983495355|0|0|311|859920|22744143|8971|1026|196338|2|140078|760|781|P-1|241|256|2779249|11829|234.95|2:53|1023947|545542|314|0.03|L-3|23|256|17315452|663237|5762|26.1|115.1|OLDRSAM|17314995|1333996528|4080000|1000|86374424576|19038027|2049479|0|866|49|238035|237|122634913|121872258|1|894|100000|0|3544.48|951.88|4496.36|3344.27|895.18|4239.45|3351.66|921.78|4273.44|3212.91|869.42|4082.33|3226.35|864.04|4090.39|757.36|60.70|818.06|650.08|55.20|705.28|599.91|43.53|643.44|500.48|36.81|537.29|407.13|30.89|438.02|324.21|26.43|350.64|256.51|23.64|280.15|210.13|20.60|230.73|170.94|17.88|188.82|146.07|17.00|163.07|124.31|14.98|139.29|114.85|15.58|130.43|108.87|14.84|123.71|101.47|13.80|115.27|100.84|14.50|115.34|100.89|14.00|114.89|100.20|13.67|113.87|96.61|13.59|110.20|98.63|14.06|112.69|97.18|13.93|111.11|93.51|13.78|107.29|93.58|13.99|107.57|95.49|14.36|109.85|95.29|14.65|109.94|95.46|14.92|110.38|97.66|14.97|112.63|96.05|15.35|111.40|94.43|15.18|109.61|95.60|15.52|111.12|95.13|15.83|110.96|95.09|15.86|110.95|94.33|16.32|110.65|96.24|16.10|112.34|97.32|16.33|113.65|125.07|16.04|141.11|2|104150|1073371|20935179|99.50|116684|3735191|11194060|98.96|5326|304|0|457|0|2480|0.003|19047|216Mb|0|216Mb|100000|4|524580|2989712|674280527|99.92|215897|431780|2258095|90.44|234|4226|0|442|0|84373|0.006|131524|8198Mb|0|8198Mb|2000000|8|102305|1051912|18853152|99.46|40517|162068|1710796|97.63|0|348|0|45|0|0|0|40517|32022Mb|0|32022Mb|4000000|16|154196|2869152|273799701|99.94|2407219|19256672|10308319|76.65|191|9342|0|457|0|2300891|0.003|106328|31636Mb|0|31636Mb|2000000|
04/11/18|00:02:52|885231|7984147|988150768|99.91|2780317|23585711|25471384|89.32|7425151532|1552972153|71967054|352705489|6222621|1264665|759|729282|891|0|0|0|0|0|0|0|0|0|0|23237.28|5242.13|457|1840|14220|38|983843177|0|0|311|859932|22748145|8971|1026|196338|2|140078|758|778|P-1|241|256|2779249|11829|234.95|2:53|1023947|545542|314|0.03|L-3|26|256|17315508|663237|5762|26.1|115.1|OLDRSAM|17315051|1334002320|4080000|1000|86374424576|19037426|2050080|0|860|49|238108|237|122661241|121898152|1|894|100000|0|3544.61|951.94|4496.55|3344.43|895.23|4239.66|3351.88|921.85|4273.73|3216.35|870.79|4087.14|3226.51|864.09|4090.60|757.37|60.70|818.07|650.08|55.20|705.28|599.91|43.53|643.44|500.48|36.81|537.29|407.13|30.89|438.02|324.21|26.43|350.64|256.52|23.64|280.16|210.13|20.60|230.73|170.95|17.88|188.83|146.08|17.00|163.08|124.31|14.98|139.29|114.85|15.58|130.43|108.87|14.84|123.71|101.47|13.80|115.27|100.85|14.50|115.35|100.89|14.00|114.89|100.20|13.67|113.87|96.61|13.60|110.21|98.63|14.06|112.69|97.19|13.93|111.12|93.52|13.78|107.30|93.58|13.99|107.57|95.49|14.37|109.86|95.29|14.65|109.94|95.46|14.92|110.38|97.66|14.97|112.63|96.05|15.35|111.40|94.43|15.18|109.61|95.61|15.52|111.13|95.13|15.83|110.96|95.10|15.86|110.96|94.33|16.32|110.65|96.24|16.10|112.34|97.32|16.33|113.65|125.07|16.04|141.11|2|104150|1073371|20936395|99.50|116684|3735191|11194150|98.96|5416|304|0|457|0|2480|0.003|19047|216Mb|0|216Mb|100000|4|524580|2989712|674558371|99.92|215897|431780|2258111|90.44|250|4226|0|442|0|84373|0.006|131524|8198Mb|0|8198Mb|2000000|8|102305|1051912|18853152|99.46|40517|162068|1710796|97.63|0|348|0|45|0|0|0|40517|32022Mb|0|32022Mb|4000000|16|154196|2869152|273802850|99.94|2407219|19256672|10308327|76.65|199|9342|0|457|0|2300891|0.003|106328|31636Mb|0|31636Mb|2000000|
04/11/18|00:03:47|885243|7984187|988395245|99.91|2781461|23588465|25471635|89.32|7425480998|1552998378|71988184|352800118|6222628|1264673|759|729290|891|0|0|0|0|0|0|0|0|0|0|23241.41|5243.72|458|1844|14220|38|984116333|0|0|312|859946|22751440|8971|1026|196338|2|140078|768|788|P-2|12|256|2780133|11834|234.93|2:53|1023947|546426|53|0.01|L-3|1|256|17315547|663266|5765|26.1|115.1|OLDRSAM|17315089|1334006084|4080000|1029|86374424576|19038150|2049356|0|868|49|238188|237|122688041|121924494|1|15|100000|0|3544.74|951.98|4496.72|3344.56|895.29|4239.85|3352.08|921.93|4274.01|3219.66|872.08|4091.74|3226.65|864.15|4090.80|757.38|60.71|818.09|650.09|55.20|705.29|599.92|43.53|643.45|500.49|36.81|537.30|407.14|30.90|438.04|324.21|26.43|350.64|256.52|23.64|280.16|210.13|20.60|230.73|170.95|17.88|188.83|146.08|17.00|163.08|124.31|14.98|139.29|114.96|15.58|130.54|108.88|14.84|123.72|101.47|13.80|115.27|100.85|14.50|115.35|100.89|14.00|114.89|100.20|13.67|113.87|96.61|13.60|110.21|98.63|14.07|112.70|97.19|13.93|111.12|93.52|13.78|107.30|93.58|13.99|107.57|95.50|14.37|109.87|95.30|14.65|109.95|95.46|14.92|110.38|97.66|14.97|112.63|96.05|15.35|111.40|94.43|15.18|109.61|95.61|15.53|111.14|95.13|15.84|110.97|95.10|15.86|110.96|94.34|16.32|110.66|96.24|16.10|112.34|97.32|16.33|113.65|125.07|16.04|141.11|2|104152|1073373|20937674|99.50|117621|3737033|11194257|98.95|107|304|0|458|0|2480|0.003|19941|216Mb|0|216Mb|100000|4|524587|2989726|674798976|99.92|216021|432028|2258176|90.43|65|4226|0|443|0|84373|0.006|131648|8198Mb|0|8198Mb|2000000|8|102305|1051912|18853152|99.46|40517|162068|1710796|97.63|0|348|0|45|0|0|0|40517|32022Mb|0|32022Mb|4000000|16|154199|2869176|273805443|99.94|2407302|19257336|10308406|76.65|79|9342|0|458|0|2300891|0.003|106411|31636Mb|0|31636Mb|2000000|
04/11/18|00:04:42|885245|7984191|988700138|99.91|2781461|23588465|25471823|89.32|7425946403|1553035371|72027326|352924411|6222641|1264707|760|729319|891|0|0|0|0|0|0|0|0|0|0|23245.69|5245.51|458|1844|14220|38|984478224|0|0|312|859960|22762878|8971|1026|196338|2|140078|765|785|P-2|158|256|2780133|11834|234.93|2:53|1023947|546426|199|0.02|L-3|8|256|17315690|663266|5765|26.1|115.1|OLDRSAM|17315232|1334020172|4080000|1029|86374424576|19039065|2048441|0|867|49|238286|237|122718381|121954396|1|15|100000|0|3544.89|952.06|4496.95|3345.18|895.54|4240.72|3352.28|922.01|4274.29|3220.09|872.26|4092.35|3229.33|865.26|4094.59|757.38|60.71|818.09|650.10|55.21|705.31|599.95|43.53|643.48|500.49|36.81|537.30|407.14|30.90|438.04|324.22|26.43|350.65|256.52|23.64|280.16|210.14|20.60|230.74|170.95|17.88|188.83|146.08|17.01|163.09|124.32|14.98|139.30|114.96|15.58|130.54|108.88|14.85|123.73|101.48|13.80|115.28|100.85|14.50|115.35|100.89|14.00|114.89|100.21|13.67|113.88|96.61|13.60|110.21|98.63|14.07|112.70|97.19|13.93|111.12|93.52|13.79|107.31|93.59|13.99|107.58|95.50|14.37|109.87|95.30|14.65|109.95|95.47|14.92|110.39|97.67|14.98|112.65|96.06|15.36|111.42|94.44|15.18|109.62|95.61|15.53|111.14|95.14|15.84|110.98|95.10|15.87|110.97|94.34|16.33|110.67|96.25|16.10|112.35|97.33|16.33|113.66|125.08|16.04|141.12|2|104152|1073373|20939379|99.50|117621|3737033|11194363|98.95|213|304|0|458|0|2480|0.003|19941|216Mb|0|216Mb|100000|4|524589|2989730|675099131|99.92|216021|432028|2258234|90.43|123|4226|0|443|0|84373|0.006|131648|8198Mb|0|8198Mb|2000000|8|102305|1051912|18853180|99.46|40517|162068|1710796|97.63|0|348|0|45|0|0|0|40517|32022Mb|0|32022Mb|4000000|16|154199|2869176|273808448|99.94|2407302|19257336|10308430|76.65|103|9342|0|458|0|2300891|0.003|106411|31636Mb|0|31636Mb|2000000|
04/11/18|00:05:38|885245|7984191|988977696|99.91|2781461|23588465|25471960|89.32|7426333554|1553070632|72052145|353034498|6222649|1264720|760|729329|891|0|0|0|0|0|0|0|0|0|0|23250.00|5247.37|458|1844|14220|38|984781639|0|0|312|859976|22767080|8971|1026|196338|2|140078|764|784|P-2|158|256|2780133|11834|234.93|2:53|1023947|546426|199|0.02|L-3|11|256|17315734|663266|5765|26.1|115.1|OLDRSAM|17315276|1334024988|4080000|1029|86374424576|19040662|2046844|0|866|49|238393|237|122742880|121978531|1|15|100000|0|3545.03|952.13|4497.16|3346.13|895.96|4242.09|3353.79|922.61|4276.40|3221.08|872.68|4093.76|3229.94|865.50|4095.44|757.38|60.71|818.09|650.11|55.21|705.32|599.95|43.53|643.48|500.50|36.82|537.32|407.14|30.90|438.04|324.22|26.44|350.66|256.53|23.64|280.17|210.14|20.60|230.74|170.96|17.88|188.84|146.09|17.01|163.10|124.32|14.98|139.30|114.96|15.59|130.55|108.88|14.85|123.73|101.48|13.80|115.28|100.86|14.51|115.37|100.90|14.00|114.90|100.21|13.67|113.88|96.62|13.60|110.22|98.63|14.07|112.70|97.20|13.94|111.14|93.52|13.79|107.31|93.60|13.99|107.59|95.51|14.37|109.88|95.30|14.65|109.95|95.47|14.93|110.40|97.67|14.98|112.65|96.06|15.36|111.42|94.44|15.18|109.62|95.61|15.53|111.14|95.14|15.84|110.98|95.10|15.87|110.97|94.34|16.33|110.67|96.25|16.11|112.36|97.33|16.34|113.67|125.08|16.05|141.13|2|104152|1073373|20940922|99.50|117621|3737033|11194483|98.95|333|304|0|458|0|2480|0.003|19941|216Mb|0|216Mb|100000|4|524589|2989730|675372358|99.92|216021|432028|2258247|90.43|136|4226|0|443|0|84373|0.006|131648|8198Mb|0|8198Mb|2000000|8|102305|1051912|18853180|99.46|40517|162068|1710796|97.63|0|348|0|45|0|0|0|40517|32022Mb|0|32022Mb|4000000|16|154199|2869176|273811236|99.94|2407302|19257336|10308434|76.65|107|9342|0|458|0|2300891|0.003|106411|31636Mb|0|31636Mb|2000000|
04/11/18|00:06:33|885245|7984191|989219278|99.91|2781461|23588465|25472067|89.32|7426662368|1553096864|72073377|353128297|6222655|1264733|760|729339|891|0|0|0|0|0|0|0|0|0|0|23253.94|5249.05|458|1844|14220|38|985087289|0|0|312|859988|22770699|8971|1026|196338|2|140078|759|780|P-2|158|256|2780133|11834|234.93|2:53|1023947|546426|199|0.02|L-3|14|256|17315778|663266|5765|26.1|115.1|OLDRSAM|17315320|1334029484|4080000|1029|86374424576|19039784|2047722|0|861|49|238465|237|122769149|122004362|1|15|100000|0|3546.42|952.65|4499.07|3346.32|896.10|4242.42|3353.96|922.68|4276.64|3221.61|872.91|4094.52|3231.45|866.10|4097.55|757.39|60.72|818.11|650.11|55.22|705.33|599.96|43.54|643.50|500.51|36.82|537.33|407.15|30.90|438.05|324.22|26.44|350.66|256.53|23.65|280.18|210.15|20.61|230.76|170.96|17.89|188.85|146.09|17.01|163.10|124.32|14.99|139.31|114.97|15.59|130.56|108.88|14.86|123.74|101.49|13.80|115.29|100.86|14.51|115.37|100.90|14.00|114.90|100.21|13.67|113.88|96.62|13.60|110.22|98.63|14.07|112.70|97.20|13.94|111.14|93.52|13.79|107.31|93.60|13.99|107.59|95.51|14.38|109.89|95.30|14.66|109.96|95.47|14.93|110.40|97.68|14.98|112.66|96.07|15.36|111.43|94.44|15.18|109.62|95.62|15.53|111.15|95.15|15.84|110.99|95.11|15.87|110.98|94.34|16.34|110.68|96.26|16.11|112.37|97.33|16.34|113.67|125.08|16.05|141.13|2|104152|1073373|20942072|99.50|117621|3737033|11194573|98.95|423|304|0|458|0|2480|0.003|19941|216Mb|0|216Mb|100000|4|524589|2989730|675609899|99.92|216021|432028|2258260|90.43|149|4226|0|443|0|84373|0.006|131648|8198Mb|0|8198Mb|2000000|8|102305|1051912|18853180|99.46|40517|162068|1710796|97.63|0|348|0|45|0|0|0|40517|32022Mb|0|32022Mb|4000000|16|154199|2869176|273814127|99.94|2407302|19257336|10308438|76.65|111|9342|0|458|0|2300891|0.003|106411|31636Mb|0|31636Mb|2000000|
04/11/18|00:07:28|885245|7984191|989453900|99.91|2781461|23588465|25472180|89.32|7426989732|1553124174|72094420|353215634|6222661|1264748|760|729351|891|0|0|0|0|0|0|0|0|0|0|23257.76|5250.61|458|1844|14220|38|985391228|0|0|312|860000|22774505|8971|1026|196338|2|140078|759|780|P-2|158|256|2780133|11834|234.93|2:53|1023947|546426|199|0.02|L-3|16|256|17315834|663266|5765|26.1|115.1|OLDRSAM|17315376|1334035308|4080000|1029|86374424576|19039444|2048062|0|861|49|238536|237|122792889|122027697|1|15|100000|0|3546.96|952.87|4499.83|3349.00|897.21|4246.21|3354.15|922.74|4276.89|3221.70|872.95|4094.65|3231.61|866.16|4097.77|757.40|60.72|818.12|650.12|55.22|705.34|599.97|43.54|643.51|500.51|36.82|537.33|407.15|30.91|438.06|324.23|26.44|350.67|256.54|23.65|280.19|210.15|20.61|230.76|170.96|17.89|188.85|146.09|17.01|163.10|124.33|14.99|139.32|114.97|15.59|130.56|108.89|14.86|123.75|101.49|13.80|115.29|100.87|14.51|115.38|100.90|14.01|114.91|100.21|13.67|113.88|96.63|13.60|110.23|98.63|14.08|112.71|97.21|13.94|111.15|93.52|13.79|107.31|93.60|13.99|107.59|95.52|14.38|109.90|95.30|14.66|109.96|95.47|14.93|110.40|97.68|14.98|112.66|96.07|15.36|111.43|94.45|15.18|109.63|95.62|15.54|111.16|95.15|15.85|111.00|95.11|15.88|110.99|94.35|16.34|110.69|96.26|16.11|112.37|97.34|16.34|113.68|125.09|16.05|141.14|2|104152|1073373|20943233|99.50|117621|3737033|11194663|98.95|513|304|0|458|0|2480|0.003|19941|216Mb|0|216Mb|100000|4|524589|2989730|675840672|99.92|216021|432028|2258275|90.43|164|4226|0|443|0|84373|0.006|131648|8198Mb|0|8198Mb|2000000|8|102305|1051912|18853180|99.46|40517|162068|1710796|97.63|0|348|0|45|0|0|0|40517|32022Mb|0|32022Mb|4000000|16|154199|2869176|273816815|99.94|2407302|19257336|10308446|76.65|119|9342|0|458|0|2300891|0.003|106411|31636Mb|0|31636Mb|2000000|
04/11/18|00:08:23|885250|7984992|989729216|99.91|2781660|23590084|25472397|89.32|7427361286|1553153666|72119446|353324141|6222667|1264764|760|729364|891|0|0|0|0|0|0|0|0|0|0|23262.29|5252.41|459|1848|14220|38|985696178|0|0|312|860012|22778569|8971|1026|196338|2|140078|763|784|P-2|12|256|2780895|11838|234.91|2:53|1023947|547188|96|0.01|L-3|1|256|17315897|663286|5768|26.1|115.0|OLDRSAM|17315438|1334041608|4080000|1049|86374424576|19039987|2047519|0|866|50|238611|237|122821617|122055966|1|15|100000|0|3547.12|952.94|4500.06|3352.51|898.66|4251.17|3354.40|922.81|4277.21|3221.86|873.02|4094.88|3231.80|866.22|4098.02|757.40|60.72|818.12|650.12|55.23|705.35|600.00|43.54|643.54|500.51|36.82|537.33|407.15|30.91|438.06|324.23|26.44|350.67|256.56|23.65|280.21|210.19|20.61|230.80|170.97|17.89|188.86|146.10|17.01|163.11|124.33|14.99|139.32|114.98|15.59|130.57|108.89|14.86|123.75|101.49|13.81|115.30|100.87|14.51|115.38|100.91|14.01|114.92|100.21|13.68|113.89|96.63|13.61|110.24|98.64|14.08|112.72|97.21|13.94|111.15|93.53|13.79|107.32|93.61|14.00|107.61|95.52|14.38|109.90|95.31|14.66|109.97|95.48|14.93|110.41|97.68|14.98|112.66|96.08|15.37|111.45|94.45|15.18|109.63|95.62|15.54|111.16|95.16|15.85|111.01|95.12|15.88|111.00|94.35|16.35|110.70|96.27|16.12|112.39|97.35|16.34|113.69|125.10|16.05|141.15|2|104153|1073374|20944473|99.50|117679|3737866|11194754|98.95|46|304|0|459|0|2480|0.003|19957|216Mb|0|216Mb|100000|4|524589|2989730|676112066|99.92|216078|432142|2258323|90.43|38|4226|0|444|0|84373|0.006|131705|8198Mb|0|8198Mb|2000000|8|102305|1051912|18853180|99.46|40517|162068|1710796|97.63|0|348|0|45|0|0|0|40517|32022Mb|0|32022Mb|4000000|16|154203|2869976|273819497|99.94|2407386|19258008|10308524|76.65|74|9342|0|459|0|2300891|0.003|106495|31636Mb|0|31636Mb|2000000|
04/11/18|00:09:19|885250|7984992|989973743|99.91|2781660|23590084|25472531|89.32|7427703857|1553181250|72141082|353419369|6222676|1264780|760|729379|891|0|0|0|0|0|0|0|0|0|0|23265.73|5253.74|459|1848|14220|38|986008858|0|0|312|860026|22782376|8971|1026|196338|2|140078|759|780|P-2|38|256|2780895|11838|234.91|2:53|1023947|547188|122|0.01|L-3|4|256|17315963|663286|5768|26.1|115.0|OLDRSAM|17315504|1334047824|4080000|1049|86374424576|19039224|2048282|0|862|49|238677|237|122842929|122076929|1|15|100000|0|3547.26|952.99|4500.25|3355.22|899.70|4254.92|3354.58|922.89|4277.47|3221.96|873.06|4095.02|3231.99|866.29|4098.28|757.41|60.73|818.14|650.13|55.23|705.36|600.01|43.54|643.55|500.52|36.82|537.34|407.16|30.91|438.07|324.24|26.44|350.68|256.56|23.65|280.21|210.21|20.61|230.82|170.97|17.89|188.86|146.10|17.01|163.11|124.33|14.99|139.32|114.98|15.60|130.58|108.90|14.86|123.76|101.49|13.81|115.30|100.87|14.52|115.39|100.91|14.01|114.92|100.22|13.68|113.90|96.63|13.61|110.24|98.64|14.08|112.72|97.21|13.94|111.15|93.53|13.79|107.32|93.61|14.00|107.61|95.52|14.38|109.90|95.31|14.66|109.97|95.48|14.93|110.41|97.68|14.99|112.67|96.08|15.37|111.45|94.45|15.18|109.63|95.63|15.54|111.17|95.16|15.85|111.01|95.12|15.88|111.00|94.35|16.35|110.70|96.27|16.12|112.39|97.35|16.34|113.69|125.10|16.05|141.15|2|104153|1073374|20945700|99.50|117679|3737866|11194859|98.95|151|304|0|459|0|2480|0.003|19957|216Mb|0|216Mb|100000|4|524589|2989730|676352370|99.92|216078|432142|2258344|90.43|59|4226|0|444|0|84373|0.006|131705|8198Mb|0|8198Mb|2000000|8|102305|1051912|18853208|99.46|40517|162068|1710796|97.63|0|348|0|45|0|0|0|40517|32022Mb|0|32022Mb|4000000|16|154203|2869976|273822465|99.94|2407386|19258008|10308532|76.65|82|9342|0|459|0|2300891|0.003|106495|31636Mb|0|31636Mb|2000000|
