date|time|dskreads|pagreads|bufreads|rcached|dskwrits|pagwrits|bufwrits|wcached|isamtot|open|start|read|write|rewrite|delete|commit|rollbk|gp_read|gp_write|gp_rewrt|gp_del|gp_alloc|gp_free|gp_curs|ovlock|ovuserthread|ovbuff|usercpu|syscpu|numckpts|flushes|bufwaits|lokwaits|lockreqs|deadlks|dltouts|ckpwaits|compress|seqscans|ixdaRA|idxRA|daRA|RApgsused|lchwaits|sessions|activelocks|pbuffer|pbufused|pbufsize|pnumpages|pnumwrits|ppagesio|pphybegin|pphysize|pphypos|pphyused|pphypcnt|lbuffer|lbufused|lbufsize|lnumrecs|lnumpages|lnumwrits|lrecspages|lpagesio|lsubsystem|lsnumrecs|lsspaceused|lltotalsize|lltotalused|shmtotal|blkused|blkfree|threadrea|threadwai|threadsle|netaccept|netreject|netread|netwrite|sdeclient|buffdirty|bufftotal|ckptreq|user1|sys1|total1|user2|sys2|total2|user3|sys3|total3|user4|sys4|total4|user5|sys5|total5|user6|sys6|total6|user7|sys7|total7|user8|sys8|total8|user9|sys9|total9|user10|sys10|total10|user11|sys11|total11|user12|sys12|total12|user13|sys13|total13|user14|sys14|total14|user15|sys15|total15|user16|sys16|total16|user17|sys17|total17|user18|sys18|total18|user19|sys19|total19|user20|sys20|total20|user21|sys21|total21|user22|sys22|total22|user23|sys23|total23|user24|sys24|total24|user25|sys25|total25|user26|sys26|total26|user27|sys27|total27|user28|sys28|total28|user29|sys29|total29|user30|sys30|total30|user31|sys31|total31|user32|sys32|total32|user33|sys33|total33|user34|sys34|total34|user35|sys35|total35|user36|sys36|total36|user37|sys37|total37|user38|sys38|total38|user39|sys39|total39|user40|sys40|total40|pagesize2|dskreads2|pagereads2|buffreads2|rcachepc2|dskwrits2|pagwrits2|bufwrits2|wcachepc2|bufwrits_sinceckpt2|bufwaits2|ovbuff2|flushes2|fgwrits2|lruwrites2|avlru2|chunkwrites2|totalmemory2|id2|size2|buffers2|pagesize4|dskreads4|pagereads4|buffreads4|rcachepc4|dskwrits4|pagwrits4|bufwrits4|wcachepc4|bufwrits_sinceckpt4|bufwaits4|ovbuff4|flushes4|fgwrits4|lruwrites4|avlru4|chunkwrites4|totalmemory4|id4|size4|buffers4|pagesize8|dskreads8|pagereads8|buffreads8|rcachepc8|dskwrits8|pagwrits8|bufwrits8|wcachepc8|bufwrits_sinceckpt8|bufwaits8|ovbuff8|flushes8|fgwrits8|lruwrites8|avlru8|chunkwrites8|totalmemory8|id8|size8|buffers8|pagesize16|dskreads16|pagereads16|buffreads16|rcachepc16|dskwrits16|pagwrits16|bufwrits16|wcachepc16|bufwrits_sinceckpt16|bufwaits16|ovbuff16|flushes16|fgwrits16|lruwrites16|avlru16|chunkwrites16|totalmemory16|id16|size16|buffers16|
07/11/18|00:01:02|3109790|30743803|3191120277|99.90|9168517|78502691|74592442|87.86|24840377513|5047190998|338834103|1299581154|15163027|4287153|63642|2632775|891|0|0|0|0|0|0|0|0|0|0|71399.34|15604.90|1397|5616|42875|388|3188323161|0|0|1067|2478096|196007093|19321|3435926|805810|2|751686|772|792|P-1|194|256|12530793|50859|246.38|2:53|1023947|56872|45696|4.46|L-2|8|256|54747115|2235816|19291|24.5|115.9|OLDRSAM|54745718|4496907436|4080000|1559|86374424576|18956345|2131161|0|874|49|721814|239|377102519|375008970|1|1031|100000|0|11136.10|2739.75|13875.85|10389.31|2606.69|12996.00|10463.34|2646.98|13110.32|10110.13|2557.72|12667.85|10381.27|2555.09|12936.36|2161.39|199.16|2360.55|1763.23|172.01|1935.24|1618.28|129.74|1748.02|1310.95|109.12|1420.07|1072.49|93.57|1166.06|849.23|80.39|929.62|700.43|74.09|774.52|570.98|64.59|635.57|486.04|58.84|544.88|441.17|55.83|497.00|379.20|52.54|431.74|353.38|51.63|405.01|340.51|51.57|392.08|316.28|49.94|366.22|312.05|50.10|362.15|306.51|49.80|356.31|304.92|49.11|354.03|300.10|49.66|349.76|303.26|50.36|353.62|298.75|51.08|349.83|297.11|51.30|348.41|292.57|51.67|344.24|301.01|53.62|354.63|306.75|54.32|361.07|307.41|55.08|362.49|306.32|56.06|362.38|305.95|56.80|362.75|309.71|57.08|366.79|310.96|58.22|369.18|305.46|58.94|364.40|309.79|60.00|369.79|303.81|61.12|364.93|309.46|61.37|370.83|314.94|63.05|377.99|371.96|57.35|429.31|2|240047|3373489|58466682|99.59|290231|15396471|30455169|99.05|149993|338|0|1398|0|2480|0.003|49946|216Mb|0|216Mb|100000|4|2001990|11898226|2075309147|99.90|1230039|2460040|7573369|83.76|4321|13677|0|1245|0|755226|0.005|474813|8198Mb|0|8198Mb|2000000|8|254389|3893256|50407810|99.50|134283|537132|5199807|97.42|4350|401|0|133|0|0|0|134283|32022Mb|0|32022Mb|4000000|16|613364|11578832|1006936638|99.94|7513964|60109048|31364097|76.04|20942|28459|0|1302|0|7174740|0.003|339224|31636Mb|0|31636Mb|2000000|
07/11/18|00:01:57|3127972|30807291|3195138835|99.90|9190845|78601371|74595688|87.85|24852140033|5047219065|338857044|1301141139|15793295|4287170|63642|2632788|891|0|0|0|0|0|0|0|0|0|0|71418.88|15607.46|1398|5620|42876|388|3197631840|0|0|1067|2478131|196010646|19321|3435926|808878|2|754753|767|786|P-1|12|256|12531917|50865|246.38|2:53|1023947|57996|324|0.03|L-1|2|256|54747177|2235826|19293|24.5|115.9|OLDRSAM|54745779|4496913544|4080000|1569|86374424576|18950016|2137490|0|869|49|721906|239|377131623|375037659|1|1022|100000|0|11141.85|2740.65|13882.50|10392.47|2606.89|12999.36|10465.48|2647.30|13112.78|10111.04|2557.92|12668.96|10383.15|2555.73|12938.88|2161.59|199.18|2360.77|1763.29|172.03|1935.32|1618.36|129.76|1748.12|1311.00|109.14|1420.14|1072.53|93.58|1166.11|849.26|80.40|929.66|702.84|74.10|776.94|571.00|64.60|635.60|486.06|58.85|544.91|441.18|55.84|497.02|379.22|52.54|431.76|353.41|51.63|405.04|340.53|51.57|392.10|316.30|49.95|366.25|312.07|50.11|362.18|306.52|49.80|356.32|304.94|49.11|354.05|300.12|49.66|349.78|303.27|50.37|353.64|299.62|51.08|350.70|297.12|51.31|348.43|292.58|51.68|344.26|301.02|53.63|354.65|306.77|54.32|361.09|307.43|55.09|362.52|306.35|56.06|362.41|305.98|56.80|362.78|309.73|57.08|366.81|311.39|58.27|369.66|305.49|58.94|364.43|309.82|60.01|369.83|303.87|61.13|365.00|310.44|61.37|371.81|314.96|63.06|378.02|371.99|57.35|429.34|2|258220|3436947|58557085|99.56|306417|15462117|30457723|98.99|2554|339|0|1399|0|2480|0.003|50978|216Mb|0|216Mb|100000|4|2001997|11898240|2075580606|99.90|1232300|2464562|7573706|83.73|337|13677|0|1246|0|755226|0.005|477074|8198Mb|0|8198Mb|2000000|8|254389|3893256|52169895|99.51|134917|539668|5200063|97.41|256|401|0|134|0|0|0|134917|32022Mb|0|32022Mb|4000000|16|613366|11578848|1008831249|99.94|7517211|60135024|31364196|76.03|99|28459|0|1303|0|7174806|0.003|342405|31636Mb|0|31636Mb|2000000|
07/11/18|00:23:46|3128967|30810404|3200973242|99.90|9195384|78648461|74631135|87.85|24863670665|5048707245|339313928|1303034636|15796956|4288474|63643|2633486|891|0|0|0|0|0|0|0|0|0|0|71552.91|15644.40|1402|5636|42876|391|3205304017|0|0|1067|2479459|196096374|19321|3435926|808878|2|754850|773|793|P-2|94|256|12561020|50981|246.39|2:53|1023947|87099|13586|1.33|L-1|235|256|54762096|2236189|19311|24.5|115.8|OLDRSAM|54760694|4498094032|4080000|1932|86374424576|18961256|2126250|0|874|49|723484|239|377690243|375589418|1|27|100000|0|11163.92|2748.28|13912.20|10424.47|2615.77|13040.24|10489.63|2653.13|13142.76|10135.79|2563.97|12699.76|10404.02|2561.19|12965.21|2161.91|199.34|2361.25|1763.48|172.10|1935.58|1618.70|129.84|1748.54|1311.63|109.32|1420.95|1072.77|93.64|1166.41|849.68|80.48|930.16|703.17|74.16|777.33|571.39|64.67|636.06|486.32|58.96|545.28|441.35|55.88|497.23|379.90|52.65|432.55|353.62|51.68|405.30|340.91|51.77|392.68|316.68|50.05|366.73|312.50|50.20|362.70|307.02|49.90|356.92|305.43|49.30|354.73|300.26|49.72|349.98|303.87|50.55|354.42|299.93|51.17|351.10|297.39|51.39|348.78|292.87|51.74|344.61|301.39|53.72|355.11|307.08|54.38|361.46|307.62|55.15|362.77|306.50|56.13|362.63|306.27|56.87|363.14|309.89|57.13|367.02|311.56|58.32|369.88|305.60|58.99|364.59|309.93|60.07|370.00|304.05|61.20|365.25|310.74|61.43|372.17|315.12|63.12|378.24|372.17|57.43|429.60|2|258225|3436952|58614922|99.56|307811|15492843|30478763|98.99|11773|339|0|1403|0|2480|0.003|52098|216Mb|0|216Mb|100000|4|2002881|11900008|2081243541|99.90|1233220|2466402|7576535|83.72|1424|13677|0|1250|0|755226|0.005|477994|8198Mb|0|8198Mb|2000000|8|254458|3893532|52177072|99.51|135736|542944|5202789|97.39|1486|401|0|138|0|0|0|135736|32022Mb|0|32022Mb|4000000|16|613403|11579912|1009019226|99.94|7518617|60146272|31373087|76.03|5529|28459|0|1307|0|7174806|0.003|343811|31636Mb|0|31636Mb|2000000|
07/11/18|00:25:04|3128973|30810420|3201287974|99.90|9195385|78648723|74631762|87.85|24864158622|5048755117|339337970|1303134662|15797005|4288515|63643|2633520|891|0|0|0|0|0|0|0|0|0|0|71563.93|15647.39|1402|5636|42876|391|3205747067|0|0|1067|2479496|196100918|19321|3435926|808878|2|754850|776|796|P-1|92|256|12561282|50982|246.39|2:53|1023947|87361|13846|1.35|L-1|247|256|54762374|2236189|19311|24.5|115.8|OLDRSAM|54760972|4498118852|4080000|1932|86374424576|18961115|2126391|0|878|49|723552|239|377709876|375608922|1|28|100000|0|11165.38|2748.77|13914.15|10426.57|2616.40|13042.97|10490.96|2653.48|13144.44|10136.40|2564.13|12700.53|10407.96|2562.02|12969.98|2161.92|199.34|2361.26|1763.50|172.11|1935.61|1618.72|129.84|1748.56|1311.79|109.42|1421.21|1072.79|93.64|1166.43|849.70|80.48|930.18|703.18|74.16|777.34|571.42|64.67|636.09|486.34|58.97|545.31|441.36|55.89|497.25|379.91|52.66|432.57|353.68|51.69|405.37|340.91|51.77|392.68|316.69|50.06|366.75|312.52|50.21|362.73|307.04|49.90|356.94|305.44|49.31|354.75|300.28|49.72|350.00|303.89|50.55|354.44|299.95|51.17|351.12|297.41|51.39|348.80|292.88|51.74|344.62|301.41|53.72|355.13|307.09|54.39|361.48|307.63|55.16|362.79|306.51|56.13|362.64|306.34|56.88|363.22|309.91|57.14|367.05|311.60|58.34|369.94|305.61|59.00|364.61|309.95|60.07|370.02|304.06|61.20|365.26|310.76|61.44|372.20|315.15|63.13|378.28|372.27|57.44|429.71|2|258225|3436952|58616767|99.56|307812|15493105|30479193|98.99|12203|339|0|1403|0|2480|0.003|52098|216Mb|0|216Mb|100000|4|2002885|11900016|2081470178|99.90|1233220|2466402|7576585|83.72|1474|13677|0|1250|0|755226|0.005|477994|8198Mb|0|8198Mb|2000000|8|254460|3893540|52177160|99.51|135736|542944|5202805|97.39|1502|401|0|138|0|0|0|135736|32022Mb|0|32022Mb|4000000|16|613403|11579912|1009023869|99.94|7518617|60146272|31373179|76.03|5621|28459|0|1307|0|7174806|0.003|343811|31636Mb|0|31636Mb|2000000|
07/11/18|00:25:59|3129034|30811358|3201599393|99.90|9195389|78649757|74633970|87.85|24864820995|5048849911|339363398|1303246918|15797245|4288597|63643|2633559|891|0|0|0|0|0|0|0|0|0|0|71568.55|15649.16|1402|5636|42876|391|3206107435|0|0|1067|2479572|196104782|19321|3435926|808878|2|754851|776|796|P-2|246|256|12562060|50985|246.39|2:53|1023947|88139|14778|1.44|L-2|29|256|54763350|2236445|19312|24.5|115.8|OLDRSAM|54761948|4498195524|4080000|2188|86374424576|18965134|2122372|0|878|49|723635|239|377742105|375640728|1|29|100000|0|11167.80|2749.69|13917.49|10426.81|2616.48|13043.29|10492.50|2654.06|13146.56|10136.49|2564.17|12700.66|10408.18|2562.07|12970.25|2161.93|199.34|2361.27|1763.50|172.11|1935.61|1618.73|129.84|1748.57|1311.79|109.42|1421.21|1072.82|93.65|1166.47|849.70|80.48|930.18|703.18|74.17|777.35|571.42|64.67|636.09|486.34|58.97|545.31|441.37|55.89|497.26|379.91|52.66|432.57|353.68|51.69|405.37|340.92|51.77|392.69|316.70|50.06|366.76|312.52|50.21|362.73|307.04|49.91|356.95|305.44|49.31|354.75|300.28|49.72|350.00|303.89|50.55|354.44|299.95|51.18|351.13|297.41|51.40|348.81|292.88|51.74|344.62|301.41|53.73|355.14|307.10|54.39|361.49|307.63|55.16|362.79|306.52|56.13|362.65|306.34|56.89|363.23|309.91|57.14|367.05|311.60|58.34|369.94|305.61|59.00|364.61|309.95|60.07|370.02|304.06|61.20|365.26|310.76|61.44|372.20|315.15|63.13|378.28|372.27|57.45|429.72|2|258225|3436952|58619784|99.56|307816|15494139|30480590|98.99|13600|339|0|1403|0|2480|0.003|52098|216Mb|0|216Mb|100000|4|2002936|11900118|2081767473|99.90|1233220|2466402|7576717|83.72|1606|13677|0|1250|0|755226|0.005|477994|8198Mb|0|8198Mb|2000000|8|254463|3893552|52177565|99.51|135736|542944|5202913|97.39|1610|401|0|138|0|0|0|135736|32022Mb|0|32022Mb|4000000|16|613410|11580736|1009034571|99.94|7518617|60146272|31373750|76.04|6192|28459|0|1307|0|7174806|0.003|343811|31636Mb|0|31636Mb|2000000|
07/11/18|00:26:54|3129061|30811420|3201902226|99.90|9198429|78668244|74635281|87.85|24865267409|5048891326|339387024|1303354830|15797315|4288624|63643|2633575|891|0|0|0|0|0|0|0|0|0|0|71573.06|15650.90|1403|5640|42876|391|3206497824|0|0|1067|2479604|196108300|19321|3435926|808878|2|754856|768|788|P-2|166|256|12563973|50993|246.39|2:53|1023947|90052|1094|0.11|L-1|8|256|54763631|2236479|19314|24.5|115.8|OLDRSAM|54762228|4498217948|4080000|2222|86374424576|18960706|2126800|0|870|49|723725|239|377769654|375667842|1|16|100000|0|11171.20|2751.01|13922.21|10427.00|2616.55|13043.55|10492.84|2654.21|13147.05|10136.64|2564.20|12700.84|10408.37|2562.15|12970.52|2161.95|199.34|2361.29|1763.51|172.11|1935.62|1618.74|129.85|1748.59|1311.84|109.42|1421.26|1072.83|93.65|1166.48|849.71|80.48|930.19|703.19|74.17|777.36|571.42|64.68|636.10|486.35|58.97|545.32|441.37|55.90|497.27|379.92|52.66|432.58|353.69|51.70|405.39|340.92|51.78|392.70|316.70|50.06|366.76|312.53|50.21|362.74|307.05|49.91|356.96|305.45|49.31|354.76|300.28|49.72|350.00|303.89|50.55|354.44|299.95|51.18|351.13|297.42|51.40|348.82|292.89|51.75|344.64|301.41|53.73|355.14|307.10|54.39|361.49|307.63|55.16|362.79|306.52|56.14|362.66|306.35|56.89|363.24|309.91|57.14|367.05|311.61|58.34|369.95|305.61|59.00|364.61|309.95|60.07|370.02|304.07|61.20|365.27|310.76|61.44|372.20|315.16|63.13|378.29|372.27|57.45|429.72|2|258225|3436952|58621686|99.56|307892|15496152|30481004|98.99|311|339|0|1404|0|2480|0.003|52129|216Mb|0|216Mb|100000|4|2002961|11900168|2082062802|99.90|1234073|2468108|7577061|83.71|334|13677|0|1251|0|755226|0.005|478847|8198Mb|0|8198Mb|2000000|8|254464|3893556|52177945|99.51|136266|545064|5203216|97.38|295|401|0|139|0|0|0|136266|32022Mb|0|32022Mb|4000000|16|613411|11580744|1009039793|99.94|7520198|60158920|31374000|76.03|208|28459|0|1308|0|7174806|0.003|345392|31636Mb|0|31636Mb|2000000|
07/11/18|00:27:50|3130878|30818178|3202421745|99.90|9198541|78698895|74671834|87.86|24870089880|5049957416|339420288|1303507828|15801689|4289630|63643|2634074|891|0|0|0|0|0|0|0|0|0|0|71583.77|15653.38|1403|5640|42881|391|3207001491|0|0|1067|2481189|196114633|19321|3435926|808878|2|754856|775|833|P-2|254|256|12592209|51102|246.41|2:53|1023947|120622|31752|3.10|L-1|128|256|54780309|2237088|19317|24.5|115.8|OLDRSAM|54778906|4499521208|4080000|2831|86374424576|18967488|2120018|0|877|49|723815|239|377857861|375755264|1|30|100000|0|11172.97|2751.63|13924.60|10428.87|2616.79|13045.66|10494.13|2654.40|13148.53|10140.67|2565.30|12705.97|10409.87|2562.35|12972.22|2161.97|199.35|2361.32|1763.52|172.11|1935.63|1618.77|129.85|1748.62|1311.85|109.42|1421.27|1072.84|93.65|1166.49|849.71|80.49|930.20|703.19|74.17|777.36|571.42|64.68|636.10|486.35|58.97|545.32|441.38|55.90|497.28|379.92|52.66|432.58|353.70|51.70|405.40|340.93|51.78|392.71|316.71|50.07|366.78|312.53|50.21|362.74|307.05|49.91|356.96|305.45|49.32|354.77|300.29|49.73|350.02|303.90|50.56|354.46|299.96|51.18|351.14|297.43|51.40|348.83|292.89|51.75|344.64|301.41|53.73|355.14|307.11|54.39|361.50|307.64|55.16|362.80|306.52|56.14|362.66|306.35|56.89|363.24|309.92|57.14|367.06|311.61|58.34|369.95|305.62|59.00|364.62|309.96|60.08|370.04|304.07|61.21|365.28|310.77|61.45|372.22|315.17|63.14|378.31|372.28|57.46|429.74|2|258225|3436952|58652368|99.56|308004|15526291|30502522|98.99|21829|339|0|1404|0|2480|0.003|52129|216Mb|0|216Mb|100000|4|2003439|11901194|2082412127|99.90|1234073|2468108|7579178|83.72|2451|13677|0|1251|0|755226|0.005|478847|8198Mb|0|8198Mb|2000000|8|255803|3899288|52185487|99.51|136266|545064|5205473|97.38|2552|402|0|139|0|0|0|136266|32022Mb|0|32022Mb|4000000|16|613411|11580744|1009171763|99.94|7520198|60159432|31384661|76.04|10869|28463|0|1308|0|7174806|0.003|345392|31636Mb|0|31636Mb|2000000|
07/11/18|00:28:45|3135179|30832924|3203290442|99.90|9206790|78813696|74773912|87.86|24882925600|5052911367|339464856|1303730746|15813947|4292497|63643|2635454|891|0|0|0|0|0|0|0|0|0|0|71605.64|15657.09|1403|5640|42883|391|3207708237|0|0|1067|2485228|196123938|19321|3435926|808878|2|754856|776|855|P-1|226|256|12637596|51277|246.46|2:53|1023947|166533|77635|7.58|L-2|217|256|54827173|2238880|19324|24.5|115.9|OLDRSAM|54825770|4503194308|4080000|4623|86374424576|18971362|2116144|0|878|49|723909|239|378039346|375935415|1|31|100000|0|11176.60|2752.72|13929.32|10434.53|2617.84|13052.37|10496.75|2654.73|13151.48|10146.14|2566.00|12712.14|10414.15|2562.82|12976.97|2161.98|199.35|2361.33|1763.52|172.12|1935.64|1618.78|129.85|1748.63|1311.86|109.43|1421.29|1072.84|93.65|1166.49|849.72|80.49|930.21|703.19|74.18|777.37|571.43|64.68|636.11|486.35|58.98|545.33|441.38|55.90|497.28|379.92|52.67|432.59|353.70|51.70|405.40|340.93|51.78|392.71|316.72|50.07|366.79|312.54|50.21|362.75|307.06|49.92|356.98|305.46|49.32|354.78|300.29|49.73|350.02|303.90|50.56|354.46|299.96|51.18|351.14|297.44|51.40|348.84|292.90|51.75|344.65|301.42|53.73|355.15|307.11|54.39|361.50|307.64|55.16|362.80|306.53|56.14|362.67|306.36|56.89|363.25|309.93|57.14|367.07|311.62|58.34|369.96|305.63|59.00|364.63|309.96|60.08|370.04|304.08|61.21|365.29|310.77|61.45|372.22|315.18|63.14|378.32|372.29|57.46|429.75|2|258225|3436952|58736170|99.56|308186|15573476|30563069|98.99|82376|339|0|1404|0|2480|0.003|52129|216Mb|0|216Mb|100000|4|2004654|11903628|2082810593|99.90|1234073|2468108|7584711|83.73|7984|13677|0|1251|0|755226|0.005|478847|8198Mb|0|8198Mb|2000000|8|258889|3911600|52206087|99.50|136266|545064|5211209|97.39|8288|402|0|139|0|0|0|136266|32022Mb|0|32022Mb|4000000|16|613411|11580744|1009537592|99.94|7528265|60227048|31414923|76.04|41131|28465|0|1308|0|7182873|0.003|345392|31636Mb|0|31636Mb|2000000|
07/11/18|00:29:40|3138921|30846001|3204221812|99.90|9215754|78912491|74886119|87.87|24897008987|5056156190|339512498|1303969626|15827316|4295774|63645|2636985|891|0|0|0|0|0|0|0|0|0|0|71627.22|15660.78|1403|5640|42889|391|3208489379|0|0|1067|2489364|196133598|19321|3435926|808878|2|754856|776|827|P-1|114|256|12667384|51392|246.49|2:53|1023947|194497|105487|10.30|L-3|224|256|54878687|2240803|19337|24.5|115.9|OLDRSAM|54877284|4507228352|4080000|6546|86374424576|18972945|2114561|0|881|49|724000|239|378222206|376116925|1|42|100000|0|11178.51|2753.03|13931.54|10439.26|2618.54|13057.80|10500.53|2655.19|13155.72|10149.80|2566.44|12716.24|10421.34|2564.40|12985.74|2161.99|199.36|2361.35|1763.52|172.13|1935.65|1618.80|129.86|1748.66|1311.87|109.43|1421.30|1072.85|93.66|1166.51|849.73|80.50|930.23|703.20|74.18|777.38|571.43|64.69|636.12|486.36|58.98|545.34|441.38|55.91|497.29|379.93|52.67|432.60|353.71|51.71|405.42|340.93|51.79|392.72|316.73|50.07|366.80|312.55|50.22|362.77|307.07|49.92|356.99|305.46|49.32|354.78|300.30|49.73|350.03|303.91|50.56|354.47|299.97|51.19|351.16|297.45|51.41|348.86|292.90|51.75|344.65|301.43|53.73|355.16|307.12|54.40|361.52|307.65|55.17|362.82|306.53|56.14|362.67|306.37|56.90|363.27|309.94|57.15|367.09|311.63|58.35|369.98|305.64|59.01|364.65|309.97|60.08|370.05|304.10|61.21|365.31|310.78|61.45|372.23|315.19|63.15|378.34|372.30|57.47|429.77|2|258245|3437571|58829148|99.56|308314|15604663|30629650|98.99|148957|339|0|1404|0|2480|0.003|52129|216Mb|0|216Mb|100000|4|2005847|11906018|2083224119|99.90|1234073|2468108|7590855|83.74|14128|13677|0|1251|0|755226|0.005|478847|8198Mb|0|8198Mb|2000000|8|261418|3921668|52228757|99.50|136266|545064|5217530|97.39|14609|402|0|139|0|0|0|136266|32022Mb|0|32022Mb|4000000|16|613411|11580744|1009939788|99.94|7537101|60294656|31448084|76.03|74292|28471|0|1308|0|7191709|0.003|345392|31636Mb|0|31636Mb|2000000|
07/11/18|00:30:35|3141943|30855921|3205133787|99.90|9224035|79004897|74997238|87.88|24911022411|5059388697|339558147|1304194303|15840536|4299123|63645|2638506|891|0|0|0|0|0|0|0|0|0|0|71649.20|15664.21|1403|5640|42891|391|3209244588|0|0|1067|2493318|196143573|19321|3435926|808878|2|754856|777|815|P-2|130|256|12687830|51471|246.50|2:53|1023947|214945|125951|12.30|L-2|184|256|54929740|2242851|19345|24.5|115.9|OLDRSAM|54928337|4511190268|4080000|8594|86374424576|18974480|2113026|0|882|49|724085|239|378415351|376308636|1|42|100000|0|11182.16|2753.89|13936.05|10443.06|2619.02|13062.08|10504.54|2655.77|13160.31|10155.78|2567.16|12722.94|10425.73|2565.13|12990.86|2162.00|199.36|2361.36|1763.53|172.13|1935.66|1618.80|129.87|1748.67|1311.88|109.44|1421.32|1072.86|93.66|1166.52|849.73|80.50|930.23|703.20|74.18|777.38|571.44|64.69|636.13|486.37|58.98|545.35|441.39|55.91|497.30|379.93|52.67|432.60|353.72|51.71|405.43|340.94|51.79|392.73|316.73|50.07|366.80|312.55|50.22|362.77|307.07|49.93|357.00|305.47|49.32|354.79|300.30|49.73|350.03|303.91|50.56|354.47|299.97|51.19|351.16|297.45|51.41|348.86|292.91|51.75|344.66|301.43|53.73|355.16|307.12|54.40|361.52|307.65|55.17|362.82|306.54|56.14|362.68|306.37|56.90|363.27|309.94|57.15|367.09|311.63|58.35|369.98|305.64|59.01|364.65|309.97|60.09|370.06|304.10|61.22|365.32|310.79|61.45|372.24|315.19|63.15|378.34|372.31|57.47|429.78|2|258245|3437571|58920920|99.56|308401|15626901|30696169|99.00|215476|339|0|1404|0|2480|0.003|52129|216Mb|0|216Mb|100000|4|2006891|11908082|2083622382|99.90|1234073|2468108|7596944|83.76|20217|13677|0|1251|0|755226|0.005|478847|8198Mb|0|8198Mb|2000000|8|263396|3929524|52251331|99.50|136266|545064|5223786|97.39|20865|402|0|139|0|0|0|136266|32022Mb|0|32022Mb|4000000|16|613411|11580744|1010339154|99.94|7545295|60364824|31480339|76.03|106547|28473|0|1308|0|7199903|0.003|345392|31636Mb|0|31636Mb|2000000|
