date|time|dskreads|pagreads|bufreads|rcached|dskwrits|pagwrits|bufwrits|wcached|isamtot|open|start|read|write|rewrite|delete|commit|rollbk|gp_read|gp_write|gp_rewrt|gp_del|gp_alloc|gp_free|gp_curs|ovlock|ovuserthread|ovbuff|usercpu|syscpu|numckpts|flushes|bufwaits|lokwaits|lockreqs|deadlks|dltouts|ckpwaits|compress|seqscans|ixdaRA|idxRA|daRA|RApgsused|lchwaits|sessions|activelocks|pbuffer|pbufused|pbufsize|pnumpages|pnumwrits|ppagesio|pphybegin|pphysize|pphypos|pphyused|pphypcnt|lbuffer|lbufused|lbufsize|lnumrecs|lnumpages|lnumwrits|lrecspages|lpagesio|lsubsystem|lsnumrecs|lsspaceused|lltotalsize|lltotalused|shmtotal|blkused|blkfree|threadrea|threadwai|threadsle|netaccept|netreject|netread|netwrite|sdeclient|buffdirty|bufftotal|ckptreq|user1|sys1|total1|user2|sys2|total2|user3|sys3|total3|user4|sys4|total4|user5|sys5|total5|user6|sys6|total6|user7|sys7|total7|user8|sys8|total8|user9|sys9|total9|user10|sys10|total10|user11|sys11|total11|user12|sys12|total12|user13|sys13|total13|user14|sys14|total14|user15|sys15|total15|user16|sys16|total16|user17|sys17|total17|
30/10/18|00:01:01|281997383|6179715384|756353191672|99.96|429973296|3400878545|8469861885|95.16|951217046742|17861935816|46752473246|143054856152|2451677408|320399836|423001263|315093560|3232523|0|0|0|0|0|0|0|0|0|0|2202815.89|173010.70|14623|63312|21183161|25030173|1615892383307|12440|0|59338|97315416|15495829912|2940621|215026568|68206771|270|117379714|1090|1123|P-2|78|256|657880635|2573073|255.68|2:53|1023947|570340|28604|2.79|L-3|229|256|7214901925|421572719|70051505|17.1|6.0|OLDRSAM|7214714828|767489542792|4080000|61877|102249865216|22992283|1971063|0|1194|49|2004425|197|-1379224246|-1242386535|1|68|100000|0|305132.76|33250.07|338382.83|294865.73|29906.02|324771.75|320818.21|27496.91|348315.12|272166.72|28848.86|301015.58|343849.11|31257.86|375106.97|38497.07|2767.90|41264.97|25318.22|2201.71|27519.93|43594.58|1011.29|44605.87|34867.21|833.03|35700.24|28806.57|708.20|29514.77|24468.33|621.32|25089.65|21568.25|582.30|22150.55|19044.13|552.42|19596.55|17757.82|507.51|18265.33|16369.12|520.13|16889.25|15934.97|474.61|16409.58|15394.79|497.57|15892.36|
30/10/18|00:01:58|281997394|6179717320|756358417972|99.96|429983349|3400937087|8469958223|95.16|951223482507|17861976985|46752663105|143056142295|2451689572|320414592|423008436|315095543|3232529|0|0|0|0|0|0|0|0|0|0|2202833.73|173013.68|14624|63316|21183215|25030524|1615900446819|12440|0|59339|97315802|15495957255|2940621|215026568|68206771|270|117379714|1091|1123|P-1|178|256|657886227|2573096|255.68|2:53|1023947|575932|3883|0.38|L-1|26|256|7214997688|421577421|70051530|17.1|6.0|OLDRSAM|7214810590|767498616156|4080000|66579|102249865216|22992368|1970978|0|1193|49|2004434|197|-1379067372|-1242229202|1|29|100000|0|305134.65|33250.44|338385.09|294867.04|29906.40|324773.44|320819.90|27497.27|348317.17|272168.14|28849.19|301017.33|343860.04|31259.21|375119.25|38497.12|2767.91|41265.03|25318.36|2201.72|27520.08|43594.59|1011.30|44605.89|34867.28|833.04|35700.32|28806.59|708.21|29514.80|24468.35|621.33|25089.68|21568.26|582.31|22150.57|19044.14|552.43|19596.57|17757.83|507.51|18265.34|16369.13|520.14|16889.27|15935.12|474.63|16409.75|15394.80|497.57|15892.37|
30/10/18|00:02:56|281997417|6179721209|756364350645|99.96|429983456|3400962829|8470098886|95.16|951231221799|17862032965|46752941037|143057668286|2451710675|320430209|423016440|315099124|3232534|0|0|0|0|0|0|0|0|0|0|2202853.88|173016.50|14624|63316|21183326|25031148|1615909848482|12440|0|59339|97316448|15496170105|2940621|215026568|68206771|270|117379714|1090|1122|P-1|146|256|657904845|2573168|255.68|2:53|1023947|594550|22469|2.19|L-3|39|256|7215150279|421584545|70051562|17.1|6.0|OLDRSAM|7214963181|767513021204|4080000|73703|102249865216|22992706|1970640|0|1192|49|2004443|197|-1378872402|-1242033470|1|41|100000|0|305137.28|33250.91|338388.19|294869.55|29906.80|324776.35|320821.83|27497.64|348319.47|272170.15|28849.54|301019.69|343871.25|31260.48|375131.73|38497.12|2767.91|41265.03|25318.37|2201.73|27520.10|43594.78|1011.30|44606.08|34867.29|833.04|35700.33|28806.60|708.21|29514.81|24468.36|621.33|25089.69|21568.30|582.31|22150.61|19044.14|552.43|19596.57|17757.83|507.51|18265.34|16369.13|520.14|16889.27|15935.12|474.63|16409.75|15394.80|497.57|15892.37|
30/10/18|00:03:53|281997446|6179725874|756370577738|99.96|429983523|3400976592|8470318299|95.16|951240010803|17862096125|46753345225|143059364755|2451746171|320447511|423027449|315104621|3232540|0|0|0|0|0|0|0|0|0|0|2202878.05|173020.13|14624|63316|21183472|25032161|1615919561158|12440|0|59339|97317422|15496499412|2940621|215026568|68206771|270|117379714|1090|1124|P-2|120|256|657907159|2573177|255.68|2:53|1023947|596864|24757|2.42|L-1|169|256|7215398646|421595994|70051620|17.1|6.0|OLDRSAM|7215211548|767536365212|4080000|85152|102249865216|22993161|1970185|0|1194|49|2004451|197|-1378642047|-1241801854|1|43|100000|0|305140.26|33251.49|338391.75|294872.58|29907.47|324780.05|320823.91|27498.13|348322.04|272172.33|28849.86|301022.19|343883.51|31261.87|375145.38|38497.14|2767.92|41265.06|25318.43|2201.74|27520.17|43594.79|1011.30|44606.09|34867.35|833.04|35700.39|28806.60|708.22|29514.82|24468.36|621.33|25089.69|21568.30|582.31|22150.61|19044.15|552.43|19596.58|17757.83|507.51|18265.34|16369.14|520.14|16889.28|15935.12|474.63|16409.75|15394.81|497.57|15892.38|
30/10/18|00:04:51|281998614|6179735840|756376911721|99.96|429984740|3400999873|8470602190|95.17|951250044356|17862174972|46753887154|143061232030|2451795998|320465982|423036455|315112083|3232545|0|0|0|0|0|0|0|0|0|0|2202906.37|173024.43|14624|63316|21183655|25033699|1615929710558|12440|0|59339|97318907|15496960391|2940621|215026568|68206771|270|117379714|1090|1135|P-1|250|256|657910000|2573188|255.68|2:53|1023947|599705|27728|2.71|L-3|162|256|7215741594|421611922|70051697|17.1|6.0|OLDRSAM|7215554496|767568595264|4080000|102616|102249865216|22992722|1970624|0|1193|49|2004465|197|-1378340925|-1241498889|1|51|100000|0|305144.21|33252.23|338396.44|294879.40|29908.42|324787.82|320827.07|27498.72|348325.79|272175.41|28850.51|301025.92|343894.86|31263.34|375158.20|38497.25|2767.93|41265.18|25318.47|2201.75|27520.22|43594.85|1011.30|44606.15|34867.44|833.05|35700.49|28806.62|708.22|29514.84|24468.40|621.34|25089.74|21568.32|582.32|22150.64|19044.15|552.44|19596.59|17757.84|507.51|18265.35|16369.14|520.14|16889.28|15935.13|474.63|16409.76|15394.84|497.58|15892.42|
30/10/18|00:05:48|281998633|6179739056|756382401298|99.96|429984756|3401002179|8470666916|95.17|951256144520|17862209180|46753983311|143062506046|2451798513|320479264|423049459|315112674|3232550|0|0|0|0|0|0|0|0|0|0|2202921.66|173026.74|14624|63316|21183665|25033734|1615938144535|12440|0|59339|97319020|15497000906|2940621|215026568|68206771|270|117379714|1090|1122|P-2|94|256|657910258|2573189|255.68|2:53|1023947|599963|27830|2.72|L-2|153|256|7215782564|421613970|70051705|17.1|6.0|OLDRSAM|7215595466|767572476120|4080000|103128|102249865216|22992706|1970640|0|1192|49|2004468|197|-1378221689|-1241379600|1|51|100000|0|305145.04|33252.39|338397.43|294879.98|29908.57|324788.55|320828.55|27499.03|348327.58|272176.12|28850.65|301026.77|343905.34|31264.65|375169.99|38497.34|2767.93|41265.27|25318.47|2201.76|27520.23|43595.08|1011.30|44606.38|34867.48|833.05|35700.53|28806.62|708.22|29514.84|24468.40|621.34|25089.74|21568.32|582.32|22150.64|19044.16|552.44|19596.60|17757.84|507.52|18265.36|16369.15|520.14|16889.29|15935.13|474.63|16409.76|15394.84|497.58|15892.42|
30/10/18|00:06:45|281998643|6179742602|756387932919|99.96|429993553|3401073310|8470802573|95.17|951263743816|17862283668|46754293440|143063967194|2451822293|320495749|423050493|315116344|3232555|0|0|0|0|0|0|0|0|0|0|2202943.02|173030.05|14625|63320|21183734|25034469|1615946701970|12440|0|59339|97319713|15497240445|2940621|215026568|68206771|270|117379714|1088|1120|P-2|146|256|657931794|2573273|255.68|2:53|1023947|621499|19462|1.90|L-3|217|256|7215933947|421620898|70051742|17.1|6.0|OLDRSAM|7215746848|767586684340|4080000|110056|102249865216|22993745|1969601|0|1193|49|2004555|197|-1378019695|-1241176710|1|26|100000|0|305147.55|33252.84|338400.39|294882.42|29908.94|324791.36|320830.75|27499.41|348330.16|272177.91|28851.02|301028.93|343916.55|31266.07|375182.62|38497.38|2767.95|41265.33|25318.49|2201.77|27520.26|43595.11|1011.32|44606.43|34867.52|833.06|35700.58|28806.63|708.23|29514.86|24468.41|621.35|25089.76|21568.33|582.32|22150.65|19044.17|552.44|19596.61|17757.86|507.52|18265.38|16369.40|520.15|16889.55|15935.13|474.64|16409.77|15395.25|497.58|15892.83|
30/10/18|00:07:43|281998681|6179746334|756394917831|99.96|429993600|3401083750|8470938631|95.17|951272326822|17862341032|46754529201|143065641008|2451838085|320511414|423065499|315118928|3232560|0|0|0|0|0|0|0|0|0|0|2202964.08|173033.88|14625|63320|21183768|25034829|1615957648299|12440|0|59339|97320218|15497410038|2940621|215026568|68206771|270|117379715|1089|1123|P-2|182|256|657935410|2573287|255.68|2:53|1023947|625115|23114|2.26|L-1|127|256|7216070814|421627464|70051773|17.1|6.0|OLDRSAM|7215883715|767599663388|4080000|116622|102249865216|22993365|1969981|0|1190|49|2004577|197|-1377806816|-1240963195|1|43|100000|0|305149.88|33253.61|338403.49|294884.83|29909.71|324794.54|320832.24|27499.76|348332.00|272179.56|28851.36|301030.92|343928.88|31267.52|375196.40|38497.43|2767.96|41265.39|25318.50|2201.78|27520.28|43595.12|1011.33|44606.45|34867.53|833.06|35700.59|28806.64|708.24|29514.88|24468.47|621.36|25089.83|21568.34|582.33|22150.67|19044.18|552.45|19596.63|17757.86|507.53|18265.39|16369.41|520.15|16889.56|15935.14|474.64|16409.78|15395.26|497.58|15892.84|
30/10/18|00:08:40|281998698|6179749518|756400669357|99.96|429993652|3401094689|8471116806|95.17|951280345901|17862402107|46754883311|143067175533|2451867623|320527817|423072505|315123333|3232566|0|0|0|0|0|0|0|0|0|0|2202986.18|173037.14|14625|63320|21183885|25035702|1615966939094|12440|0|59339|97320993|15497693225|2940621|215026568|68206771|270|117379716|1088|1122|P-1|195|256|657937212|2573294|255.68|2:53|1023947|626917|24929|2.43|L-1|238|256|7216270729|421636601|70051818|17.1|6.0|OLDRSAM|7216083630|767618446168|4080000|125759|102249865216|22993969|1969377|0|1193|49|2004606|197|-1377589398|-1240744705|1|44|100000|0|305152.61|33254.11|338406.72|294887.39|29910.14|324797.53|320835.07|27500.23|348335.30|272181.91|28851.84|301033.75|343939.96|31268.94|375208.90|38497.56|2767.96|41265.52|25318.53|2201.79|27520.32|43595.21|1011.33|44606.54|34867.54|833.07|35700.61|28806.65|708.24|29514.89|24468.47|621.36|25089.83|21568.34|582.33|22150.67|19044.18|552.45|19596.63|17757.86|507.53|18265.39|16369.41|520.15|16889.56|15935.14|474.64|16409.78|15395.26|497.58|15892.84|
30/10/18|00:09:38|281999890|6179758679|756407462489|99.96|429994902|3401117601|8471406073|95.17|951290870682|17862487974|46755427116|143069163682|2451917455|320546044|423083511|315130659|3232571|0|0|0|0|0|0|0|0|0|0|2203015.37|173041.59|14625|63320|21184086|25037201|1615978210598|12440|0|59339|97322368|15498156143|2940621|215026568|68206771|270|117379719|1089|1123|P-2|26|256|657939539|2573303|255.68|2:53|1023947|629244|27087|2.65|L-3|71|256|7216611009|421652570|70051895|17.1|6.0|OLDRSAM|7216423910|767650320532|4080000|141728|102249865216|22994663|1968683|0|1196|49|2004637|197|-1377289370|-1240442852|1|51|100000|0|305157.24|33254.93|338412.17|294891.91|29910.95|324802.86|320838.34|27500.87|348339.21|272185.67|28852.42|301038.09|343951.17|31270.34|375221.51|38497.64|2767.98|41265.62|25318.59|2201.80|27520.39|43595.36|1011.33|44606.69|34867.62|833.07|35700.69|28806.72|708.25|29514.97|24468.49|621.37|25089.86|21568.36|582.34|22150.70|19044.42|552.45|19596.87|17757.88|507.54|18265.42|16369.43|520.16|16889.59|15935.15|474.65|16409.80|15395.29|497.59|15892.88|
