date|time|dskreads|pagreads|bufreads|rcached|dskwrits|pagwrits|bufwrits|wcached|isamtot|open|start|read|write|rewrite|delete|commit|rollbk|gp_read|gp_write|gp_rewrt|gp_del|gp_alloc|gp_free|gp_curs|ovlock|ovuserthread|ovbuff|usercpu|syscpu|numckpts|flushes|bufwaits|lokwaits|lockreqs|deadlks|dltouts|ckpwaits|compress|seqscans|ixdaRA|idxRA|daRA|RApgsused|lchwaits|sessions|activelocks|pbuffer|pbufused|pbufsize|pnumpages|pnumwrits|ppagesio|pphybegin|pphysize|pphypos|pphyused|pphypcnt|lbuffer|lbufused|lbufsize|lnumrecs|lnumpages|lnumwrits|lrecspages|lpagesio|lsubsystem|lsnumrecs|lsspaceused|lltotalsize|lltotalused|shmtotal|blkused|blkfree|threadrea|threadwai|threadsle|netaccept|netreject|netread|netwrite|sdeclient|buffdirty|bufftotal|ckptreq|user1|sys1|total1|user2|sys2|total2|user3|sys3|total3|user4|sys4|total4|user5|sys5|total5|user6|sys6|total6|user7|sys7|total7|user8|sys8|total8|user9|sys9|total9|user10|sys10|total10|user11|sys11|total11|user12|sys12|total12|user13|sys13|total13|user14|sys14|total14|user15|sys15|total15|user16|sys16|total16|user17|sys17|total17|user18|sys18|total18|user19|sys19|total19|user20|sys20|total20|user21|sys21|total21|user22|sys22|total22|user23|sys23|total23|user24|sys24|total24|user25|sys25|total25|user26|sys26|total26|user27|sys27|total27|user28|sys28|total28|user29|sys29|total29|user30|sys30|total30|user31|sys31|total31|user32|sys32|total32|user33|sys33|total33|user34|sys34|total34|user35|sys35|total35|user36|sys36|total36|user37|sys37|total37|user38|sys38|total38|user39|sys39|total39|user40|sys40|total40|pagesize2|dskreads2|pagereads2|buffreads2|rcachepc2|dskwrits2|pagwrits2|bufwrits2|wcachepc2|bufwrits_sinceckpt2|bufwaits2|ovbuff2|flushes2|fgwrits2|lruwrites2|avlru2|chunkwrites2|totalmemory2|id2|size2|buffers2|pagesize4|dskreads4|pagereads4|buffreads4|rcachepc4|dskwrits4|pagwrits4|bufwrits4|wcachepc4|bufwrits_sinceckpt4|bufwaits4|ovbuff4|flushes4|fgwrits4|lruwrites4|avlru4|chunkwrites4|totalmemory4|id4|size4|buffers4|pagesize8|dskreads8|pagereads8|buffreads8|rcachepc8|dskwrits8|pagwrits8|bufwrits8|wcachepc8|bufwrits_sinceckpt8|bufwaits8|ovbuff8|flushes8|fgwrits8|lruwrites8|avlru8|chunkwrites8|totalmemory8|id8|size8|buffers8|pagesize16|dskreads16|pagereads16|buffreads16|rcachepc16|dskwrits16|pagwrits16|bufwrits16|wcachepc16|bufwrits_sinceckpt16|bufwaits16|ovbuff16|flushes16|fgwrits16|lruwrites16|avlru16|chunkwrites16|totalmemory16|id16|size16|buffers16|
08/11/18|00:01:01|150775113|2540481322|215723319002|99.93|135630056|2251620332|2615451773|96.96|314058449326|5359817325|6832815735|47694342843|848884285|129106657|119707629|144768800|3268449|0|0|0|0|0|0|0|0|0|0|539769.49|43249.79|2141|9460|14152097|5130754|593002011439|41|0|8955|27716566|6578394273|4261484|85548067|2966014|2|43881013|985|1020|P-2|188|256|126431534|492939|256.49|2:53|1023947|401545|259003|25.29|L-1|57|256|2203729336|104448764|647856|21.1|161.2|OLDRSAM|2203716070|210339540680|4080000|55000|99305463808|22059406|2185092|0|1093|49|481881|491|1903647159|-2139483198|1|64|100000|0|71854.43|8078.11|79932.54|71295.01|7549.94|78844.95|68460.02|7034.54|75494.56|66047.64|7159.33|73206.97|58332.70|6658.23|64990.93|8101.70|741.60|8843.30|5823.05|582.98|6406.03|9730.43|321.38|10051.81|8652.48|285.24|8937.72|7743.27|247.06|7990.33|6751.96|221.06|6973.02|6018.11|199.16|6217.27|5429.25|182.08|5611.33|5165.41|169.17|5334.58|5115.32|161.05|5276.37|4759.52|158.21|4917.73|4675.97|149.29|4825.26|4601.32|147.24|4748.56|4442.36|141.99|4584.35|4473.36|142.37|4615.73|4451.17|145.75|4596.92|4466.72|141.98|4608.70|4458.90|138.03|4596.93|4461.54|136.30|4597.84|4742.82|138.09|4880.91|4744.08|139.79|4883.87|4679.22|137.53|4816.75|4898.07|138.89|5036.96|4771.88|137.83|4909.71|5186.11|134.28|5320.39|5146.96|130.46|5277.42|5183.47|128.98|5312.45|5488.49|131.50|5619.99|5652.08|132.09|5784.17|6019.14|129.80|6148.94|6360.92|137.21|6498.13|6236.88|133.46|6370.34|6632.30|133.92|6766.22|7572.28|133.11|7705.39|11037.39|128.67|11166.06|2|139911218|1981030484|7492594048|98.13|101845539|2070386358|912809096|88.84|376|264003|0|2183|0|43623122|0.007|597808|216Mb|0|216Mb|100000|4|773392|4409402|42486392703|100.00|3632172|7264314|156793732|97.68|83251|134364|0|1986|0|210997|0.010|3421175|12338Mb|0|12338Mb|3000000|8|5765482|88721908|121033944953|100.00|16812417|67249068|370774856|95.47|230045|107646|0|2138|0|10624968|0.009|6187433|32022Mb|0|32022Mb|4000000|16|4325122|466333144|44714115819|99.99|13341205|106729640|1175104263|98.86|655722|13646092|0|2104|0|0|0|13341205|31636Mb|0|31636Mb|2000000|
08/11/18|00:01:56|150778220|2540883228|215800907865|99.93|135654264|2251924216|2616357669|96.96|314197187152|5363641711|6837545339|47710327831|849013382|129193472|119761413|144814109|3268451|0|0|0|0|0|0|0|0|0|0|539956.55|43259.89|2141|9460|14153116|5142346|593232903187|41|0|8955|27719784|6582949768|4261484|85548067|2966014|2|43881013|984|1019|P-2|78|256|126548334|493390|256.49|2:53|1023947|512397|369745|36.11|L-2|66|256|2204750118|104493208|648081|21.1|161.2|OLDRSAM|2204736852|210430535952|4080000|98658|99305463808|22062927|2181571|0|1088|49|481913|491|1904119565|-2139000386|1|68|100000|0|71873.92|8079.51|79953.43|71315.57|7552.05|78867.62|68478.77|7035.81|75514.58|66058.57|7160.04|73218.61|58357.36|6660.50|65017.86|8106.39|741.86|8848.25|5826.01|583.18|6409.19|9734.05|321.50|10055.55|8656.42|285.33|8941.75|7746.19|247.13|7993.32|6754.85|221.12|6975.97|6020.16|199.21|6219.37|5431.28|182.14|5613.42|5167.00|169.22|5336.22|5117.29|161.09|5278.38|4761.57|158.26|4919.83|4677.30|149.36|4826.66|4603.39|147.29|4750.68|4444.24|142.04|4586.28|4475.70|142.42|4618.12|4453.52|145.80|4599.32|4469.13|142.04|4611.17|4461.80|138.07|4599.87|4463.51|136.35|4599.86|4744.29|138.13|4882.42|4745.94|139.84|4885.78|4681.17|137.57|4818.74|4900.36|138.94|5039.30|4773.63|137.89|4911.52|5187.64|134.33|5321.97|5149.43|130.52|5279.95|5184.97|129.02|5313.99|5491.65|131.56|5623.21|5654.71|132.14|5786.85|6021.84|129.85|6151.69|6364.15|137.27|6501.42|6239.70|133.52|6373.22|6635.75|133.98|6769.73|7575.21|133.16|7708.37|11046.18|128.73|11174.91|2|139912730|1981089762|7492688245|98.13|101848038|2070597742|912809522|88.84|802|264003|0|2183|0|43623122|0.007|597808|216Mb|0|216Mb|100000|4|773407|4409434|42524903374|100.00|3632172|7264314|156873353|97.68|162872|134365|0|1986|0|210997|0.010|3421175|12338Mb|0|12338Mb|3000000|8|5765487|88721928|121061023129|100.00|16832849|67332520|370978639|95.46|433828|107677|0|2138|0|10645384|0.009|6187433|32022Mb|0|32022Mb|4000000|16|4326596|466662104|44722293117|99.99|13341205|106729640|1175696155|98.87|1247614|13647071|0|2104|0|0|0|13341205|31636Mb|0|31636Mb|2000000|
08/11/18|00:02:51|150780596|2541249930|215876558844|99.93|135678588|2252125115|2617305862|96.96|314337836302|5367438303|6842846019|47726654087|849153345|129288823|119812191|144857348|3268454|0|0|0|0|0|0|0|0|0|0|540148.68|43271.01|2141|9460|14154148|5153567|593460551154|41|0|8955|27723162|6588072592|4261484|85548067|2966014|2|43881013|984|1017|P-1|42|256|126611564|493634|256.49|2:53|1023947|575879|433191|42.31|L-1|92|256|2205803127|104539325|648317|21.1|161.2|OLDRSAM|2205789861|210523124044|4080000|125588|99305463808|22054683|2189815|1|1091|49|481990|491|1904666548|-2138452983|1|115|100000|0|71890.67|8080.93|79971.60|71335.45|7554.48|78889.93|68498.57|7037.20|75535.77|66070.72|7160.86|73231.58|58383.56|6662.91|65046.47|8110.55|742.18|8852.73|5828.45|583.35|6411.80|9737.31|321.63|10058.94|8659.16|285.43|8944.59|7748.38|247.19|7995.57|6757.16|221.17|6978.33|6022.32|199.28|6221.60|5433.35|182.21|5615.56|5168.76|169.29|5338.05|5119.03|161.14|5280.17|4762.95|158.31|4921.26|4680.22|149.43|4829.65|4606.32|147.34|4753.66|4446.43|142.11|4588.54|4478.80|142.50|4621.30|4455.86|145.87|4601.73|4470.95|142.10|4613.05|4463.84|138.12|4601.96|4465.40|136.40|4601.80|4746.68|138.20|4884.88|4748.41|139.90|4888.31|4683.99|137.63|4821.62|4903.62|139.01|5042.63|4776.94|137.96|4914.90|5191.20|134.39|5325.59|5152.35|130.59|5282.94|5187.45|129.08|5316.53|5495.70|131.61|5627.31|5657.39|132.19|5789.58|6024.64|129.91|6154.55|6367.72|137.35|6505.07|6242.15|133.57|6375.72|6640.53|134.03|6774.56|7577.62|133.21|7710.83|11052.14|128.80|11180.94|2|139913495|1981104164|7492732004|98.13|101848518|2070705831|912809924|88.84|1204|264003|0|2183|0|43623122|0.007|597808|216Mb|0|216Mb|100000|4|773412|4409442|42565386559|100.00|3632751|7265472|156959259|97.69|248778|134368|0|1986|0|211576|0.010|3421175|12338Mb|0|12338Mb|3000000|8|5765490|88721940|121088784500|100.00|16856114|67424172|371201940|95.46|657129|107705|0|2138|0|10668681|0.009|6187433|32022Mb|0|32022Mb|4000000|16|4328199|467014384|44729655781|99.99|13341205|106729640|1176334739|98.87|1886198|13648072|0|2104|0|0|0|13341205|31636Mb|0|31636Mb|2000000|
08/11/18|00:03:47|150786836|2541676742|215952378953|99.93|135694175|2252278697|2617845406|96.96|314467709264|5371625517|6844959907|47740085847|849212970|129336227|119854092|144900017|3268455|0|0|0|0|0|0|0|0|0|0|540307.63|43280.30|2141|9460|14154372|5156194|593694542503|41|0|8955|27724582|6590110677|4261484|85548067|2966014|2|43881013|983|1634|P-1|166|256|126666993|493848|256.49|2:53|1023947|628710|486146|47.48|L-1|134|256|2206450583|104569439|648647|21.1|161.2|OLDRSAM|2206437317|210582521036|4080000|17462|99305463808|22057718|2186780|0|1084|55|482012|491|1905169680|-2137949893|1|153|100000|0|71904.85|8082.01|79986.86|71353.42|7556.87|78910.29|68515.41|7038.38|75553.79|66079.32|7161.50|73240.82|58404.72|6665.08|65069.80|8112.36|742.40|8854.76|5829.23|583.45|6412.68|9739.17|321.69|10060.86|8660.46|285.47|8945.93|7750.14|247.23|7997.37|6758.23|221.22|6979.45|6023.31|199.33|6222.64|5434.96|182.25|5617.21|5170.57|169.34|5339.91|5120.44|161.18|5281.62|4764.83|158.34|4923.17|4682.12|149.48|4831.60|4608.61|147.38|4755.99|4448.55|142.14|4590.69|4480.73|142.54|4623.27|4458.10|145.92|4604.02|4473.06|142.22|4615.28|4465.65|138.17|4603.82|4467.28|136.45|4603.73|4749.12|138.24|4887.36|4750.44|139.94|4890.38|4686.17|137.65|4823.82|4905.33|139.04|5044.37|4780.75|138.00|4918.75|5192.78|134.43|5327.21|5154.75|130.63|5285.38|5188.99|129.12|5318.11|5497.26|131.64|5628.90|5659.80|132.23|5792.03|6027.93|129.97|6157.90|6371.74|137.40|6509.14|6243.79|133.61|6377.40|6646.83|134.08|6780.91|7581.61|133.24|7714.85|11059.80|128.85|11188.65|2|139918296|1981249792|7492830970|98.13|101849062|2070793743|912811093|88.84|2373|264003|0|2183|0|43623122|0.007|597808|216Mb|0|216Mb|100000|4|773428|4409474|42606808308|100.00|3633330|7266630|157014795|97.69|304314|134369|0|1986|0|212155|0.010|3421175|12338Mb|0|12338Mb|3000000|8|5765548|88722196|121117593977|100.00|16870578|67488684|371312484|95.46|767673|107716|0|2138|0|10683145|0.009|6187433|32022Mb|0|32022Mb|4000000|16|4329564|467295280|44735145698|99.99|13341205|106729640|1176707034|98.87|2258493|13648284|0|2104|0|0|0|13341205|31636Mb|0|31636Mb|2000000|
08/11/18|00:04:42|150791477|2542183675|216030780093|99.93|135737268|2252553255|2619595245|96.96|314628856524|5374060134|6855880528|47762144721|849504394|129520525|119925642|144953144|3268458|0|0|0|0|0|0|0|0|0|0|540551.39|43295.39|2141|9460|14157579|5190493|593925026234|41|0|8955|27730622|6600650895|4261484|85548067|2966014|2|43881013|985|1017|P-1|202|256|126707658|494005|256.49|2:53|1023947|669637|527109|51.48|L-1|214|256|2208340624|104649375|649133|21.1|161.2|OLDRSAM|2208327358|210745051264|4080000|9485|99305463808|22059135|2185363|0|1091|49|482050|491|1905774305|-2137343824|1|181|100000|0|71928.90|8083.91|80012.81|71377.01|7559.82|78936.83|68540.22|7040.40|75580.62|66094.26|7162.64|73256.90|58434.44|6668.00|65102.44|8121.92|742.97|8864.89|5835.08|583.79|6418.87|9744.85|321.89|10066.74|8665.57|285.64|8951.21|7755.03|247.37|8002.40|6760.87|221.32|6982.19|6027.21|199.43|6226.64|5437.28|182.33|5619.61|5172.70|169.43|5342.13|5122.66|161.24|5283.90|4767.33|158.41|4925.74|4684.74|149.60|4834.34|4611.86|147.51|4759.37|4451.26|142.24|4593.50|4484.29|142.62|4626.91|4462.11|146.02|4608.13|4475.72|142.29|4618.01|4467.99|138.27|4606.26|4469.56|136.52|4606.08|4751.58|138.33|4889.91|4753.30|140.03|4893.33|4688.88|137.75|4826.63|4909.14|139.11|5048.25|4783.78|138.08|4921.86|5195.63|134.53|5330.16|5157.55|130.70|5288.25|5192.16|129.19|5321.35|5500.84|131.71|5632.55|5661.95|132.32|5794.27|6031.20|130.04|6161.24|6375.43|137.50|6512.93|6248.12|133.71|6381.83|6651.58|134.17|6785.75|7587.80|133.34|7721.14|11063.61|128.93|11192.54|2|139921107|1981334847|7492924563|98.13|101849705|2070911845|912812096|88.84|3376|264008|0|2183|0|43623122|0.007|597808|216Mb|0|216Mb|100000|4|773437|4409492|42645943307|100.00|3636611|7273578|157164529|97.69|454048|134374|0|1986|0|215436|0.010|3421175|12338Mb|0|12338Mb|3000000|8|5765587|88722328|121145625065|100.00|16909747|67638192|371745593|95.45|1200782|107777|0|2138|0|10722314|0.009|6187433|32022Mb|0|32022Mb|4000000|16|4331346|467717008|44746287158|99.99|13341205|106729640|1177873027|98.87|3424486|13651420|0|2104|0|0|0|13341205|31636Mb|0|31636Mb|2000000|
08/11/18|00:05:37|150792492|2542392641|216098527726|99.93|135841991|2253476335|2620681122|96.96|314765010780|5376304061|6862478963|47780619954|849672087|129631269|119977452|144999099|3268461|0|0|0|0|0|0|0|0|0|0|540745.75|43308.49|2142|9468|14158831|5213358|594129083084|41|0|8969|27734041|6607041036|4261484|85548067|2966014|2|43881013|984|1048|P-2|10|256|126914752|494812|256.49|2:53|1023947|883217|192270|18.78|L-1|23|256|2209548729|104702212|649415|21.1|161.2|OLDRSAM|2209535462|210850755476|4080000|67598|99305463808|22060455|2184043|0|1100|49|482081|491|1906360927|-2136756079|1|32|100000|0|71945.21|8085.50|80030.71|71394.60|7562.36|78956.96|68561.89|7042.27|75604.16|66105.37|7163.63|73269.00|58458.88|6670.55|65129.43|8127.40|743.35|8870.75|5838.24|584.01|6422.25|9748.37|322.08|10070.45|8669.74|285.82|8955.56|7759.05|247.48|8006.53|6763.67|221.43|6985.10|6029.97|199.56|6229.53|5440.23|182.43|5622.66|5174.83|169.53|5344.36|5125.38|161.31|5286.69|4769.34|158.47|4927.81|4687.66|149.71|4837.37|4614.39|147.59|4761.98|4453.83|142.32|4596.15|4486.41|142.69|4629.10|4464.20|146.09|4610.29|4478.67|142.38|4621.05|4470.63|138.35|4608.98|4471.73|136.60|4608.33|4753.53|138.40|4891.93|4755.38|140.11|4895.49|4690.99|137.81|4828.80|4910.86|139.18|5050.04|4786.62|138.20|4924.82|5198.03|134.60|5332.63|5160.02|130.77|5290.79|5194.30|129.27|5323.57|5503.84|131.78|5635.62|5664.60|132.40|5797.00|6033.94|130.11|6164.05|6380.39|137.57|6517.96|6253.37|133.79|6387.16|6653.80|134.25|6788.05|7592.59|133.43|7726.02|11067.95|128.98|11196.93|2|139921135|1981334877|7492965149|98.13|101851157|2071176095|912812477|88.84|211|264008|0|2185|0|43623122|0.007|598011|216Mb|0|216Mb|100000|4|773437|4409492|42676563181|100.00|3647123|7294216|157261044|97.68|75043|134385|0|1988|0|216985|0.011|3430138|12338Mb|0|12338Mb|3000000|8|5765593|88722352|121174689946|100.00|16937221|67754104|372005850|95.45|215742|107835|0|2140|0|10743766|0.009|6193359|32022Mb|0|32022Mb|4000000|16|4332327|467925920|44754309450|99.99|13406490|107251920|1178601751|98.86|563234|13652603|0|2106|0|0|0|13406490|31636Mb|0|31636Mb|2000000|
08/11/18|00:06:32|150793986|2542683358|216175289791|99.93|135860733|2253714988|2621453240|96.96|314893462013|5378760220|6866168513|47795005313|849776846|129694643|120023385|145045638|3268464|0|0|0|0|0|0|0|0|0|0|540902.66|43318.17|2142|9468|14159231|5218186|594361503878|41|0|8969|27736600|6610613898|4261484|85548067|2966014|2|43881013|985|1024|P-2|50|256|127049753|495333|256.49|2:53|1023947|1012248|321341|31.38|L-1|178|256|2210458054|104743082|649620|21.1|161.2|OLDRSAM|2210444787|210933531564|4080000|103106|99305463808|22061950|2182548|0|1094|49|482144|491|1906941816|-2136173534|1|50|100000|0|71959.23|8086.96|80046.19|71411.14|7564.84|78975.98|68577.86|7043.51|75621.37|66113.19|7164.38|73277.57|58481.34|6672.84|65154.18|8129.76|743.53|8873.29|5839.63|584.10|6423.73|9750.60|322.15|10072.75|8672.22|285.88|8958.10|7760.92|247.51|8008.43|6765.78|221.47|6987.25|6031.12|199.58|6230.70|5441.81|182.47|5624.28|5177.44|169.55|5346.99|5126.98|161.34|5288.32|4770.64|158.50|4929.14|4689.23|149.75|4838.98|4615.59|147.63|4763.22|4455.90|142.35|4598.25|4488.10|142.71|4630.81|4466.22|146.12|4612.34|4480.75|142.42|4623.17|4472.79|138.38|4611.17|4474.53|136.62|4611.15|4756.43|138.43|4894.86|4756.94|140.14|4897.08|4694.01|137.84|4831.85|4913.57|139.23|5052.80|4788.77|138.24|4927.01|5200.35|134.64|5334.99|5162.73|130.81|5293.54|5195.98|129.31|5325.29|5506.27|131.82|5638.09|5666.38|132.43|5798.81|6035.70|130.15|6165.85|6382.60|137.60|6520.20|6257.13|133.82|6390.95|6656.24|134.29|6790.53|7599.01|133.46|7732.47|11071.77|129.01|11200.78|2|139921142|1981334882|7492998275|98.13|101851883|2071349212|912812816|88.84|550|264008|0|2185|0|43623122|0.007|598011|216Mb|0|216Mb|100000|4|773437|4409492|42718349736|100.00|3647123|7294216|157324422|97.68|138421|134385|0|1988|0|216985|0.011|3430138|12338Mb|0|12338Mb|3000000|8|5765597|88722368|121202945260|100.00|16955237|67819640|372176685|95.44|386577|107860|0|2140|0|10761878|0.009|6193359|32022Mb|0|32022Mb|4000000|16|4333810|468216616|44760996520|99.99|13406490|107251920|1179139317|98.86|1100800|13652978|0|2106|0|0|0|13406490|31636Mb|0|31636Mb|2000000|
08/11/18|00:07:28|150796940|2542961097|216254072647|99.93|135889472|2254032742|2622661615|96.96|315036831506|5381176277|6872610159|47813091650|849962373|129806388|120090406|145094800|3268467|0|0|0|0|0|0|0|0|0|0|541105.09|43330.19|2142|9468|14160473|5229636|594592470336|41|0|8969|27740631|6616841547|4261484|85548067|2966014|2|43881013|987|1444|P-2|0|256|127136950|495670|256.50|2:53|1023947|75272|408262|39.87|L-3|22|256|2211817993|104802894|649915|21.1|161.3|OLDRSAM|2211804726|211053971860|4080000|168345|99305463808|22063764|2180734|1|1097|63|482189|491|1907509493|-2135594596|1|71|100000|0|71978.42|8088.65|80067.07|71430.24|7567.14|78997.38|68599.62|7045.34|75644.96|66125.62|7165.38|73291.00|58509.17|6675.44|65184.61|8135.11|743.87|8878.98|5843.02|584.33|6427.35|9754.36|322.26|10076.62|8675.54|285.98|8961.52|7763.48|247.58|8011.06|6769.25|221.54|6990.79|6033.36|199.64|6233.00|5444.05|182.52|5626.57|5179.26|169.60|5348.86|5129.11|161.38|5290.49|4772.45|158.56|4931.01|4691.41|149.83|4841.24|4617.51|147.69|4765.20|4458.26|142.42|4600.68|4491.28|142.77|4634.05|4469.69|146.19|4615.88|4482.65|142.47|4625.12|4475.75|138.43|4614.18|4477.02|136.67|4613.69|4758.77|138.48|4897.25|4759.73|140.20|4899.93|4695.94|137.90|4833.84|4916.60|139.28|5055.88|4791.81|138.30|4930.11|5203.54|134.71|5338.25|5165.51|130.87|5296.38|5198.50|129.36|5327.86|5510.60|131.87|5642.47|5668.60|132.48|5801.08|6038.38|130.22|6168.60|6385.22|137.64|6522.86|6260.37|133.88|6394.25|6660.58|134.35|6794.93|7603.13|133.53|7736.66|11076.82|129.06|11205.88|2|139923020|1981394233|7493097962|98.13|101854363|2071555598|912813292|88.84|1026|264008|0|2185|0|43623122|0.007|598011|216Mb|0|216Mb|100000|4|773437|4409492|42759038960|100.00|3647509|7294988|157418965|97.68|232964|134386|0|1988|0|217371|0.011|3430138|12338Mb|0|12338Mb|3000000|8|5765679|88722700|121231222498|100.00|16981110|67930236|372470379|95.44|680271|107895|0|2140|0|10787719|0.009|6193359|32022Mb|0|32022Mb|4000000|16|4334804|468434672|44770713227|99.99|13406490|107251920|1179958979|98.86|1920462|13654184|0|2106|0|0|0|13406490|31636Mb|0|31636Mb|2000000|
08/11/18|00:08:23|150798578|2543308274|216330409749|99.93|135915140|2254232074|2623721898|96.96|315175827146|5383600581|6878706007|47830090152|850119397|129916686|120146987|145142092|3268470|0|0|0|0|0|0|0|0|0|0|541291.03|43341.31|2142|9468|14161606|5249952|594820905991|41|0|8969|27743726|6622720093|4261484|85548067|2966014|2|43881013|987|1021|P-2|100|256|127192682|495885|256.50|2:53|1023947|132311|465401|45.45|L-2|254|256|2213002991|104853999|650166|21.1|161.3|OLDRSAM|2212989724|211157804140|4080000|215000|99305463808|22068440|2176058|0|1093|49|482209|491|1908053029|-2135049869|1|87|100000|0|71994.91|8090.14|80085.05|71449.41|7569.74|79019.15|68618.28|7046.97|75665.25|66133.98|7166.07|73300.05|58533.22|6677.78|65211.00|8139.29|744.13|8883.42|5845.33|584.50|6429.83|9757.83|322.38|10080.21|8678.56|286.05|8964.61|7765.70|247.64|8013.34|6771.34|221.60|6992.94|6035.78|199.69|6235.47|5445.95|182.58|5628.53|5181.33|169.65|5350.98|5130.68|161.42|5292.10|4775.01|158.60|4933.61|4693.11|149.90|4843.01|4619.52|147.75|4767.27|4460.17|142.46|4602.63|4494.04|142.81|4636.85|4471.64|146.24|4617.88|4484.74|142.55|4627.29|4478.97|138.49|4617.46|4480.09|136.72|4616.81|4760.72|138.53|4899.25|4761.59|140.25|4901.84|4698.63|137.95|4836.58|4918.77|139.31|5058.08|4795.09|138.37|4933.46|5205.68|134.77|5340.45|5167.56|130.92|5298.48|5201.93|129.42|5331.35|5514.67|131.92|5646.59|5670.88|132.54|5803.42|6042.02|130.27|6172.29|6390.02|137.70|6527.72|6264.81|133.94|6398.75|6664.09|134.41|6798.50|7606.49|133.60|7740.09|11083.20|129.12|11212.32|2|139923046|1981394258|7493135670|98.13|101854829|2071660974|912813636|88.84|1370|264008|0|2185|0|43623122|0.007|598011|216Mb|0|216Mb|100000|4|773437|4409492|42799798193|100.00|3647895|7295760|157512209|97.68|326208|134387|0|1988|0|217757|0.011|3430138|12338Mb|0|12338Mb|3000000|8|5765690|88722740|121258836849|100.00|17005926|68023420|372722082|95.44|931974|107921|0|2140|0|10812567|0.009|6193359|32022Mb|0|32022Mb|4000000|16|4336405|468781784|44778639037|99.99|13406490|107251920|1180673971|98.86|2635454|13655290|0|2106|0|0|0|13406490|31636Mb|0|31636Mb|2000000|
08/11/18|00:09:18|150799776|2543554680|216406954878|99.93|135929800|2254371497|2624296730|96.96|315294737295|5386060244|6880308349|47842135805|850183223|129952589|120193879|145187862|3268473|0|0|0|0|0|0|0|0|0|0|541425.54|43349.73|2142|9468|14161825|5250966|595055860249|41|0|8969|27745472|6624262734|4261484|85548067|2966014|2|43881013|985|1021|P-2|132|256|127245515|496089|256.50|2:53|1023947|183070|516192|50.41|L-1|138|256|2213718632|104887246|650338|21.1|161.3|OLDRSAM|2213705365|211225020616|4080000|247952|99305463808|22081184|2163314|0|1089|49|482227|491|1908607532|-2134493914|1|89|100000|0|72007.29|8091.32|80098.61|71462.75|7571.95|79034.70|68631.40|7048.28|75679.68|66139.82|7166.63|73306.45|58555.66|6680.03|65235.69|8140.68|744.25|8884.93|5845.91|584.54|6430.45|9760.75|322.40|10083.15|8679.68|286.07|8965.75|7767.31|247.66|8014.97|6773.36|221.62|6994.98|6037.01|199.71|6236.72|5447.12|182.60|5629.72|5183.16|169.67|5352.83|5132.61|161.44|5294.05|4777.63|158.62|4936.25|4694.15|149.92|4844.07|4621.77|147.78|4769.55|4461.30|142.49|4603.79|4496.43|142.84|4639.27|4472.91|146.26|4619.17|4486.50|142.57|4629.07|4480.99|138.52|4619.51|4481.09|136.73|4617.82|4761.54|138.54|4900.08|4763.04|140.27|4903.31|4700.53|137.97|4838.50|4921.11|139.32|5060.43|4796.91|138.39|4935.30|5207.32|134.80|5342.12|5169.53|130.95|5300.48|5204.15|129.45|5333.60|5517.96|131.94|5649.90|5673.34|132.57|5805.91|6044.57|130.29|6174.86|6393.32|137.72|6531.04|6267.85|133.97|6401.82|6665.91|134.44|6800.35|7608.10|133.62|7741.72|11087.05|129.14|11216.19|2|139923048|1981394260|7493166603|98.13|101855205|2071747123|912814125|88.84|1859|264008|0|2185|0|43623122|0.007|598011|216Mb|0|216Mb|100000|4|773437|4409492|42843399954|100.00|3650019|7300394|157558618|97.68|372617|134389|0|1988|0|219881|0.011|3430138|12338Mb|0|12338Mb|3000000|8|5765691|88722744|121286272181|100.00|17018086|68072060|372838204|95.44|1048096|107930|0|2140|0|10824727|0.009|6193359|32022Mb|0|32022Mb|4000000|16|4337600|469028184|44784116140|99.99|13406490|107251920|1181085783|98.86|3047266|13655498|0|2106|0|0|0|13406490|31636Mb|0|31636Mb|2000000|
