date|time|dskreads|pagreads|bufreads|rcached|dskwrits|pagwrits|bufwrits|wcached|isamtot|open|start|read|write|rewrite|delete|commit|rollbk|gp_read|gp_write|gp_rewrt|gp_del|gp_alloc|gp_free|gp_curs|ovlock|ovuserthread|ovbuff|usercpu|syscpu|numckpts|flushes|bufwaits|lokwaits|lockreqs|deadlks|dltouts|ckpwaits|compress|seqscans|ixdaRA|idxRA|daRA|RApgsused|lchwaits|sessions|activelocks|pbuffer|pbufused|pbufsize|pnumpages|pnumwrits|ppagesio|pphybegin|pphysize|pphypos|pphyused|pphypcnt|lbuffer|lbufused|lbufsize|lnumrecs|lnumpages|lnumwrits|lrecspages|lpagesio|lsubsystem|lsnumrecs|lsspaceused|lltotalsize|lltotalused|shmtotal|blkused|blkfree|threadrea|threadwai|threadsle|netaccept|netreject|netread|netwrite|sdeclient|buffdirty|bufftotal|ckptreq|user1|sys1|total1|user2|sys2|total2|user3|sys3|total3|user4|sys4|total4|user5|sys5|total5|user6|sys6|total6|user7|sys7|total7|user8|sys8|total8|user9|sys9|total9|user10|sys10|total10|user11|sys11|total11|user12|sys12|total12|user13|sys13|total13|user14|sys14|total14|user15|sys15|total15|user16|sys16|total16|user17|sys17|total17|user18|sys18|total18|user19|sys19|total19|user20|sys20|total20|user21|sys21|total21|user22|sys22|total22|user23|sys23|total23|user24|sys24|total24|user25|sys25|total25|user26|sys26|total26|user27|sys27|total27|user28|sys28|total28|user29|sys29|total29|user30|sys30|total30|user31|sys31|total31|user32|sys32|total32|user33|sys33|total33|user34|sys34|total34|user35|sys35|total35|user36|sys36|total36|user37|sys37|total37|user38|sys38|total38|user39|sys39|total39|user40|sys40|total40|pagesize2|dskreads2|pagereads2|buffreads2|rcachepc2|dskwrits2|pagwrits2|bufwrits2|wcachepc2|bufwrits_sinceckpt2|bufwaits2|ovbuff2|flushes2|fgwrits2|lruwrites2|avlru2|chunkwrites2|totalmemory2|id2|size2|buffers2|pagesize4|dskreads4|pagereads4|buffreads4|rcachepc4|dskwrits4|pagwrits4|bufwrits4|wcachepc4|bufwrits_sinceckpt4|bufwaits4|ovbuff4|flushes4|fgwrits4|lruwrites4|avlru4|chunkwrites4|totalmemory4|id4|size4|buffers4|pagesize8|dskreads8|pagereads8|buffreads8|rcachepc8|dskwrits8|pagwrits8|bufwrits8|wcachepc8|bufwrits_sinceckpt8|bufwaits8|ovbuff8|flushes8|fgwrits8|lruwrites8|avlru8|chunkwrites8|totalmemory8|id8|size8|buffers8|pagesize16|dskreads16|pagereads16|buffreads16|rcachepc16|dskwrits16|pagwrits16|bufwrits16|wcachepc16|bufwrits_sinceckpt16|bufwaits16|ovbuff16|flushes16|fgwrits16|lruwrites16|avlru16|chunkwrites16|totalmemory16|id16|size16|buffers16|
12/11/18|00:01:01|178533720|3321767536|375627772104|99.95|189157890|2863508089|4450942309|97.13|628152431633|10715250098|11641872296|101531978557|1145862594|232223312|218645580|252113140|6479232|0|0|0|0|0|0|0|0|0|0|974690.54|70762.28|4827|21016|18157793|10380751|971608757027|54|0|27892|39706407|11126632188|4729782|93169938|6783244|2|47120072|1187|1226|P-1|50|256|306218899|1191944|256.91|2:53|1023947|964516|30638|2.99|L-1|108|256|4336751774|202751848|1411029|21.4|143.7|OLDRSAM|4336734258|408224243536|4080000|21841|99305463808|22255633|1988865|0|1291|49|845282|497|-978342437|-716473451|1|67|100000|0|121965.68|13681.63|135647.31|120592.85|11675.40|132268.25|116974.91|12233.32|129208.23|113299.29|12167.75|125467.04|98879.19|10512.02|109391.21|14254.87|1230.96|15485.83|10429.46|990.34|11419.80|19604.54|498.47|20103.01|17193.32|432.83|17626.15|15672.07|377.30|16049.37|13540.37|333.66|13874.03|11987.57|299.91|12287.48|10931.94|273.95|11205.89|10144.96|257.80|10402.76|9850.91|243.48|10094.39|9481.42|237.03|9718.45|9334.19|229.09|9563.28|9022.12|223.63|9245.75|8782.88|216.48|8999.36|8727.98|217.39|8945.37|8873.54|221.46|9095.00|8932.92|215.27|9148.19|8858.81|211.32|9070.13|8860.32|207.24|9067.56|9291.50|208.86|9500.36|9397.32|210.66|9607.98|9401.76|204.44|9606.20|9996.24|204.07|10200.31|9640.49|202.06|9842.55|10203.62|196.77|10400.39|10330.36|193.91|10524.27|10572.68|192.01|10764.69|11229.02|195.90|11424.92|11758.69|197.11|11955.80|11977.65|193.21|12170.86|12775.54|200.81|12976.35|12759.40|200.42|12959.82|13654.79|199.33|13854.12|15465.48|201.28|15666.76|19861.75|193.49|20055.24|2|148937695|2217658316|7892422902|98.11|110262779|2436042877|968862771|88.62|908|672541|0|4869|0|44798157|0.007|920783|216Mb|0|216Mb|100000|4|2161303|19760840|52525180704|100.00|8684902|17369232|275619242|96.85|4079|414689|0|4473|0|580144|0.012|8104758|12338Mb|0|12338Mb|3000000|8|17349401|312008524|229298325927|99.99|37895524|151578500|829349043|95.43|88157|195614|0|4862|0|23903177|0.008|13992347|32022Mb|0|32022Mb|4000000|16|10085321|772339856|85911842571|99.99|32314685|258517480|2377111253|98.64|247982|16874949|0|4829|0|0|0|32314685|31636Mb|0|31636Mb|2000000|
12/11/18|00:01:57|178533762|3321774923|375638011902|99.95|189166264|2863585825|4451133246|97.13|628164355397|10715361000|11642189575|101533331791|1145892025|232226658|218660301|252117791|6479237|0|0|0|0|0|0|0|0|0|0|974719.71|70766.48|4828|21020|18157879|10381484|971637967368|54|0|27894|39707264|11126921104|4729782|93169938|6783244|2|47120072|1188|1230|P-2|10|256|306245003|1192048|256.91|2:53|1023947|990878|24201|2.36|L-3|243|256|4336973990|202762045|1411079|21.4|143.7|OLDRSAM|4336956473|408245099464|4080000|32038|99305463808|22254888|1989610|0|1296|49|845373|497|-978126685|-716256595|1|35|100000|0|121970.74|13682.31|135653.05|120598.96|11675.90|132274.86|116983.98|12235.10|129219.08|113302.34|12168.19|125470.53|98882.04|10512.48|109394.52|14254.94|1230.99|15485.93|10429.51|990.36|11419.87|19604.82|498.48|20103.30|17193.41|432.84|17626.25|15672.24|377.31|16049.55|13540.42|333.67|13874.09|11988.04|299.92|12287.96|10931.96|273.96|11205.92|10145.03|257.81|10402.84|9850.93|243.49|10094.42|9481.44|237.05|9718.49|9334.21|229.09|9563.30|9022.13|223.65|9245.78|8782.89|216.49|8999.38|8728.01|217.41|8945.42|8873.57|221.48|9095.05|8932.94|215.28|9148.22|8858.83|211.33|9070.16|8860.47|207.25|9067.72|9291.53|208.87|9500.40|9397.35|210.67|9608.02|9402.24|204.46|9606.70|9996.27|204.08|10200.35|9640.78|202.07|9842.85|10203.65|196.78|10400.43|10330.75|193.92|10524.67|10572.73|192.02|10764.75|11229.24|195.91|11425.15|11758.85|197.12|11955.97|11977.67|193.22|12170.89|12775.57|200.82|12976.39|12759.43|200.43|12959.86|13654.81|199.34|13854.15|15465.63|201.29|15666.92|19861.76|193.50|20055.26|2|148937698|2217658319|7892439030|98.11|110263180|2436079425|968862949|88.62|79|672541|0|4870|0|44798157|0.007|920870|216Mb|0|216Mb|100000|4|2161303|19760840|52526859303|100.00|8685826|17371080|275621525|96.85|1090|414689|0|4474|0|580144|0.012|8105682|12338Mb|0|12338Mb|3000000|8|17349401|312008524|229305358778|99.99|37899787|151595552|829399464|95.43|21790|195617|0|4863|0|23903177|0.008|13996610|32022Mb|0|32022Mb|4000000|16|10085360|772347240|85913354791|99.99|32317471|258539768|2377249308|98.64|62767|16875032|0|4830|0|0|0|32317471|31636Mb|0|31636Mb|2000000|
12/11/18|00:02:54|178533784|3321778588|375647813665|99.95|189166338|2863603056|4451319541|97.13|628175846962|10715474397|11642501956|101534665647|1145921387|232230327|218674472|252122850|6479241|0|0|0|0|0|0|0|0|0|0|974749.99|70770.64|4828|21020|18157979|10382440|971666131795|54|0|27894|39708168|11127205791|4729782|93169938|6783244|2|47120072|1189|1226|P-1|188|256|306251724|1192074|256.91|2:53|1023947|997341|30842|3.01|L-3|34|256|4337195326|202772555|1411127|21.4|143.7|OLDRSAM|4337177809|408265879276|4080000|42548|99305463808|22255744|1988754|0|1291|49|845476|497|-977910138|-716038950|1|47|100000|0|121975.13|13682.99|135658.12|120606.08|11676.38|132282.46|116993.43|12236.99|129230.42|113304.96|12168.61|125473.57|98885.70|10513.02|109398.72|14255.02|1231.00|15486.02|10429.55|990.36|11419.91|19605.02|498.48|20103.50|17193.64|432.84|17626.48|15672.49|377.31|16049.80|13540.43|333.68|13874.11|11988.05|299.93|12287.98|10931.98|273.96|11205.94|10145.04|257.82|10402.86|9850.94|243.50|10094.44|9481.45|237.05|9718.50|9334.22|229.10|9563.32|9022.14|223.65|9245.79|8782.90|216.49|8999.39|8728.05|217.42|8945.47|8873.58|221.48|9095.06|8932.94|215.29|9148.23|8858.85|211.33|9070.18|8860.48|207.26|9067.74|9291.55|208.88|9500.43|9397.44|210.68|9608.12|9402.65|204.46|9607.11|9996.31|204.08|10200.39|9640.79|202.07|9842.86|10203.67|196.78|10400.45|10330.76|193.92|10524.68|10572.75|192.02|10764.77|11229.26|195.91|11425.17|11759.15|197.12|11956.27|11977.68|193.22|12170.90|12775.94|200.82|12976.76|12759.44|200.43|12959.87|13654.88|199.35|13854.23|15465.86|201.29|15667.15|19861.84|193.50|20055.34|2|148937699|2217658320|7892454876|98.11|110263254|2436096656|968863295|88.62|425|672541|0|4870|0|44798157|0.007|920870|216Mb|0|216Mb|100000|4|2161303|19760840|52528544813|100.00|8685826|17371080|275623585|96.85|3150|414689|0|4474|0|580144|0.012|8105682|12338Mb|0|12338Mb|3000000|8|17349401|312008524|229312623057|99.99|37899787|151595552|829447680|95.43|70006|195622|0|4863|0|23903177|0.008|13996610|32022Mb|0|32022Mb|4000000|16|10085381|772352672|85914873850|99.99|32317471|258539768|2377385085|98.64|198544|16875127|0|4830|0|0|0|32317471|31636Mb|0|31636Mb|2000000|
12/11/18|00:03:50|178533819|3321784188|375657194749|99.95|189166345|2863605114|4451335882|97.13|628185494587|10715590476|11642574117|101535570601|1145922850|232230961|218677513|252123718|6479247|0|0|0|0|0|0|0|0|0|0|974771.65|70773.53|4828|21020|18157985|10382452|971693866750|54|0|27894|39708221|11127267521|4729782|93169938|6783244|2|47120072|1188|1227|P-2|206|256|306253014|1192079|256.91|2:53|1023947|998631|32150|3.14|L-3|220|256|4337214410|202773323|1411130|21.4|143.7|OLDRSAM|4337196893|408267819004|4080000|43316|99305463808|22254047|1990451|0|1292|49|845648|497|-977786127|-715914670|1|47|100000|0|121977.71|13683.26|135660.97|120610.76|11676.65|132287.41|117001.38|12238.48|129239.86|113306.94|12168.89|125475.83|98887.13|10513.28|109400.41|14255.03|1231.00|15486.03|10429.55|990.37|11419.92|19605.14|498.49|20103.63|17193.65|432.85|17626.50|15672.54|377.32|16049.86|13540.47|333.68|13874.15|11988.07|299.93|12288.00|10932.20|273.97|11206.17|10145.08|257.82|10402.90|9850.95|243.50|10094.45|9481.46|237.06|9718.52|9334.23|229.10|9563.33|9022.15|223.66|9245.81|8783.02|216.49|8999.51|8728.46|217.42|8945.88|8873.76|221.49|9095.25|8932.96|215.29|9148.25|8858.86|211.33|9070.19|8860.62|207.26|9067.88|9291.56|208.89|9500.45|9397.45|210.69|9608.14|9402.66|204.47|9607.13|9996.49|204.09|10200.58|9640.80|202.08|9842.88|10204.15|196.79|10400.94|10330.78|193.93|10524.71|10572.75|192.03|10764.78|11229.29|195.92|11425.21|11759.15|197.13|11956.28|11977.89|193.23|12171.12|12775.95|200.83|12976.78|12759.45|200.43|12959.88|13654.90|199.35|13854.25|15465.88|201.29|15667.17|19861.85|193.51|20055.36|2|148937699|2217658320|7892464551|98.11|110263262|2436098714|968863429|88.62|559|672541|0|4870|0|44798157|0.007|920870|216Mb|0|216Mb|100000|4|2161303|19760840|52530172636|100.00|8685826|17371080|275623760|96.85|3325|414689|0|4474|0|580144|0.012|8105682|12338Mb|0|12338Mb|3000000|8|17349401|312008524|229319213416|99.99|37899787|151595552|829453257|95.43|75583|195622|0|4863|0|23903177|0.008|13996610|32022Mb|0|32022Mb|4000000|16|10085416|772356504|85915767102|99.99|32317471|258539768|2377395595|98.64|209054|16875133|0|4830|0|0|0|32317471|31636Mb|0|31636Mb|2000000|
12/11/18|00:04:46|178533826|3321785956|375666701074|99.95|189166368|2863609905|4451381466|97.13|628195584100|10715687993|11642698783|101536611716|1145930957|232232556|218679765|252125739|6479252|0|0|0|0|0|0|0|0|0|0|974795.62|70776.60|4828|21020|18158009|10382764|971721908758|54|0|27894|39708399|11127377698|4729782|93169938|6783244|2|47120072|1188|1225|P-2|68|256|306254560|1192085|256.91|2:53|1023947|1000177|33558|3.28|L-2|173|256|4337270934|202776312|1411146|21.4|143.7|OLDRSAM|4337253417|408273417116|4080000|46561|99305463808|22257271|1987227|0|1294|49|845726|497|-977636668|-715764769|1|47|100000|0|121981.63|13683.75|135665.38|120615.87|11676.98|132292.85|117009.50|12240.12|129249.62|113309.24|12169.17|125478.41|98889.51|10513.59|109403.10|14255.04|1231.00|15486.04|10429.57|990.38|11419.95|19605.86|498.50|20104.36|17193.90|432.85|17626.75|15672.54|377.32|16049.86|13540.48|333.68|13874.16|11988.08|299.94|12288.02|10932.21|273.97|11206.18|10145.12|257.83|10402.95|9850.96|243.50|10094.46|9481.69|237.06|9718.75|9334.60|229.10|9563.70|9022.15|223.66|9245.81|8783.12|216.49|8999.61|8728.47|217.42|8945.89|8873.77|221.49|9095.26|8932.96|215.29|9148.25|8859.02|211.34|9070.36|8860.77|207.26|9068.03|9291.57|208.89|9500.46|9397.46|210.69|9608.15|9402.67|204.48|9607.15|9996.68|204.09|10200.77|9640.80|202.08|9842.88|10204.16|196.79|10400.95|10330.79|193.93|10524.72|10572.76|192.03|10764.79|11229.30|195.92|11425.22|11759.18|197.13|11956.31|11977.90|193.23|12171.13|12775.96|200.83|12976.79|12759.46|200.44|12959.90|13654.90|199.36|13854.26|15466.08|201.29|15667.37|19862.02|193.51|20055.53|2|148937699|2217658320|7892475987|98.11|110263284|2436103505|968863562|88.62|692|672541|0|4870|0|44798157|0.007|920870|216Mb|0|216Mb|100000|4|2161303|19760840|52531775531|100.00|8685826|17371080|275624441|96.85|4006|414689|0|4474|0|580144|0.012|8105682|12338Mb|0|12338Mb|3000000|8|17349401|312008524|229325728076|99.99|37899787|151595552|829465386|95.43|87712|195625|0|4863|0|23903177|0.008|13996610|32022Mb|0|32022Mb|4000000|16|10085423|772358272|85916721480|99.99|32317471|258539768|2377428077|98.64|241536|16875154|0|4830|0|0|0|32317471|31636Mb|0|31636Mb|2000000|
12/11/18|00:05:43|178533848|3321790166|375677485180|99.95|189166457|2863629460|4451691770|97.13|628209685710|10715822061|11643278368|101538304690|1145988552|232238927|218689850|252134569|6479257|0|0|0|0|0|0|0|0|0|0|974832.10|70781.82|4828|21020|18158196|10384442|971751518892|54|0|27894|39709936|11127914611|4729782|93169938|6783244|2|47120072|1187|1226|P-2|186|256|306256628|1192093|256.91|2:53|1023947|1002245|35744|3.49|L-1|115|256|4337649636|202794055|1411227|21.4|143.7|OLDRSAM|4337632119|408309294140|4080000|64048|99305463808|22257940|1986558|0|1295|49|845812|497|-977331838|-715457892|1|47|100000|0|121988.15|13684.71|135672.86|120623.46|11677.61|132301.07|117020.18|12242.05|129262.23|113313.80|12169.94|125483.74|98894.32|10514.33|109408.65|14255.12|1231.01|15486.13|10429.68|990.40|11420.08|19605.87|498.50|20104.37|17193.96|432.85|17626.81|15672.72|377.32|16050.04|13540.54|333.69|13874.23|11988.09|299.94|12288.03|10932.22|273.97|11206.19|10145.23|257.83|10403.06|9851.06|243.51|10094.57|9481.70|237.06|9718.76|9334.61|229.11|9563.72|9022.16|223.66|9245.82|8783.13|216.50|8999.63|8728.48|217.43|8945.91|8873.78|221.50|9095.28|8933.06|215.29|9148.35|8859.03|211.34|9070.37|8860.77|207.26|9068.03|9291.72|208.90|9500.62|9397.47|210.69|9608.16|9402.69|204.48|9607.17|9996.69|204.10|10200.79|9640.99|202.09|9843.08|10204.28|196.79|10401.07|10330.83|193.94|10524.77|10572.95|192.03|10764.98|11229.31|195.92|11425.23|11759.19|197.13|11956.32|11977.92|193.23|12171.15|12775.97|200.83|12976.80|12759.59|200.44|12960.03|13655.11|199.36|13854.47|15466.41|201.29|15667.70|19862.14|193.51|20055.65|2|148937701|2217658322|7892492475|98.11|110263373|2436123060|968863741|88.62|871|672541|0|4870|0|44798157|0.007|920870|216Mb|0|216Mb|100000|4|2161303|19760840|52533391872|100.00|8685826|17371080|275626985|96.85|6550|414689|0|4474|0|580144|0.012|8105682|12338Mb|0|12338Mb|3000000|8|17349401|312008524|229332901215|99.99|37899787|151595552|829540886|95.43|163212|195634|0|4863|0|23903177|0.008|13996610|32022Mb|0|32022Mb|4000000|16|10085443|772362480|85918699618|99.99|32317471|258539768|2377660158|98.64|473617|16875332|0|4830|0|0|0|32317471|31636Mb|0|31636Mb|2000000|
12/11/18|00:06:39|178533901|3321798642|375687419971|99.95|189176948|2863698776|4451869829|97.13|628221254471|10715934695|11643576083|101539626613|1146015279|232242593|218705142|252139327|6479262|0|0|0|0|0|0|0|0|0|0|974861.57|70786.03|4829|21024|18158272|10385106|971779819920|54|0|27894|39710666|11128186279|4729782|93169938|6783244|2|47120072|1187|1225|P-2|238|256|306263930|1192122|256.91|2:53|1023947|1010321|5794|0.57|L-1|43|256|4337860740|202803784|1411274|21.4|143.7|OLDRSAM|4337843222|408329322684|4080000|74033|99305463808|22259756|1984742|0|1293|49|845913|497|-977112276|-715237303|1|18|100000|0|121992.71|13685.40|135678.11|120629.33|11678.10|132307.43|117030.39|12243.89|129274.28|113316.77|12170.38|125487.15|98897.50|10514.82|109412.32|14255.25|1231.03|15486.28|10429.82|990.42|11420.24|19606.25|498.51|20104.76|17194.02|432.86|17626.88|15672.74|377.33|16050.07|13540.55|333.69|13874.24|11988.10|299.95|12288.05|10932.25|273.98|11206.23|10145.26|257.84|10403.10|9851.19|243.52|10094.71|9481.71|237.07|9718.78|9334.66|229.11|9563.77|9022.16|223.67|9245.83|8783.35|216.51|8999.86|8728.50|217.44|8945.94|8873.80|221.50|9095.30|8933.16|215.30|9148.46|8859.08|211.35|9070.43|8860.88|207.28|9068.16|9291.75|208.91|9500.66|9397.52|210.70|9608.22|9402.71|204.49|9607.20|9996.77|204.12|10200.89|9641.01|202.09|9843.10|10204.31|196.80|10401.11|10330.85|193.94|10524.79|10572.96|192.03|10764.99|11229.36|195.93|11425.29|11759.20|197.14|11956.34|11977.94|193.24|12171.18|12776.36|200.84|12977.20|12759.61|200.44|12960.05|13655.18|199.36|13854.54|15466.50|201.30|15667.80|19862.50|193.52|20056.02|2|148937705|2217658326|7892508666|98.11|110263666|2436141338|968863949|88.62|64|672541|0|4871|0|44798157|0.007|920927|216Mb|0|216Mb|100000|4|2161303|19760840|52535072675|100.00|8687052|17373532|275629174|96.85|625|414689|0|4475|0|580144|0.012|8106908|12338Mb|0|12338Mb|3000000|8|17349401|312008524|229339994131|99.99|37905327|151617712|829589513|95.43|3137|195639|0|4864|0|23903177|0.008|14002150|32022Mb|0|32022Mb|4000000|16|10085492|772370952|85920194358|99.99|32320903|258567224|2377789695|98.64|3773|16875403|0|4831|0|0|0|32320903|31636Mb|0|31636Mb|2000000|
12/11/18|00:07:35|178533933|3321803498|375696839654|99.95|189176970|2863703184|4451894836|97.13|628230751432|10716017092|11643626556|101540572271|1146016154|232242997|218712068|252139996|6479268|0|0|0|0|0|0|0|0|0|0|974883.16|70788.71|4829|21024|18158275|10385112|971807840589|54|0|27894|39710713|11128225653|4729782|93169938|6783244|2|47120072|1188|1229|P-1|202|256|306267029|1192134|256.91|2:53|1023947|1012646|8083|0.79|L-1|140|256|4337884985|202805093|1411284|21.4|143.7|OLDRSAM|4337867467|408331707112|4080000|75086|99305463808|22258381|1986117|0|1295|49|845982|497|-976991627|-715116548|1|43|100000|0|121995.68|13685.71|135681.39|120634.18|11678.34|132312.52|117038.35|12245.50|129283.85|113318.93|12170.59|125489.52|98899.04|10515.04|109414.08|14255.29|1231.04|15486.33|10429.85|990.42|11420.27|19606.33|498.51|20104.84|17194.02|432.86|17626.88|15672.74|377.34|16050.08|13540.56|333.70|13874.26|11988.11|299.95|12288.06|10932.26|273.98|11206.24|10145.47|257.84|10403.31|9851.19|243.52|10094.71|9481.72|237.08|9718.80|9334.66|229.11|9563.77|9022.18|223.67|9245.85|8783.35|216.51|8999.86|8728.50|217.44|8945.94|8873.81|221.50|9095.31|8933.22|215.31|9148.53|8859.26|211.35|9070.61|8860.88|207.28|9068.16|9291.76|208.92|9500.68|9397.52|210.70|9608.22|9402.71|204.49|9607.20|9996.78|204.12|10200.90|9641.02|202.09|9843.11|10204.32|196.80|10401.12|10330.86|193.94|10524.80|10573.20|192.03|10765.23|11229.37|195.93|11425.30|11759.21|197.14|11956.35|11977.95|193.24|12171.19|12776.36|200.84|12977.20|12759.61|200.44|12960.05|13655.74|199.37|13855.11|15466.57|201.30|15667.87|19862.51|193.52|20056.03|2|148937705|2217658326|7892520992|98.11|110263688|2436144716|968864065|88.62|180|672541|0|4871|0|44798157|0.007|920927|216Mb|0|216Mb|100000|4|2161303|19760840|52536680341|100.00|8687052|17373532|275629180|96.85|631|414689|0|4475|0|580144|0.012|8106908|12338Mb|0|12338Mb|3000000|8|17349401|312008524|229346918597|99.99|37905327|151617712|829597528|95.43|11152|195639|0|4864|0|23903177|0.008|14002150|32022Mb|0|32022Mb|4000000|16|10085524|772375808|85921132491|99.99|32320903|258567224|2377804199|98.64|18277|16875406|0|4831|0|0|0|32320903|31636Mb|0|31636Mb|2000000|
12/11/18|00:08:32|178533939|3321806034|375706219877|99.95|189176979|2863705756|4451909210|97.13|628240372823|10716093104|11643697942|101541532408|1146018548|232243947|218713349|252141109|6479273|0|0|0|0|0|0|0|0|0|0|974905.15|70791.39|4829|21024|18158276|10385123|971835699497|54|0|27894|39710767|11128286933|4729782|93169938|6783244|2|47120072|1188|1227|P-2|182|256|306268321|1192139|256.91|2:53|1023947|1013938|9355|0.91|L-3|15|256|4337903791|202806117|1411288|21.4|143.7|OLDRSAM|4337886273|408333939644|4080000|76366|99305463808|22256317|1988181|0|1292|49|846059|497|-976864485|-714989161|1|43|100000|0|121998.49|13686.02|135684.51|120638.66|11678.59|132317.25|117047.21|12246.94|129294.15|113320.91|12170.81|125491.72|98901.07|10515.27|109416.34|14255.59|1231.04|15486.63|10429.86|990.42|11420.28|19606.43|498.52|20104.95|17194.20|432.87|17627.07|15672.75|377.34|16050.09|13540.56|333.70|13874.26|11988.12|299.95|12288.07|10932.26|273.99|11206.25|10145.48|257.84|10403.32|9851.19|243.52|10094.71|9481.72|237.08|9718.80|9334.67|229.12|9563.79|9022.18|223.67|9245.85|8783.35|216.51|8999.86|8728.50|217.44|8945.94|8873.82|221.51|9095.33|8933.22|215.31|9148.53|8859.26|211.35|9070.61|8860.89|207.28|9068.17|9291.77|208.92|9500.69|9397.53|210.70|9608.23|9402.78|204.49|9607.27|9996.78|204.13|10200.91|9641.03|202.09|9843.12|10204.32|196.80|10401.12|10330.86|193.95|10524.81|10573.21|192.03|10765.24|11229.38|195.93|11425.31|11759.21|197.14|11956.35|11978.12|193.24|12171.36|12776.37|200.85|12977.22|12759.62|200.45|12960.07|13655.80|199.37|13855.17|15466.85|201.31|15668.16|19862.51|193.52|20056.03|2|148937705|2217658326|7892529667|98.11|110263697|2436147288|968864297|88.62|412|672541|0|4871|0|44798157|0.007|920927|216Mb|0|216Mb|100000|4|2161303|19760840|52538259054|100.00|8687052|17373532|275629365|96.85|816|414689|0|4475|0|580144|0.012|8106908|12338Mb|0|12338Mb|3000000|8|17349401|312008524|229353404966|99.99|37905327|151617712|829602497|95.43|16121|195639|0|4864|0|23903177|0.008|14002150|32022Mb|0|32022Mb|4000000|16|10085530|772378344|85922026190|99.99|32320903|258567224|2377813051|98.64|27129|16875407|0|4831|0|0|0|32320903|31636Mb|0|31636Mb|2000000|
12/11/18|00:09:28|178533952|3321806802|375716081582|99.95|189177042|2863721528|4451951187|97.13|628250728115|10716185458|11643808511|101542607854|1146025764|232245079|218715666|252142784|6479278|0|0|0|0|0|0|0|0|0|0|974927.73|70794.47|4829|21024|18158295|10385338|971864628647|54|0|27894|39710948|11128381509|4729782|93169938|6783244|2|47120072|1186|1224|P-2|46|256|306281880|1192192|256.91|2:53|1023947|3459|22687|2.22|L-3|181|256|4337954931|202808677|1411298|21.4|143.7|OLDRSAM|4337937413|408338967368|4080000|78670|99305463808|22257067|1987431|0|1290|49|846147|497|-976724219|-714848565|1|43|100000|0|122001.42|13686.41|135687.83|120643.58|11678.93|132322.51|117056.31|12248.61|129304.92|113323.17|12171.08|125494.25|98902.73|10515.58|109418.31|14255.60|1231.05|15486.65|10429.90|990.43|11420.33|19606.44|498.52|20104.96|17194.21|432.87|17627.08|15672.76|377.34|16050.10|13540.58|333.70|13874.28|11988.13|299.95|12288.08|10932.27|273.99|11206.26|10145.49|257.85|10403.34|9851.27|243.53|10094.80|9481.73|237.08|9718.81|9334.67|229.12|9563.79|9022.22|223.67|9245.89|8783.36|216.52|8999.88|8728.50|217.45|8945.95|8874.23|221.51|9095.74|8933.23|215.31|9148.54|8859.58|211.35|9070.93|8861.15|207.29|9068.44|9291.93|208.92|9500.85|9397.54|210.71|9608.25|9402.79|204.49|9607.28|9996.79|204.13|10200.92|9641.03|202.09|9843.12|10204.33|196.80|10401.13|10330.87|193.95|10524.82|10573.21|192.04|10765.25|11229.39|195.94|11425.33|11759.22|197.14|11956.36|11978.13|193.25|12171.38|12776.37|200.85|12977.22|12759.62|200.45|12960.07|13655.81|199.37|13855.18|15467.21|201.31|15668.52|19862.52|193.53|20056.05|2|148937705|2217658326|7892542871|98.11|110263760|2436163060|968864413|88.62|528|672541|0|4871|0|44798157|0.007|920927|216Mb|0|216Mb|100000|4|2161303|19760840|52539969076|100.00|8687052|17373532|275629866|96.85|1317|414689|0|4475|0|580144|0.012|8106908|12338Mb|0|12338Mb|3000000|8|17349401|312008524|229360494569|99.99|37905327|151617712|829613942|95.43|27566|195639|0|4864|0|23903177|0.008|14002150|32022Mb|0|32022Mb|4000000|16|10085543|772379112|85923075066|99.99|32320903|258567224|2377842966|98.64|57044|16875426|0|4831|0|0|0|32320903|31636Mb|0|31636Mb|2000000|
