date|time|dskreads|pagreads|bufreads|rcached|dskwrits|pagwrits|bufwrits|wcached|isamtot|open|start|read|write|rewrite|delete|commit|rollbk|gp_read|gp_write|gp_rewrt|gp_del|gp_alloc|gp_free|gp_curs|ovlock|ovuserthread|ovbuff|usercpu|syscpu|numckpts|flushes|bufwaits|lokwaits|lockreqs|deadlks|dltouts|ckpwaits|compress|seqscans|ixdaRA|idxRA|daRA|RApgsused|lchwaits|sessions|activelocks|pbuffer|pbufused|pbufsize|pnumpages|pnumwrits|ppagesio|pphybegin|pphysize|pphypos|pphyused|pphypcnt|lbuffer|lbufused|lbufsize|lnumrecs|lnumpages|lnumwrits|lrecspages|lpagesio|lsubsystem|lsnumrecs|lsspaceused|lltotalsize|lltotalused|shmtotal|blkused|blkfree|threadrea|threadwai|threadsle|netaccept|netreject|netread|netwrite|sdeclient|buffdirty|bufftotal|ckptreq|user1|sys1|total1|user2|sys2|total2|user3|sys3|total3|user4|sys4|total4|user5|sys5|total5|user6|sys6|total6|user7|sys7|total7|user8|sys8|total8|user9|sys9|total9|user10|sys10|total10|user11|sys11|total11|user12|sys12|total12|user13|sys13|total13|user14|sys14|total14|user15|sys15|total15|user16|sys16|total16|user17|sys17|total17|
17/09/18|09:17:01|1030146|16594506|32886197859|100.00|968988|21784088|11098886|91.27|34237541228|153362093|21860365|4814284513|703100|117888|76082|86905|5486|0|0|0|0|0|0|0|0|0|0|46149.12|1112.74|1152|12116|3839|133|62256362345|0|0|568|1058220|17083602|21559|2242|57640|271265|35983|831|844|P-2|22|256|675966|3001|225.25|2:53|1023947|846464|31308|3.06|L-1|39|256|1004252|70807|3861|14.2|18.3|OLDRSAM|1003982|137840552|4080000|4524|90715529216|21048746|1098600|0|932|46|80775|112259|27454796|27414876|1|31|100000|0|10090.29|219.99|10310.28|9190.56|182.42|9372.98|8628.66|167.94|8796.60|8038.79|165.61|8204.40|7634.67|146.43|7781.10|491.06|25.89|516.95|175.06|19.97|195.03|280.39|8.19|288.58|202.28|6.21|208.49|158.74|6.60|165.34|144.04|6.04|150.08|85.28|5.31|90.59|63.72|5.57|69.29|42.00|4.16|46.16|41.79|4.96|46.75|37.23|4.27|41.50|28.88|4.22|33.10|
17/09/18|09:17:56|1030222|16595039|32920954582|100.00|975593|21825017|11103540|91.21|34273858390|153542200|21885226|4819364254|703677|118106|76133|87266|5486|0|0|0|0|0|0|0|0|0|0|46198.69|1113.96|1153|12120|3839|133|62323552559|0|0|568|1058244|17105693|21562|2242|57640|271265|35984|831|844|P-2|42|256|682017|3025|225.46|2:53|1023947|852515|4680|0.46|L-3|17|256|1007605|70954|3866|14.2|18.4|OLDRSAM|1007334|138086852|4080000|4671|90715529216|20997426|1149920|0|931|46|80821|112259|27487365|27447419|1|20|100000|0|10100.81|220.14|10320.95|9199.82|182.63|9382.45|8637.59|168.10|8805.69|8047.42|165.79|8213.21|7644.28|146.60|7790.88|491.64|25.90|517.54|175.18|19.98|195.16|280.49|8.21|288.70|202.36|6.22|208.58|158.83|6.61|165.44|144.23|6.06|150.29|85.35|5.32|90.67|63.76|5.59|69.35|42.03|4.17|46.20|41.83|4.97|46.80|37.26|4.29|41.55|28.90|4.23|33.13|
17/09/18|09:18:51|1030303|16595544|32957470377|100.00|975597|21826043|11105028|91.22|34311960670|153715186|21907556|4824691053|703962|118160|76174|87523|5486|0|0|0|0|0|0|0|0|0|0|46246.80|1115.00|1153|12120|3839|133|62392505264|0|0|568|1058261|17125310|21562|2242|57640|271265|35984|832|845|P-2|218|256|683043|3029|225.50|2:53|1023947|853541|5882|0.57|L-3|94|256|1009532|70954|3866|14.2|18.4|OLDRSAM|1009261|138230512|4080000|4671|90715529216|20933138|1214208|0|932|46|80867|112259|27519599|27479623|1|26|100000|0|10111.84|220.29|10332.13|9208.96|182.83|9391.79|8647.42|168.23|8815.65|8055.57|165.96|8221.53|7652.41|146.74|7799.15|491.90|25.92|517.82|175.25|19.99|195.24|280.52|8.21|288.73|202.52|6.22|208.74|158.86|6.61|165.47|144.40|6.06|150.46|85.40|5.33|90.73|63.81|5.60|69.41|42.05|4.17|46.22|41.98|4.98|46.96|37.30|4.29|41.59|28.92|4.24|33.16|
17/09/18|09:19:46|1030388|16598000|32992023920|100.00|975608|21827463|11106816|91.22|34347972023|153881781|21926288|4829734052|704253|118253|76216|87791|5499|0|0|0|0|0|0|0|0|0|0|46293.24|1115.87|1153|12120|3841|133|62457974709|0|0|568|1058279|17141363|21562|2242|57640|271265|35984|832|845|P-1|210|256|684343|3034|225.56|2:53|1023947|854841|7174|0.70|L-3|68|256|1011795|71074|3872|14.2|18.4|OLDRSAM|1011524|138411332|4080000|4791|90715529216|20919815|1227531|0|931|46|80899|112259|27550786|27510789|1|41|100000|0|10122.16|220.44|10342.60|9218.64|182.98|9401.62|8655.76|168.34|8824.10|8064.03|166.11|8230.14|7660.67|146.94|7807.61|492.38|25.92|518.30|175.32|19.99|195.31|280.55|8.22|288.77|202.52|6.23|208.75|158.90|6.61|165.51|144.42|6.07|150.49|85.48|5.33|90.81|63.82|5.60|69.42|42.06|4.17|46.23|42.03|4.98|47.01|37.31|4.29|41.60|28.93|4.24|33.17|
17/09/18|09:20:42|1030400|16598044|33028596150|100.00|975608|21827463|11108233|91.22|34386034421|154042801|21943850|4835087539|704488|118279|76382|88033|5499|0|0|0|0|0|0|0|0|0|0|46342.02|1116.86|1153|12120|3841|133|62527174982|0|0|568|1058291|17156616|21562|2242|57640|271265|35984|832|845|P-1|210|256|684343|3034|225.56|2:53|1023947|854841|7174|0.70|L-3|130|256|1013743|71074|3872|14.3|18.4|OLDRSAM|1013472|138553424|4080000|4791|90715529216|20915844|1231502|0|932|46|80913|112259|27581480|27541419|1|44|100000|0|10132.96|220.61|10353.57|9228.37|183.16|9411.53|8664.93|168.47|8833.40|8072.93|166.30|8239.23|7669.34|147.09|7816.43|492.88|25.93|518.81|175.44|19.99|195.43|280.61|8.22|288.83|202.66|6.24|208.90|158.92|6.61|165.53|144.44|6.07|150.51|85.51|5.34|90.85|63.84|5.60|69.44|42.09|4.17|46.26|42.05|4.98|47.03|37.33|4.30|41.63|28.94|4.24|33.18|
17/09/18|09:21:37|1030448|16599399|33063084694|100.00|975614|21827932|11109979|91.22|34421923346|154204006|21959016|4840121286|704730|118335|76557|88300|5512|0|0|0|0|0|0|0|0|0|0|46389.74|1117.79|1153|12120|3841|133|62592461263|0|0|568|1058302|17169371|21562|2242|57640|271265|35984|832|845|P-2|225|256|684599|3035|225.57|2:53|1023947|855097|7445|0.73|L-2|18|256|1016073|71287|3877|14.3|18.4|OLDRSAM|1015802|138733328|4080000|5004|90715529216|20915888|1231458|0|935|46|80920|112259|27612224|27572101|1|45|100000|0|10143.77|220.75|10364.52|9237.93|183.35|9421.28|8673.84|168.58|8842.42|8081.74|166.45|8248.19|7677.19|147.26|7824.45|493.39|25.95|519.34|175.73|20.00|195.73|280.78|8.23|289.01|202.76|6.24|209.00|158.98|6.61|165.59|144.47|6.08|150.55|85.53|5.34|90.87|63.87|5.61|69.48|42.11|4.18|46.29|42.06|4.98|47.04|37.34|4.30|41.64|28.95|4.25|33.20|
17/09/18|09:22:32|1030632|16603969|33097654751|100.00|977710|21839665|11112604|91.20|34457907862|154354870|21974678|4845181974|704971|118377|76791|88527|5512|0|0|0|0|0|0|0|0|0|0|46439.14|1118.71|1154|12124|3843|133|62657998244|0|0|568|1058312|17182861|21562|2242|57640|271265|35984|832|845|P-1|218|256|687744|3048|225.64|2:53|1023947|858754|1935|0.19|L-1|43|256|1018288|71367|3885|14.3|18.4|OLDRSAM|1018016|138903232|4080000|84|90715529216|20915535|1231811|0|933|46|80924|112259|27642760|27602584|1|18|100000|0|10154.82|220.91|10375.73|9247.89|183.53|9431.42|8682.84|168.69|8851.53|8091.34|166.61|8257.95|7685.87|147.41|7833.28|494.09|25.97|520.06|176.09|20.01|196.10|280.96|8.23|289.19|202.85|6.25|209.10|159.02|6.62|165.64|144.49|6.08|150.57|85.55|5.35|90.90|63.92|5.61|69.53|42.13|4.18|46.31|42.08|4.99|47.07|37.35|4.30|41.65|28.97|4.25|33.22|
17/09/18|09:23:27|1030685|16605381|33134128684|100.00|977720|21842110|11115825|91.20|34495653162|154500419|21992376|4850485918|705360|118486|77113|88903|5525|0|0|0|0|0|0|0|0|0|0|46488.38|1119.63|1154|12124|3843|134|62728254423|0|0|568|1058338|17197928|21562|2242|57640|271265|35984|832|845|P-2|156|256|690068|3057|225.73|2:53|1023947|860566|3685|0.36|L-2|43|256|1022044|71488|3886|14.3|18.4|OLDRSAM|1021772|139197540|4080000|205|90715529216|20916224|1231122|0|931|46|80927|112259|27673139|27632907|1|26|100000|0|10165.10|221.08|10386.18|9257.31|183.69|9441.00|8692.00|168.81|8860.81|8100.18|166.78|8266.96|7694.68|147.53|7842.21|494.61|25.99|520.60|176.28|20.02|196.30|281.17|8.24|289.41|202.90|6.25|209.15|159.04|6.62|165.66|144.50|6.08|150.58|85.56|5.35|90.91|63.93|5.62|69.55|42.13|4.18|46.31|42.09|4.99|47.08|37.37|4.31|41.68|29.02|4.25|33.27|
17/09/18|09:24:23|1030749|16605967|33168713865|100.00|977722|21842626|11117481|91.21|34531690163|154657549|22010308|4855547240|705588|118526|77346|89125|5525|0|0|0|0|0|0|0|0|0|0|46536.23|1120.61|1154|12124|3844|134|62793815121|0|0|568|1058349|17213722|21595|2242|57640|271265|35997|831|844|P-2|84|256|690584|3059|225.75|2:53|1023947|861082|4129|0.40|L-2|125|256|1024169|71488|3886|14.3|18.4|OLDRSAM|1023897|139359656|4080000|205|90715529216|20916198|1231148|0|931|46|80934|112259|27703604|27663343|1|29|100000|0|10175.39|221.25|10396.64|9267.80|183.86|9451.66|8700.89|168.95|8869.84|8108.48|166.97|8275.45|7702.64|147.67|7850.31|495.32|25.99|521.31|176.65|20.02|196.67|281.43|8.25|289.68|203.06|6.25|209.31|159.08|6.62|165.70|144.54|6.09|150.63|85.70|5.36|91.06|63.97|5.62|69.59|42.15|4.19|46.34|42.15|5.00|47.15|37.39|4.31|41.70|29.03|4.26|33.29|
17/09/18|09:25:18|1030792|16606213|33203207437|100.00|977726|21843657|11120052|91.21|34567485848|154790256|22028488|4860581856|705898|118619|77590|89425|5538|0|0|0|0|0|0|0|0|0|0|46585.49|1121.57|1154|12124|3844|134|62859142571|0|0|568|1058369|17229615|21595|2242|57640|271265|35997|831|844|P-2|144|256|691615|3063|225.80|2:53|1023947|862113|5220|0.51|L-2|251|256|1027230|71488|3886|14.4|18.4|OLDRSAM|1026958|139601436|4080000|205|90715529216|20915448|1231898|0|931|46|80937|112259|27733905|27693579|1|30|100000|0|10186.50|221.44|10407.94|9278.17|184.02|9462.19|8709.26|169.07|8878.33|8117.15|167.16|8284.31|7711.05|147.80|7858.85|495.67|26.00|521.67|176.80|20.03|196.83|281.68|8.26|289.94|203.16|6.26|209.42|159.18|6.63|165.81|144.57|6.09|150.66|85.73|5.37|91.10|63.99|5.63|69.62|42.16|4.19|46.35|42.17|5.00|47.17|37.40|4.32|41.72|29.05|4.26|33.31|
