date|time|dskreads|pagreads|bufreads|rcached|dskwrits|pagwrits|bufwrits|wcached|isamtot|open|start|read|write|rewrite|delete|commit|rollbk|gp_read|gp_write|gp_rewrt|gp_del|gp_alloc|gp_free|gp_curs|ovlock|ovuserthread|ovbuff|usercpu|syscpu|numckpts|flushes|bufwaits|lokwaits|lockreqs|deadlks|dltouts|ckpwaits|compress|seqscans|ixdaRA|idxRA|daRA|RApgsused|lchwaits|sessions|activelocks|pbuffer|pbufused|pbufsize|pnumpages|pnumwrits|ppagesio|pphybegin|pphysize|pphypos|pphyused|pphypcnt|lbuffer|lbufused|lbufsize|lnumrecs|lnumpages|lnumwrits|lrecspages|lpagesio|lsubsystem|lsnumrecs|lsspaceused|lltotalsize|lltotalused|shmtotal|blkused|blkfree|threadrea|threadwai|threadsle|threadact|netaccept|netreject|netread|netwrite|sdeclient|buffdirty|bufftotal|ckptreq|user1|sys1|total1|user2|sys2|total2|user3|sys3|total3|user4|sys4|total4|user5|sys5|total5|user6|sys6|total6|user7|sys7|total7|user8|sys8|total8|user9|sys9|total9|user10|sys10|total10|user11|sys11|total11|user12|sys12|total12|user13|sys13|total13|user14|sys14|total14|user15|sys15|total15|user16|sys16|total16|user17|sys17|total17|
25/09/18|00:01:01|818005436|2044738391|144381657435|99.43|91574636|342878945|1802046964|94.94|136995132439|740121668|347259906|23283023105|263305384|147812098|87900246|201455426|19105798|0|0|0|0|0|0|0|0|0|0|712074.89|123005.71|1054|3405|2233200|5139382|263379337680|0|0|4633|29574668|35141770|177800207|149199903|573659264|41|743264314|557|590|P-2|72|256|50240548|249455|201.40|3:53|1023947|118083|7105|0.69|L-2|194|256|2335280037|100211678|506209|23.3|198.0|OLDRSAM|2335276467|201940173912|315000|2276|21710839808|3818231|1482267|0|640|43|10|395746|0|1528269222|1860575094|1|32|100000|0|51530.29|8645.74|60176.03|34735.53|6007.74|40743.27|85085.77|21760.12|106845.89|82802.29|18693.70|101495.99|79874.35|18267.58|98141.93|82584.73|19752.90|102337.63|80093.26|18995.72|99088.98|20128.25|1515.62|21643.87|16142.97|1099.78|17242.75|12669.12|804.91|13474.03|10144.73|594.61|10739.34|8688.73|471.28|9160.01|7858.44|396.90|8255.34|7361.72|360.76|7722.48|7248.13|344.37|7592.50|7203.66|333.96|7537.62|7192.28|331.53|7523.81|
25/09/18|00:01:57|818481603|2045734448|144421640865|99.43|91593492|342952303|1802372049|94.94|137035672709|740186335|347294703|23289212344|263353686|147844474|87912571|201503501|19105847|0|0|0|0|0|0|0|0|0|0|712278.61|123044.83|1054|3405|2233781|5140488|263441528697|0|0|4633|29578225|35149256|177965155|149227795|573906011|41|743688498|557|574|P-1|38|256|50255094|249516|201.41|3:53|1023947|132117|21105|2.06|L-1|142|256|2335761338|100234336|506318|23.3|198.0|OLDRSAM|2335757768|201985494524|315000|3654|21710839808|3819295|1481203|0|641|43|14|395768|0|1528632479|1861079508|1|35|100000|0|51546.21|8649.09|60195.30|34748.80|6010.57|40759.37|85105.01|21766.37|106871.38|82824.63|18699.50|101524.13|79889.03|18271.16|98160.19|82602.93|19759.12|102362.05|80111.47|19000.72|99112.19|20140.17|1516.75|21656.92|16153.77|1100.65|17254.42|12677.48|805.51|13482.99|10150.67|595.05|10745.72|8693.08|471.57|9164.65|7862.67|397.16|8259.83|7364.44|360.94|7725.38|7250.77|344.52|7595.29|7206.04|334.08|7540.12|7194.01|331.67|7525.68|
25/09/18|00:02:52|818947663|2046760665|144461139690|99.43|91607763|343001698|1802605767|94.94|137074573755|740238316|347339353|23295074393|263381604|147870444|87925787|201546059|19105889|0|0|0|0|0|0|0|0|0|0|712441.67|123075.07|1054|3405|2234404|5141218|263506842137|0|0|4633|29580219|35154269|178074351|149245897|574208453|41|744105024|559|579|P-1|16|256|50259420|249542|201.41|3:53|1023947|138491|27457|2.68|L-2|127|256|2336100078|100248643|506389|23.3|198.0|OLDRSAM|2336096508|202014484308|315000|4241|21710839808|3814047|1486451|0|646|43|7|395783|0|1528918434|1861507071|1|34|100000|0|51560.14|8651.73|60211.87|34760.64|6012.94|40773.58|85121.80|21771.71|106893.51|82846.94|18703.70|101550.64|79898.52|18273.36|98171.88|82618.79|19765.66|102384.45|80125.66|19004.57|99130.23|20148.53|1517.34|21665.87|16161.45|1101.10|17262.55|12682.64|805.77|13488.41|10154.41|595.26|10749.67|8696.39|471.72|9168.11|7864.33|397.26|8261.59|7366.93|361.01|7727.94|7252.40|344.58|7596.98|7207.51|334.14|7541.65|7195.34|331.73|7527.07|
25/09/18|00:03:48|819370679|2047693230|144492376974|99.43|91620971|343055497|1802852965|94.94|137103894884|740295396|347368483|23301598432|263411234|147895610|87939472|201590349|19105925|0|0|0|0|0|0|0|0|0|0|712576.06|123094.82|1054|3405|2234912|5141892|263551861758|0|0|4633|29581745|35158168|178075938|149246004|574596076|41|744494931|559|579|P-1|228|256|50273492|249598|201.42|3:53|1023947|150515|39693|3.88|L-2|69|256|2336487423|100265122|506468|23.3|198.0|OLDRSAM|2336483853|202047117068|315000|4696|21710839808|3814861|1485637|0|646|43|9|395799|0|1529180332|1861800602|1|35|100000|0|51571.64|8653.45|60225.09|34768.30|6014.08|40782.38|85140.89|21776.30|106917.19|82863.93|18706.46|101570.39|79906.37|18274.77|98181.14|82634.69|19770.66|102405.35|80134.35|19006.30|99140.65|20152.64|1517.55|21670.19|16164.66|1101.27|17265.93|12684.54|805.85|13490.39|10156.03|595.31|10751.34|8699.60|471.76|9171.36|7866.74|397.33|8264.07|7368.34|361.04|7729.38|7254.97|344.62|7599.59|7210.05|334.19|7544.24|7196.92|331.77|7528.69|
25/09/18|00:04:43|819773935|2048524336|144523553945|99.43|91634788|343106882|1803102561|94.94|137133540128|740355802|347399574|23308657851|263444695|147922423|87951581|201632911|19105960|0|0|0|0|0|0|0|0|0|0|712717.75|123115.68|1054|3405|2235708|5143079|263595655190|0|0|4633|29583778|35165217|178076508|149246057|574962765|41|744866008|558|575|P-2|218|256|50281934|249634|201.42|3:53|1023947|158957|48125|4.70|L-2|73|256|2336833988|100280467|506543|23.3|198.0|OLDRSAM|2336830418|202077967408|315000|0|21710839808|3815817|1484681|0|644|43|6|395826|0|1529463711|1862091357|1|34|100000|0|51582.97|8655.04|60238.01|34776.30|6015.30|40791.60|85157.93|21780.67|106938.60|82880.11|18709.23|101589.34|79916.21|18276.65|98192.86|82652.85|19775.63|102428.48|80145.55|19008.58|99154.13|20158.01|1517.78|21675.79|16168.80|1101.53|17270.33|12687.06|805.95|13493.01|10157.39|595.39|10752.78|8701.02|471.83|9172.85|7867.96|397.38|8265.34|7369.85|361.12|7730.97|7255.84|344.67|7600.51|7212.29|334.23|7546.52|7198.69|331.82|7530.51|
25/09/18|00:05:39|820202622|2049455280|144553594323|99.43|91652571|343172765|1803395279|94.94|137162241499|740417089|347433936|23315441065|263484966|147951816|87965174|201681148|19106012|0|0|0|0|0|0|0|0|0|0|712867.46|123139.57|1054|3405|2236520|5144412|263638660792|0|0|4633|29586381|35172122|178076577|149246155|575355727|41|745255743|558|578|P-2|220|256|50292476|249680|201.43|3:53|1023947|169499|58669|5.73|L-3|39|256|2337263247|100299750|506637|23.3|198.0|OLDRSAM|2337259677|202116608720|315000|4324|21710839808|3817389|1483109|0|644|43|8|395852|0|1529792833|1862428534|1|35|100000|0|51595.46|8656.96|60252.42|34784.29|6016.65|40800.94|85177.60|21785.85|106963.45|82896.13|18712.13|101608.26|79930.73|18279.69|98210.42|82669.61|19781.13|102450.74|80158.75|19011.39|99170.14|20164.24|1518.10|21682.34|16172.41|1101.70|17274.11|12690.60|806.10|13496.70|10159.16|595.46|10754.62|8703.62|471.89|9175.51|7868.99|397.41|8266.40|7371.15|361.17|7732.32|7256.79|344.70|7601.49|7213.75|334.28|7548.03|7200.58|331.87|7532.45|
25/09/18|00:06:35|820527310|2050186713|144578086909|99.43|91666805|343232830|1803622701|94.94|137185238059|740469319|347461000|23320740594|263512366|147977617|87976649|201723616|19106061|0|0|0|0|0|0|0|0|0|0|712983.02|123158.40|1055|3408|2236809|5145062|263676406841|0|0|4643|29588206|35176398|178077335|149246265|575629908|41|745524720|558|608|P-2|12|256|50309684|249751|201.44|3:53|1023947|187731|16886|1.65|L-1|16|256|2337602843|100313641|506720|23.3|198.0|OLDRSAM|2337599272|202145276088|315000|3727|21710839808|3817725|1482773|0|644|42|6|395869|0|1530062048|1862705020|1|31|100000|0|51604.27|8658.40|60262.67|34789.90|6017.59|40807.49|85193.51|21790.10|106983.61|82908.92|18714.32|101623.24|79941.18|18281.97|98223.15|82682.59|19785.05|102467.64|80166.93|19013.31|99180.24|20168.61|1518.26|21686.87|16176.13|1101.84|17277.97|12692.27|806.19|13498.46|10162.13|595.55|10757.68|8704.96|471.93|9176.89|7870.09|397.45|8267.54|7374.25|361.23|7735.48|7257.91|344.74|7602.65|7214.45|334.32|7548.77|7201.75|331.90|7533.65|
25/09/18|00:07:30|821002005|2051165051|144611647921|99.43|91683305|343292148|1803896131|94.94|137217063745|740531882|347511295|23328471248|263548589|148007346|87989358|201771473|19106120|0|0|0|0|0|0|0|0|0|0|713131.01|123180.85|1055|3408|2237681|5146160|263722827229|0|0|4643|29590937|35182867|178077500|149246291|576081450|41|745983049|557|577|P-2|50|256|50318287|249791|201.44|3:53|1023947|195336|24529|2.40|L-2|60|256|2338008623|100331788|506809|23.3|198.0|OLDRSAM|2338005052|202180912584|315000|1618|21710839808|3819618|1480880|0|643|43|8|395883|0|1530376248|1863026774|1|46|100000|0|51615.41|8660.17|60275.58|34797.15|6018.81|40815.96|85212.96|21795.24|107008.20|82921.28|18716.67|101637.95|79954.73|18284.94|98239.67|82698.72|19789.54|102488.26|80182.39|19016.37|99198.76|20174.90|1518.49|21693.39|16182.31|1102.01|17284.32|12696.57|806.38|13502.95|10164.76|595.63|10760.39|8707.48|471.98|9179.46|7872.85|397.49|8270.34|7375.69|361.25|7736.94|7259.43|344.79|7604.22|7215.09|334.35|7549.44|7204.10|331.93|7536.03|
25/09/18|00:08:26|821566393|2052370715|144648850887|99.43|91697765|343349426|1804170838|94.94|137253400624|740596943|347561810|23335811823|263587786|148031124|88001219|201810048|19106159|0|0|0|0|0|0|0|0|0|0|713301.56|123210.23|1055|3408|2238463|5147575|263775600447|0|0|4643|29593828|35189772|178177364|149263133|576500405|41|746511942|557|576|P-1|200|256|50329406|249838|201.45|3:53|1023947|208477|37820|3.69|L-1|77|256|2338396472|100348591|506890|23.3|198.0|OLDRSAM|2338392901|202215473896|315000|3933|21710839808|3820746|1479752|0|642|43|8|395898|0|1530699329|1863419527|1|48|100000|0|51628.14|8662.56|60290.70|34807.25|6020.82|40828.07|85230.40|21800.44|107030.84|82933.62|18719.59|101653.21|79971.75|18289.76|98261.51|82714.24|19794.98|102509.22|80196.14|19019.89|99216.03|20185.31|1518.99|21704.30|16191.87|1102.44|17294.31|12701.95|806.69|13508.64|10168.52|595.82|10764.34|8710.96|472.11|9183.07|7876.40|397.58|8273.98|7377.86|361.33|7739.19|7260.70|344.88|7605.58|7216.48|334.42|7550.90|7206.54|332.01|7538.55|
25/09/18|00:09:21|822259528|2053840684|144690648187|99.43|91714755|343418862|1804450933|94.94|137295407328|740659209|347595553|23342575765|263622975|148059451|88015233|201858574|19106186|0|0|0|0|0|0|0|0|0|0|713489.89|123246.85|1055|3408|2239430|5148417|263840869474|0|0|4643|29596368|35195054|178401487|149300345|576888946|41|747144787|558|580|P-1|138|256|50347453|249911|201.46|3:53|1023947|225244|54525|5.32|L-2|65|256|2338807705|100365621|506974|23.3|198.0|OLDRSAM|2338804134|202250396608|315000|794|21710839808|3810652|1489846|0|641|43|9|395916|0|1531010461|1863868864|1|50|100000|0|51644.30|8666.04|60310.34|34821.51|6023.79|40845.30|85248.85|21806.34|107055.19|82948.74|18723.29|101672.03|79989.54|18295.70|98285.24|82733.55|19801.27|102534.82|80210.76|19023.90|99234.66|20199.60|1519.99|21719.59|16201.97|1103.11|17305.08|12709.34|807.21|13516.55|10173.12|596.12|10769.24|8714.56|472.35|9186.91|7878.38|397.71|8276.09|7379.91|361.40|7741.31|7264.31|344.98|7609.29|7218.34|334.52|7552.86|7208.58|332.11|7540.69|
